Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,8.230000,8.390000,7.940000,7.990000,7.739985,17659800
2020-03-12,6.920000,7.100000,6.550000,6.700000,6.490351,30060300
2020-03-13,7.040000,7.300000,6.320000,6.820000,6.606596,31337700
2020-03-16,6.110000,6.430000,5.800000,5.950000,5.763819,22065700
2020-03-17,6.150000,6.230000,5.850000,6.230000,6.035058,16162700
2020-03-18,5.900000,6.500000,5.820000,6.390000,6.190051,12179100
2020-03-19,6.430000,7.530000,6.380000,7.430000,7.197509,19169000
2020-03-20,7.370000,7.950000,7.100000,7.300000,7.071577,24911500
2020-03-23,7.120000,7.200000,6.580000,6.620000,6.412854,13431600
2020-03-24,7.100000,7.570000,6.980000,7.520000,7.284692,13247400
2020-03-25,7.410000,7.910000,7.330000,7.710000,7.468747,13716900
2020-03-26,7.710000,8.210000,7.640000,8.130000,7.875605,12820500
2020-03-27,7.680000,8.040000,7.380000,7.800000,7.555931,13334600
2020-03-30,7.890000,8.340000,7.880000,8.280000,8.020911,6232100
2020-03-31,8.150000,8.320000,8.040000,8.120000,7.865918,8217000
2020-04-01,7.960000,8.180000,7.800000,7.860000,7.614053,11719700
2020-04-02,8.070000,8.400000,8.030000,8.180000,7.924041,10753800
2020-04-03,8.020000,8.230000,7.760000,7.840000,7.594680,8311200
2020-04-06,8.170000,8.330000,8.060000,8.220000,7.962789,7592200
2020-04-07,8.470000,8.590000,8.120000,8.130000,7.875605,6739700
2020-04-08,8.220000,8.670000,8.080000,8.510000,8.243714,8152700
2020-04-09,8.650000,9.260000,8.610000,9.160000,8.873375,9347300
2020-04-13,9.090000,9.180000,8.840000,8.900000,8.621511,5300800
2020-04-14,8.960000,9.110000,8.840000,9.040000,8.757130,4835900
2020-04-15,8.660000,8.770000,8.600000,8.650000,8.379333,6360100
2020-04-16,8.550000,8.600000,8.310000,8.460000,8.195279,5291100
2020-04-17,8.600000,8.900000,8.600000,8.780000,8.505265,5256400
2020-04-20,8.740000,8.790000,8.560000,8.640000,8.369646,4062500
2020-04-21,8.320000,8.460000,8.180000,8.260000,8.001537,4576500
2020-04-22,8.370000,8.420000,8.230000,8.360000,8.098408,3539400
2020-04-23,8.400000,8.510000,8.200000,8.210000,7.953102,4101900
2020-04-24,8.380000,8.470000,8.290000,8.420000,8.156529,3881100
2020-04-27,8.480000,8.780000,8.450000,8.680000,8.408395,4336300
2020-04-28,8.880000,9.110000,8.870000,9.020000,8.737756,9313200
2020-04-29,9.190000,9.340000,9.150000,9.240000,8.950871,4705600
2020-04-30,9.080000,9.150000,8.900000,8.970000,8.689321,9612900
2020-05-01,8.880000,8.880000,8.580000,8.680000,8.408395,4097600
2020-05-04,8.630000,8.730000,8.570000,8.690000,8.418082,6556800
2020-05-05,8.650000,8.800000,8.570000,8.580000,8.311524,4130300
2020-05-06,8.440000,8.680000,8.430000,8.480000,8.214653,3882000
