Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,231.169998,234.399994,229.160004,231.910004,229.576950,1983200
2020-03-12,223.300003,234.880005,220.539993,220.570007,218.351028,3731500
2020-03-13,227.990005,239.020004,216.089996,236.500000,234.120773,3459200
2020-03-16,216.000000,234.539993,208.649994,223.139999,220.895172,2908600
2020-03-17,230.539993,248.940002,223.339996,248.520004,246.019852,3872900
2020-03-18,239.100006,251.970001,228.000000,234.720001,232.358688,3687900
2020-03-19,236.500000,237.660004,220.559998,220.960007,218.737106,2641800
2020-03-20,217.809998,224.720001,216.220001,220.119995,217.905548,3699600
2020-03-23,219.259995,223.389999,197.750000,200.580002,198.562134,4464400
2020-03-24,209.410004,211.770004,199.500000,202.850006,200.809296,3490600
2020-03-25,205.539993,209.270004,199.149994,203.600006,201.551758,3489300
2020-03-26,204.800003,219.550003,204.369995,219.350006,217.143295,2663000
2020-03-27,212.570007,221.509995,211.440002,216.580002,214.401169,2251500
2020-03-30,220.050003,223.710007,217.330002,222.869995,220.627899,1925900
2020-03-31,222.059998,231.050003,219.000000,229.770004,227.458496,2696200
2020-04-01,221.710007,229.770004,220.000000,225.399994,223.132431,2003200
2020-04-02,225.059998,233.610001,224.419998,233.279999,230.933151,1557500
2020-04-03,231.009995,232.860001,222.789993,226.729996,224.449051,1263700
2020-04-06,231.089996,239.179993,229.429993,237.690002,235.298798,2254300
2020-04-07,240.000000,243.000000,235.059998,237.550003,235.160202,2351900
2020-04-08,239.149994,251.710007,235.320007,250.000000,247.484955,2504300
2020-04-09,250.000000,250.580002,243.529999,247.449997,244.960602,2389800
2020-04-13,245.520004,248.839996,241.600006,248.059998,245.564453,1309000
2020-04-14,251.990005,251.990005,247.559998,249.529999,247.019684,2150500
2020-04-15,247.550003,253.770004,245.589996,252.529999,249.989502,1832200
2020-04-16,254.759995,262.619995,252.559998,261.609985,258.978149,1649400
2020-04-17,265.690002,266.040009,255.789993,261.399994,258.770264,2030800
2020-04-20,261.899994,266.769989,259.549988,263.440002,260.789734,1370300
2020-04-21,259.869995,261.329987,254.460007,256.500000,253.919556,2455600
2020-04-22,258.869995,267.899994,257.989990,266.760010,264.076355,2008000
2020-04-23,268.190002,270.690002,264.309998,265.079987,262.413239,1221100
2020-04-24,266.660004,268.670013,262.500000,268.170013,265.472168,1836300
2020-04-27,269.359985,271.450012,267.549988,270.000000,267.283752,1490400
2020-04-28,270.589996,271.950012,261.149994,261.920013,259.285034,2163500
2020-04-29,263.000000,263.000000,257.130005,257.850006,255.255981,1726700
2020-04-30,256.279999,263.769989,251.630005,252.529999,249.989502,2858500
2020-05-01,250.800003,253.889999,247.789993,251.869995,249.336136,1423200
2020-05-04,252.389999,256.390015,249.229996,255.270004,252.701935,1126600
2020-05-05,258.269989,263.600006,256.200012,261.700012,259.067261,940700
