Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,61.299999,62.709999,60.380001,62.230000,62.230000,2918300
2020-03-12,58.060001,62.639999,56.820000,56.939999,56.939999,4756600
2020-03-13,59.279999,62.470001,55.500000,62.470001,62.470001,3988500
2020-03-16,55.759998,57.980000,54.099998,54.599998,54.599998,3071600
2020-03-17,55.880001,59.110001,53.389999,58.939999,58.939999,2719400
2020-03-18,55.000000,55.720001,51.389999,54.320000,54.320000,3137600
2020-03-19,53.740002,57.610001,52.150002,55.720001,55.720001,2584900
2020-03-20,56.900002,58.560001,54.570000,55.080002,55.080002,3393500
2020-03-23,55.000000,57.880001,53.160000,55.860001,55.860001,2954100
2020-03-24,58.930000,63.950001,58.209999,63.340000,63.340000,4180100
2020-03-25,63.060001,64.599998,60.930000,61.349998,61.349998,3940100
2020-03-26,61.910000,67.120003,61.389999,66.940002,66.940002,2781400
2020-03-27,64.459999,65.550003,61.730000,62.279999,62.279999,2228400
2020-03-30,62.680000,67.379997,62.380001,66.910004,66.910004,2514300
2020-03-31,66.110001,67.470001,65.339996,66.040001,66.040001,3451400
2020-04-01,63.430000,66.510002,62.919998,65.239998,65.239998,2824100
2020-04-02,64.239998,67.070000,63.919998,65.930000,65.930000,2959100
2020-04-03,65.050003,66.720001,63.740002,63.930000,63.930000,2554900
2020-04-06,67.519997,69.769997,65.919998,69.419998,69.419998,2332700
2020-04-07,71.000000,71.620003,68.820000,69.050003,69.050003,2315200
2020-04-08,69.839996,72.260002,69.459999,71.839996,71.839996,1932500
2020-04-09,71.910004,72.730003,71.070000,71.650002,71.650002,1954300
2020-04-13,70.970001,71.750000,70.400002,71.550003,71.550003,2521600
2020-04-14,73.000000,76.500000,72.260002,76.330002,76.330002,2511000
2020-04-15,74.910004,76.169998,74.269997,75.699997,75.699997,2245600
2020-04-16,76.010002,79.169998,76.010002,78.589996,78.589996,2603100
2020-04-17,79.570000,80.459999,78.330002,78.650002,78.650002,3958600
2020-04-20,77.730003,78.669998,76.769997,77.839996,77.839996,2300700
2020-04-21,76.430000,76.889999,73.349998,74.589996,74.589996,2938500
2020-04-22,79.180000,80.550003,77.510002,79.800003,79.800003,3043100
2020-04-23,79.370003,81.430000,79.300003,79.830002,79.830002,2273000
2020-04-24,80.849998,81.320000,79.110001,80.519997,80.519997,2124500
2020-04-27,81.000000,81.970001,80.550003,81.309998,81.309998,1517200
2020-04-28,82.000000,82.459999,78.339996,78.470001,78.470001,2270600
2020-04-29,78.529999,82.779999,78.529999,82.000000,82.000000,2689700
2020-04-30,81.760002,82.610001,80.879997,81.129997,81.129997,3128900
2020-05-01,79.589996,80.000000,75.510002,75.839996,75.839996,2894600
2020-05-04,75.930000,77.730003,75.269997,77.639999,77.639999,2152000
2020-05-05,78.120003,80.300003,78.120003,79.669998,79.669998,2008700
2020-05-06,80.139999,81.959999,80.010002,80.989998,80.989998,2112000
2020-05-07,82.230003,82.779999,80.980003,81.370003,81.370003,1480300
2020-05-08,82.360001,82.699997,81.180000,82.459999,82.459999,1125700
2020-05-11,81.699997,83.580002,81.500000,83.000000,83.000000,2019700
2020-05-12,83.570000,83.570000,81.050003,81.050003,81.050003,1628800
2020-05-13,81.370003,82.980003,79.830002,81.000000,81.000000,2768200
2020-05-14,80.510002,81.900002,79.680000,81.849998,81.849998,2077700
2020-05-15,79.190002,82.320000,79.050003,82.070000,82.070000,2549600
2020-05-18,82.150002,84.059998,81.339996,83.370003,83.370003,2426300
2020-05-19,83.760002,87.000000,83.510002,85.440002,85.440002,2214600
2020-05-20,86.919998,88.550003,86.860001,88.089996,88.089996,2347500
2020-05-21,88.250000,88.459999,86.000000,86.110001,86.110001,1510700
2020-05-22,86.099998,86.650002,85.220001,86.050003,86.050003,1490300
2020-05-26,87.779999,87.809998,84.879997,85.010002,85.010002,1703800
2020-05-27,84.500000,85.239998,81.949997,85.199997,85.199997,1871500
2020-05-28,84.809998,89.650002,84.769997,88.059998,88.059998,2392800
2020-05-29,88.230003,91.580002,87.919998,91.290001,91.290001,2668200
2020-06-01,90.800003,92.860001,89.820000,91.680000,91.680000,2119300
2020-06-02,91.500000,92.389999,90.550003,92.379997,92.379997,1850700
2020-06-03,92.900002,93.300003,91.830002,92.959999,92.959999,1717300
2020-06-04,92.230003,93.010002,90.849998,91.269997,91.269997,1562500
2020-06-05,91.180000,92.459999,89.500000,91.400002,91.400002,2280400
2020-06-08,91.000000,92.389999,89.040001,92.129997,92.129997,2128900
2020-06-09,91.800003,93.519997,91.709999,92.559998,92.559998,2075400
2020-06-10,93.330002,94.180000,92.500000,93.190002,93.190002,1502300
2020-06-11,92.800003,93.089996,88.320000,88.410004,88.410004,2063100
2020-06-12,90.059998,91.449997,87.940002,89.459999,89.459999,1889400
2020-06-15,88.589996,90.879997,87.750000,90.849998,90.849998,1828800
2020-06-16,92.379997,93.279999,91.139999,92.019997,92.019997,1707100
2020-06-17,92.940002,93.889999,92.580002,93.070000,93.070000,1705100
2020-06-18,93.089996,93.849998,92.419998,93.730003,93.730003,1778500
2020-06-19,94.980003,95.209999,91.660004,91.900002,91.900002,3048500
2020-06-22,92.400002,94.540001,91.860001,94.459999,94.459999,1487900
