Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,92.510002,94.180000,88.699997,90.000000,87.102417,1343600
2020-03-12,83.059998,85.139999,79.349998,80.559998,77.966339,1276200
2020-03-13,84.989998,90.599998,84.089996,90.580002,87.663750,1517600
2020-03-16,83.220001,88.690002,78.050003,78.519997,75.992012,1414800
2020-03-17,79.970001,85.459999,73.110001,84.980003,82.877335,1556700
2020-03-18,79.690002,85.699997,77.040001,85.370003,83.257690,1273900
2020-03-19,84.050003,85.449997,77.000000,81.930000,79.902802,1390300
2020-03-20,81.959999,81.959999,73.080002,75.029999,73.173531,1491500
2020-03-23,73.099998,75.260002,65.690002,66.779999,65.127655,1461700
2020-03-24,69.529999,79.199997,69.529999,78.019997,76.089539,1465300
2020-03-25,78.730003,79.919998,73.040001,74.230003,72.393326,1262000
2020-03-26,75.320000,79.570000,72.330002,78.720001,76.772232,1072800
2020-03-27,75.339996,79.070000,74.419998,75.949997,74.070763,800500
2020-03-30,75.849998,80.559998,74.010002,79.739998,77.766991,954600
2020-03-31,78.750000,82.650002,74.550003,75.449997,73.583138,2029700
2020-04-01,71.940002,76.260002,71.260002,73.570000,71.749649,1195100
2020-04-02,72.519997,76.250000,71.480003,72.919998,71.115730,981500
2020-04-03,72.169998,74.519997,70.550003,71.029999,69.272499,963300
2020-04-06,74.480003,78.459999,73.760002,77.410004,75.494652,960800
2020-04-07,80.599998,82.930000,79.489998,79.879997,77.903526,1014100
2020-04-08,79.309998,81.800003,78.059998,81.080002,79.073837,750200
2020-04-09,82.300003,84.250000,81.599998,83.580002,81.511978,1231400
2020-04-13,84.019997,84.019997,81.389999,82.639999,80.595238,609600
2020-04-14,84.940002,87.599998,84.199997,87.099998,84.944885,1472100
2020-04-15,84.800003,85.500000,82.570000,82.940002,80.887817,1234500
2020-04-16,83.330002,83.860001,81.309998,82.470001,80.429451,879300
2020-04-17,85.120003,86.209999,83.339996,85.800003,83.677048,770000
2020-04-20,84.870003,84.910004,81.410004,82.480003,80.439194,623100
2020-04-21,80.330002,81.879997,79.540001,80.169998,78.186340,560100
2020-04-22,82.629997,82.629997,79.540001,79.690002,77.718224,567700
2020-04-23,79.900002,80.879997,77.889999,78.400002,76.460152,508300
2020-04-24,79.529999,79.529999,77.220001,78.529999,76.586929,522200
2020-04-27,79.820000,82.500000,79.040001,82.029999,80.000328,686000
2020-04-28,76.279999,77.260002,71.269997,71.809998,70.033203,3936400
2020-04-29,73.139999,73.250000,70.389999,70.419998,68.677597,1620500
2020-04-30,69.510002,69.830002,65.550003,65.800003,64.171906,2354400
2020-05-01,64.440002,64.940002,60.000000,60.950001,59.441914,2993700
2020-05-04,60.599998,60.669998,58.669998,60.150002,58.661705,2016900
2020-05-05,60.000000,61.259998,58.349998,59.000000,57.540161,1646400
2020-05-06,58.209999,58.990002,53.060001,53.119999,51.805649,2042100
2020-05-07,53.509998,56.389999,53.500000,55.009998,53.648884,1404400
2020-05-08,56.000000,56.279999,54.169998,55.730000,54.351067,1236800
2020-05-11,55.490002,55.529999,53.389999,53.849998,52.517586,1419500
2020-05-12,54.000000,54.150002,51.450001,51.450001,50.176975,1498100
2020-05-13,51.000000,51.139999,48.230000,48.540001,47.338970,1678500
2020-05-14,47.669998,51.189999,46.070000,50.480000,49.230972,1718500
2020-05-15,49.810001,50.290001,48.189999,49.250000,48.031406,2585600
2020-05-18,50.970001,53.779999,50.970001,53.169998,51.854408,1765600
2020-05-19,53.099998,53.279999,51.209999,52.090000,50.801132,1887200
2020-05-20,52.529999,54.419998,51.980000,53.560001,52.234764,1331700
2020-05-21,53.570000,57.869999,53.130001,57.450001,56.028515,2161800
2020-05-22,57.580002,57.580002,55.750000,57.320000,55.901726,1341800
2020-05-26,59.860001,61.160000,59.070000,59.240002,57.774223,1561600
2020-05-27,62.000000,62.599998,60.009998,61.400002,59.880779,2566800
2020-05-28,62.000000,62.310001,59.840000,60.570000,59.071312,1553600
2020-05-29,59.509998,59.700001,57.639999,58.950001,57.491402,1743600
2020-06-01,58.590000,60.169998,58.080002,59.639999,58.164322,1007000
2020-06-02,60.580002,61.680000,59.430000,60.790001,59.285870,873700
2020-06-03,62.779999,64.629997,62.080002,63.869999,62.289661,1437600
2020-06-04,63.250000,64.660004,62.320000,64.629997,63.030853,936100
2020-06-05,68.510002,69.820000,66.589996,68.779999,67.078171,1723000
2020-06-08,70.750000,71.470001,69.279999,71.430000,69.662605,1461200
2020-06-09,69.709999,70.379997,68.040001,68.809998,67.107430,1051000
2020-06-10,68.139999,68.400002,65.190002,65.230003,63.616020,1678500
2020-06-11,61.840000,62.950001,58.270000,58.660000,57.208576,1708600
2020-06-12,61.060001,62.180000,59.619999,61.029999,59.519928,1136800
2020-06-15,59.250000,62.590000,58.619999,61.939999,60.407417,1368900
2020-06-16,64.989998,65.470001,61.970001,63.220001,62.258835,1216500
2020-06-17,63.490002,63.639999,61.799999,62.060001,61.116470,1006300
2020-06-18,61.439999,64.510002,61.400002,63.130001,62.170200,1166600
2020-06-19,63.000000,64.489998,61.860001,63.169998,62.209591,6750100
2020-06-22,62.340000,63.000000,60.990002,62.799999,61.845215,1774600
2020-06-23,63.279999,64.370003,63.119999,63.790001,62.820164,1342100
2020-06-24,62.950001,63.000000,60.610001,62.009998,61.067226,1531700
2020-06-25,61.450001,63.849998,61.169998,63.740002,62.770931,1049500
2020-06-26,62.660000,63.410000,61.650002,62.000000,61.057381,1918000
2020-06-29,63.029999,63.860001,62.000000,63.750000,62.780773,1075700
2020-06-30,62.959999,64.389999,62.959999,64.029999,63.056515,1295600
2020-07-01,63.950001,64.510002,63.070000,64.099998,63.125450,1032500
2020-07-02,65.410004,66.809998,64.339996,64.870003,63.883747,1461000
2020-07-06,66.379997,68.480003,66.180000,68.059998,67.025246,2111600
2020-07-07,67.529999,69.430000,66.980003,68.300003,67.261597,2072700
2020-07-08,68.080002,69.209999,67.760002,69.139999,68.088829,1093100
2020-07-09,68.970001,69.080002,65.980003,67.360001,66.335892,1278100
2020-07-10,67.480003,70.610001,67.180000,70.480003,69.408463,1147400
2020-07-13,71.070000,71.480003,69.800003,70.089996,69.024384,1360700
2020-07-14,70.260002,72.790001,69.739998,72.709999,71.604553,1372600
2020-07-15,73.620003,74.639999,72.019997,73.519997,72.402237,1252500
2020-07-16,73.070000,76.059998,72.820000,75.809998,74.657417,1080800
2020-07-17,76.000000,77.290001,74.760002,76.660004,75.494499,1123500
2020-07-20,76.059998,77.199997,74.940002,77.059998,75.888412,1313800
2020-07-21,76.680000,78.989998,76.580002,78.150002,76.961845,1084400
2020-07-22,77.919998,80.449997,77.519997,80.220001,79.000374,1091900
2020-07-23,80.290001,82.889999,80.239998,82.669998,81.413124,1109000
2020-07-24,83.010002,83.730003,81.910004,83.230003,81.964615,1082600
2020-07-27,83.650002,83.650002,81.510002,82.449997,81.196465,965500
2020-07-28,82.959999,85.470001,81.080002,83.400002,82.132027,1474500
2020-07-29,84.029999,84.029999,82.209999,83.440002,82.171417,1269900
2020-07-30,81.519997,81.940002,78.320000,79.809998,78.596603,1112000
2020-07-31,79.339996,80.019997,77.199997,77.930000,76.745186,2517900
2020-08-03,78.139999,79.099998,77.220001,78.400002,77.208046,786000
2020-08-04,78.589996,78.589996,77.089996,77.459999,76.282333,764000
2020-08-05,77.930000,80.370003,77.930000,79.559998,78.350403,836800
2020-08-06,78.279999,79.849998,78.279999,79.449997,78.242073,485400
2020-08-07,79.290001,81.930000,79.059998,81.669998,80.428329,729000
2020-08-10,82.339996,83.769997,81.379997,83.419998,82.151718,679300
2020-08-11,84.680000,85.970001,82.839996,83.120003,81.856277,800800
2020-08-12,84.029999,84.290001,80.989998,81.010002,79.778366,1165700
2020-08-13,80.059998,80.269997,78.849998,79.580002,78.370102,981300
2020-08-14,79.610001,81.389999,79.010002,80.110001,78.892044,605400
2020-08-17,80.080002,80.129997,77.790001,78.230003,77.040634,558900
2020-08-18,78.349998,79.339996,77.830002,78.980003,77.779228,549500
2020-08-19,78.589996,79.769997,77.860001,78.209999,77.020927,450400
2020-08-20,77.080002,78.500000,77.080002,77.980003,76.794434,409800
2020-08-21,77.870003,78.550003,77.089996,77.339996,76.164154,385900
2020-08-24,77.739998,79.589996,77.370003,79.519997,78.311012,473800
2020-08-25,79.599998,80.349998,79.040001,79.349998,78.143600,396500
2020-08-26,78.980003,79.010002,78.099998,78.500000,77.306519,385900
2020-08-27,78.470001,81.349998,78.470001,80.459999,79.236725,406700
2020-08-28,81.089996,81.089996,79.669998,80.389999,79.167786,356600
2020-08-31,80.150002,80.389999,79.089996,79.410004,78.202690,585300
2020-09-01,79.019997,80.050003,78.629997,80.000000,78.783722,554300
2020-09-02,79.760002,82.250000,79.459999,81.669998,80.428329,579300
2020-09-03,82.430000,83.989998,79.940002,80.589996,79.364738,528400
2020-09-04,82.220001,82.599998,80.040001,81.080002,79.847298,631600
2020-09-08,80.430000,80.620003,77.730003,79.150002,77.946640,703400
2020-09-09,79.029999,80.440002,78.320000,78.839996,77.641350,786900
2020-09-10,79.199997,79.250000,76.750000,77.230003,76.055832,847900
2020-09-11,77.129997,77.839996,76.089996,76.919998,75.750542,682200
2020-09-14,77.330002,78.889999,77.330002,77.669998,76.489143,733000
2020-09-15,77.470001,77.739998,75.790001,75.980003,75.407356,497200
2020-09-16,76.279999,77.879997,76.089996,77.199997,76.618156,699900
2020-09-17,76.500000,78.160004,75.820000,77.440002,76.856354,840300
2020-09-18,76.980003,78.610001,76.849998,78.010002,77.422058,1741500
2020-09-21,75.970001,77.599998,73.790001,75.440002,74.871429,1155700
