Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,38.849998,39.580002,37.500000,38.029999,35.581627,3796700
2020-03-12,34.500000,40.500000,33.020000,34.950001,33.295258,5659000
2020-03-13,38.320000,38.689999,34.029999,38.669998,36.839130,5046200
2020-03-16,31.520000,33.900002,30.600000,31.450001,29.960970,4202500
2020-03-17,32.169998,34.720001,30.000000,34.400002,32.771301,4497500
2020-03-18,31.450001,32.430000,26.260000,27.420000,26.121773,4409600
2020-03-19,26.730000,30.000000,24.280001,28.950001,27.579334,4159600
2020-03-20,29.260000,30.030001,27.170000,28.930000,27.560282,3936700
2020-03-23,28.500000,29.320000,27.049999,27.340000,26.045563,2202800
2020-03-24,29.799999,31.629999,29.070000,30.500000,29.055948,2765300
2020-03-25,31.000000,34.340000,29.129999,33.070000,31.504269,3219900
2020-03-26,33.480000,34.840000,32.500000,33.990002,32.380711,2588000
2020-03-27,32.540001,33.820000,31.389999,32.869999,31.313738,2069400
2020-03-30,32.540001,32.750000,30.400000,31.030001,29.560854,2093200
2020-03-31,30.580000,31.580000,29.129999,29.340000,27.950869,2515400
2020-04-01,27.930000,28.020000,26.959999,27.170000,25.883610,2814800
2020-04-02,26.860001,29.330000,26.690001,27.790001,26.474258,3655800
2020-04-03,28.340000,28.430000,26.950001,27.340000,26.045563,2977300
2020-04-06,29.430000,30.370001,28.129999,28.990000,27.617441,4003200
2020-04-07,31.080000,32.240002,30.280001,30.680000,29.227427,3564400
2020-04-08,30.780001,33.320000,30.719999,33.020000,31.456638,3367900
2020-04-09,34.320000,37.009998,33.770000,34.750000,33.104729,4557300
2020-04-13,34.750000,34.750000,32.250000,32.779999,31.227997,2390300
2020-04-14,33.430000,33.680000,30.350000,30.889999,29.427483,2705300
2020-04-15,28.990000,29.629999,27.980000,28.120001,26.788631,3369700
2020-04-16,28.000000,28.000000,25.799999,26.049999,24.816637,2960400
2020-04-17,27.530001,30.219999,27.309999,30.000000,28.579620,4510400
2020-04-20,28.389999,30.910000,27.840000,29.620001,28.217613,3612700
