Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,36.630001,37.610001,36.070000,36.660000,36.073200,10566100
2020-03-12,34.299999,35.520000,32.930000,33.279999,32.747299,12437100
2020-03-13,35.320000,37.169998,34.180000,37.099998,36.506157,10537300
2020-03-16,32.900002,35.970001,31.629999,34.250000,33.701775,9270100
2020-03-17,35.080002,37.290001,33.270000,36.009998,35.433605,8886000
2020-03-18,33.450001,34.750000,29.059999,32.060001,31.546831,8937100
2020-03-19,31.740000,33.630001,30.120001,31.660000,31.153233,6826300
2020-03-20,32.529999,33.990002,30.280001,31.469999,30.966272,9584800
2020-03-23,30.350000,31.080000,28.330000,28.459999,28.004454,7299600
2020-03-24,30.360001,32.860001,30.000000,32.459999,31.940430,10167900
2020-03-25,32.750000,35.439999,31.629999,33.230000,32.698101,7815300
2020-03-26,33.529999,36.130001,32.509998,35.950001,35.374565,8622700
2020-03-27,34.130001,34.799999,33.139999,33.830002,33.288502,5997000
2020-03-30,33.290001,33.799999,32.099998,33.619999,33.081860,6377800
2020-03-31,35.169998,36.630001,33.900002,34.099998,33.554176,8274600
2020-04-01,32.389999,33.520000,32.250000,32.520000,31.999466,7712600
2020-04-02,32.480000,34.349998,31.889999,32.509998,31.989624,6649100
2020-04-03,32.490002,33.470001,31.520000,31.870001,31.359873,5357100
2020-04-06,33.990002,35.630001,33.480000,35.389999,34.823528,7307400
2020-04-07,37.549999,38.750000,37.160000,37.259998,36.663593,9583400
2020-04-08,37.750000,39.180000,37.169998,38.860001,38.237984,6819700
2020-04-09,40.200001,41.549999,39.869999,40.779999,40.127254,9293500
2020-04-13,40.209999,40.419998,37.959999,38.320000,37.706631,5924600
2020-04-14,39.459999,40.040001,38.150002,38.430000,37.814869,4801400
2020-04-15,37.090000,37.139999,35.500000,35.570000,35.000648,5471800
2020-04-16,35.630001,36.320000,34.830002,36.220001,35.640244,5324800
2020-04-17,37.490002,38.759998,37.330002,38.360001,37.745987,7130800
2020-04-20,38.880001,40.650002,38.360001,39.720001,39.084221,7998800
2020-04-21,38.540001,39.439999,38.279999,39.070000,38.444626,5031200
2020-04-22,40.020000,40.400002,39.310001,39.869999,39.231815,3728500
2020-04-23,40.160000,41.980000,40.009998,41.200001,40.540535,5083600
2020-04-24,41.700001,42.240002,41.020000,41.900002,41.229328,5332200
2020-04-27,42.250000,44.290001,42.060001,43.820000,43.118595,5664900
2020-04-28,45.000000,47.000000,45.000000,46.410000,45.667141,9603400
2020-04-29,47.889999,49.130001,47.560001,48.169998,47.398964,8298100
2020-04-30,47.090000,48.099998,46.540001,47.020000,46.267376,6973100
2020-05-01,46.020000,46.820000,44.810001,45.070000,44.348583,4583100
2020-05-04,44.509998,44.770000,43.630001,44.720001,44.004189,5797700
2020-05-05,45.980000,47.169998,44.400002,44.689999,43.974667,7990800
2020-05-06,44.799999,45.580002,43.849998,44.040001,43.335072,5608300
2020-05-07,44.459999,45.299999,44.360001,44.759998,44.043545,4262900
2020-05-08,45.290001,47.049999,45.040001,46.930000,46.178814,4776600
2020-05-11,46.080002,46.619999,45.009998,46.200001,45.460499,4656800
2020-05-12,46.480000,47.560001,45.650002,45.680000,44.948818,3936700
2020-05-13,45.119999,45.340000,43.380001,43.900002,43.197319,4420900
2020-05-14,42.900002,45.290001,41.830002,45.250000,44.525703,7872700
2020-05-15,44.759998,45.840000,44.400002,45.450001,44.722504,2926700
2020-05-18,47.150002,48.580002,47.080002,48.099998,47.330082,11274300
2020-05-19,47.799999,48.910000,46.779999,47.779999,47.015205,6162300
2020-05-20,48.630001,49.169998,48.459999,48.869999,48.087757,5417000
2020-05-21,48.840000,49.869999,48.310001,48.869999,48.087757,6392300
2020-05-22,48.490002,48.830002,47.700001,48.689999,47.910641,2958700
2020-05-26,50.349998,51.119999,50.230000,50.369999,49.563747,5998400
2020-05-27,50.970001,51.730000,49.259998,49.459999,48.668316,6723600
2020-05-28,49.759998,51.090000,48.240002,50.500000,49.994915,7270500
2020-05-29,50.209999,50.849998,49.430000,50.730000,50.222614,6564700
2020-06-01,50.340000,51.099998,50.049999,50.880001,50.371113,5492800
2020-06-02,50.950001,52.650002,50.820000,52.650002,52.123409,7516200
2020-06-03,53.360001,55.070000,53.259998,54.580002,54.034107,6853100
2020-06-04,54.150002,55.049999,54.080002,54.980000,54.430107,3941900
2020-06-05,56.090000,58.669998,56.000000,56.139999,55.578506,11223800
2020-06-08,56.619999,57.250000,55.820000,57.040001,56.469505,7314600
2020-06-09,55.939999,57.070000,55.299999,55.930000,55.370605,6118500
2020-06-10,55.930000,56.009998,53.619999,53.680000,53.143108,8753700
2020-06-11,51.119999,52.169998,49.139999,49.980000,49.480114,8205800
2020-06-12,52.169998,52.240002,49.790001,51.009998,50.499809,5707700
2020-06-15,49.400002,52.380001,49.009998,51.990002,51.470013,5641000
2020-06-16,54.130001,54.580002,52.340000,53.130001,52.598610,5628000
2020-06-17,53.830002,53.869999,52.599998,52.770000,52.242210,2775000
2020-06-18,52.290001,53.299999,52.020000,52.580002,52.054111,4795300
2020-06-19,54.180000,54.830002,52.320000,52.599998,52.073910,9136800
2020-06-22,52.610001,53.750000,51.580002,52.980000,52.450111,4791700
2020-06-23,53.770000,53.910000,52.570000,52.910000,52.380810,5469400
2020-06-24,52.540001,52.820000,51.419998,51.540001,51.024509,4932800
2020-06-25,51.750000,53.230000,50.810001,53.090000,52.559010,4460000
2020-06-26,52.849998,52.849998,50.939999,51.419998,50.905708,7590100
2020-06-29,51.990002,52.980000,51.779999,52.470001,51.945210,3488100
2020-06-30,52.110001,53.470001,51.889999,53.130001,52.598610,5196100
2020-07-01,53.119999,53.830002,52.070000,52.320000,51.796711,4538000
2020-07-02,53.009998,54.220001,52.910000,53.720001,53.182709,5073300
2020-07-06,54.730000,54.939999,53.639999,54.610001,54.063808,4077200
2020-07-07,53.889999,54.380001,53.119999,53.610001,53.073807,3926100
2020-07-08,53.520000,53.770000,51.639999,52.250000,51.727413,4927800
2020-07-09,52.389999,52.459999,50.750000,50.910000,50.400814,5594300
2020-07-10,51.000000,52.389999,50.810001,52.240002,51.717514,3777800
2020-07-13,52.730000,53.520000,52.310001,52.520000,51.994709,5037000
2020-07-14,52.410000,53.810001,51.980000,53.650002,53.113411,2989700
2020-07-15,54.730000,55.200001,53.820000,54.860001,54.311310,3390100
2020-07-16,54.500000,55.369999,54.189999,54.779999,54.232105,2227100
2020-07-17,54.990002,55.480000,54.500000,54.520000,53.974705,2659400
2020-07-20,54.070000,54.410000,53.119999,53.150002,52.618412,2858100
2020-07-21,53.439999,54.380001,53.189999,53.930000,53.390610,4549200
2020-07-22,53.540001,54.490002,53.380001,54.430000,53.885609,1781200
2020-07-23,54.299999,55.470001,54.040001,55.349998,54.796406,4279100
2020-07-24,55.150002,55.410000,54.169998,54.549999,54.004406,4979400
2020-07-27,54.610001,55.759998,54.029999,55.349998,54.796406,2696300
2020-07-28,54.630001,55.240002,53.970001,54.020000,53.479710,4178000
2020-07-29,53.639999,55.639999,53.639999,55.520000,54.964706,4231600
2020-07-30,53.549999,54.430000,52.160000,53.759998,53.511452,6584500
2020-07-31,53.770000,54.959999,52.910000,53.480000,53.232750,4830800
2020-08-03,53.029999,53.330002,52.380001,52.459999,52.217464,4768500
2020-08-04,52.369999,53.520000,52.119999,53.160000,52.914230,4692800
2020-08-05,53.820000,55.369999,53.770000,54.730000,54.476971,4943300
2020-08-06,55.160000,55.230000,54.380001,54.709999,54.457062,5691200
2020-08-07,54.459999,55.880001,53.810001,55.869999,55.611698,3191900
2020-08-10,56.009998,57.799999,55.950001,57.669998,57.403378,4120700
2020-08-11,58.980000,59.830002,57.180000,57.299999,57.035088,9855500
2020-08-12,59.000000,59.500000,58.320000,58.349998,58.080235,5355100
2020-08-13,57.750000,58.470001,57.480000,58.020000,57.751759,4071700
2020-08-14,57.480000,58.580002,57.209999,58.160000,57.891113,2664300
2020-08-17,58.110001,58.459999,57.419998,57.459999,57.194347,2419500
2020-08-18,57.639999,57.919998,56.939999,57.000000,56.736477,2986500
2020-08-19,56.869999,57.209999,56.139999,56.270000,56.009850,3864100
2020-08-20,55.619999,56.340000,55.250000,56.110001,55.850590,2383600
2020-08-21,56.000000,56.189999,55.029999,55.139999,54.885075,3058800
2020-08-24,55.740002,56.990002,55.060001,56.889999,56.626984,5856000
2020-08-25,57.230000,57.669998,56.040001,56.200001,55.940174,2958600
2020-08-26,56.040001,57.180000,55.720001,56.910000,56.646893,2525600
2020-08-27,56.939999,57.470001,56.139999,56.580002,56.318420,2507200
2020-08-28,56.820000,57.259998,56.299999,57.180000,56.915646,2076200
2020-08-31,56.830002,56.900002,55.740002,55.759998,55.502205,3019500
2020-09-01,55.410000,57.270000,54.919998,57.259998,56.995274,4531000
2020-09-02,57.430000,60.349998,57.279999,60.160000,59.881866,6824300
2020-09-03,60.000000,60.459999,57.419998,58.110001,57.841343,6023400
2020-09-04,58.889999,59.119999,57.980000,58.799999,58.528152,4802800
2020-09-08,57.970001,58.000000,56.580002,56.820000,56.557308,5007200
2020-09-09,57.540001,58.470001,57.330002,57.930000,57.662178,2913700
2020-09-10,58.110001,58.580002,57.590000,57.730000,57.463100,4153000
2020-09-11,58.160000,59.080002,57.630001,58.570000,58.299217,2989300
2020-09-14,59.189999,60.090000,58.860001,59.430000,59.155243,2997500
2020-09-15,59.430000,59.959999,59.220001,59.549999,59.274685,2308400
2020-09-16,59.750000,60.980000,59.150002,60.169998,59.891819,3529300
2020-09-17,59.330002,60.919998,59.029999,60.770000,60.489048,4321500
2020-09-18,60.130001,60.480000,58.669998,59.290001,59.015888,5603900
2020-09-21,57.360001,57.680000,55.880001,56.180000,55.920265,5953900
2020-09-22,56.220001,56.290001,55.380001,55.759998,55.502205,3102500
2020-09-23,55.590000,56.180000,54.310001,54.369999,54.118633,5227300
2020-09-24,54.250000,55.029999,53.590000,54.299999,54.048958,3728100
2020-09-25,53.810001,55.270000,53.490002,55.040001,54.785538,2942200
2020-09-28,55.970001,57.290001,55.869999,56.549999,56.288555,3544800
2020-09-29,56.630001,56.689999,55.020000,55.189999,54.934841,4098400
2020-09-30,55.540001,56.330002,55.020000,55.480000,55.223503,4127600
2020-10-01,55.959999,56.310001,54.430000,54.529999,54.277893,4579500
2020-10-02,53.730000,55.570000,53.520000,54.770000,54.516785,4846900
