Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,338.299988,344.720001,332.029999,332.660004,329.876617,889500
2020-03-12,308.019989,329.619995,300.000000,317.109985,315.195801,1139300
2020-03-13,328.390015,329.079987,297.320007,316.630005,314.718689,1208600
2020-03-16,297.429993,311.529999,283.600006,286.320007,284.591675,1089100
2020-03-17,291.640015,314.959991,282.029999,298.739990,296.936676,1183400
2020-03-18,296.540009,303.869995,275.220001,290.000000,288.249451,1098800
2020-03-19,292.000000,337.220001,289.339996,323.140015,321.189453,1423000
2020-03-20,326.910004,344.200012,298.140015,299.950012,298.139404,1802800
2020-03-23,310.910004,336.799988,294.209991,323.869995,321.914978,1340500
2020-03-24,341.119995,349.000000,333.160004,343.559998,341.486145,881100
2020-03-25,345.480011,349.679993,320.809998,321.450012,319.509613,963100
2020-03-26,323.500000,342.000000,317.820007,338.510010,336.466614,870600
2020-03-27,328.829987,341.989990,326.059998,338.739990,336.695221,646200
2020-03-30,338.649994,353.420013,333.510010,346.750000,344.656891,954400
2020-03-31,325.000000,330.839996,321.000000,324.070007,322.113800,2097000
2020-04-01,312.010010,337.829987,310.339996,333.769989,331.755249,1200100
2020-04-02,330.220001,341.570007,321.500000,333.450012,331.437195,772300
2020-04-03,333.000000,338.359985,325.100006,328.230011,326.248688,571900
2020-04-06,340.000000,340.839996,330.429993,338.519989,336.476593,805300
2020-04-07,347.279999,351.910004,333.820007,333.959991,331.944092,737400
2020-04-08,338.890015,344.970001,333.190002,343.829987,341.754517,688100
2020-04-09,348.000000,352.220001,340.529999,343.640015,341.565674,641300
2020-04-13,344.549988,357.970001,338.709991,355.140015,352.996246,755400
2020-04-14,364.450012,365.880005,353.230011,358.260010,356.097412,713400
2020-04-15,355.089996,360.579987,353.390015,354.619995,352.479370,703300
2020-04-16,359.059998,362.989990,356.619995,360.470001,358.294067,861900
2020-04-17,362.579987,366.000000,355.420013,362.970001,360.778992,715400
2020-04-20,364.660004,374.200012,364.660004,370.480011,368.243652,844000
2020-04-21,370.480011,377.339996,360.239990,365.220001,363.015381,696700
2020-04-22,373.320007,387.850006,370.010010,383.750000,381.433533,1398200
2020-04-23,379.910004,380.100006,359.000000,369.640015,367.408722,2095500
2020-04-24,368.980011,374.929993,363.910004,367.290009,365.072876,1035400
2020-04-27,369.640015,374.619995,361.570007,362.029999,359.844635,791500
2020-04-28,364.000000,365.519989,354.649994,356.010010,353.861023,906300
2020-04-29,356.010010,367.299988,349.089996,362.010010,359.824799,868000
2020-04-30,363.350006,370.200012,361.929993,361.929993,359.745239,925500
2020-05-01,358.670013,364.589996,356.130005,357.299988,355.143188,794100
2020-05-04,356.260010,361.540009,356.100006,359.100006,356.932343,626400
2020-05-05,362.440002,372.839996,357.100006,371.459991,369.217712,778000
2020-05-06,369.579987,379.559998,369.579987,372.299988,370.052643,928500
2020-05-07,371.000000,371.970001,364.130005,367.170013,364.953613,1312200
2020-05-08,369.500000,373.679993,365.109985,369.109985,366.881897,940800
2020-05-11,369.149994,382.730011,365.029999,377.489990,375.211334,10278800
2020-05-12,380.600006,382.209991,375.320007,377.940002,375.658630,899100
2020-05-13,379.730011,385.339996,376.519989,384.959991,382.636200,1074900
2020-05-14,383.880005,385.970001,372.510010,376.010010,373.740295,741100
2020-05-15,372.140015,376.079987,369.420013,376.040009,373.770111,584500
2020-05-18,378.739990,378.739990,361.059998,364.500000,362.299744,1017700
2020-05-19,363.000000,372.320007,361.410004,370.010010,367.776489,619200
2020-05-20,373.000000,377.399994,371.690002,377.239990,374.962830,754100
2020-05-21,377.399994,378.799988,372.980011,375.239990,372.974915,443500
2020-05-22,376.459991,378.250000,367.540009,372.100006,369.853882,639800
2020-05-26,374.950012,375.369995,360.130005,360.160004,357.985962,866000
2020-05-27,363.720001,375.209991,360.019989,373.970001,371.712585,1285900
2020-05-28,375.959991,375.959991,364.570007,365.549988,363.343384,694000
2020-05-29,370.260010,386.510010,369.739990,385.839996,383.510925,1123000
2020-06-01,385.589996,394.390015,383.200012,383.579987,381.264526,972400
2020-06-02,386.630005,387.489990,381.130005,384.859985,382.536835,660200
2020-06-03,387.000000,391.000000,385.000000,390.140015,387.785004,609600
2020-06-04,390.399994,394.359985,379.529999,382.779999,380.469391,697700
2020-06-05,381.679993,382.339996,371.859985,376.410004,374.137848,715500
2020-06-08,371.799988,377.540009,370.829987,375.820007,373.551422,640800
