Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,17.780001,18.010000,16.080000,16.430000,16.111708,14841400
2020-03-12,15.150000,15.330000,13.420000,13.430000,13.169825,7277800
2020-03-13,14.790000,15.210000,12.970000,15.140000,14.846698,7363600
2020-03-16,12.640000,13.300000,10.790000,10.850000,10.639807,7763600
2020-03-17,11.350000,11.390000,9.800000,10.000000,9.806273,7715400
2020-03-18,9.290000,9.740000,7.900000,9.310000,9.129641,9134700
2020-03-19,9.000000,13.300000,8.830000,12.470000,12.228423,7689800
2020-03-20,12.950000,13.960000,11.540000,11.670000,11.443921,9472300
2020-03-23,11.470000,11.480000,10.270000,10.840000,10.630000,6339300
2020-03-24,11.690000,15.680000,11.690000,14.990000,14.990000,8137400
2020-03-25,15.000000,16.700001,14.380000,14.500000,14.500000,8540200
2020-03-26,15.750000,16.469999,14.750000,15.310000,15.310000,10862000
2020-03-27,14.230000,14.820000,13.500000,14.240000,14.240000,5393800
2020-03-30,14.000000,14.860000,13.250000,14.440000,14.440000,6187900
2020-03-31,14.560000,14.750000,12.780000,13.050000,13.050000,7220000
2020-04-01,12.040000,12.180000,11.500000,11.960000,11.960000,5224300
2020-04-02,11.690000,13.090000,11.600000,12.490000,12.490000,6126500
2020-04-03,12.430000,12.650000,11.350000,11.670000,11.670000,3488700
2020-04-06,12.830000,13.870000,12.640000,13.520000,13.520000,7730200
2020-04-07,14.850000,15.700000,13.730000,13.910000,13.910000,7388100
2020-04-08,14.300000,15.840000,14.150000,15.800000,15.800000,4952300
2020-04-09,16.750000,17.719999,15.800000,16.090000,16.090000,5739600
2020-04-13,16.100000,16.240000,15.220000,15.590000,15.590000,3984800
2020-04-14,15.850000,16.139999,15.180000,15.380000,15.380000,4959500
2020-04-15,14.340000,14.870000,13.610000,14.360000,14.360000,5991700
2020-04-16,14.510000,14.560000,13.210000,13.570000,13.570000,4030300
2020-04-17,14.070000,15.370000,14.070000,15.330000,15.330000,4202200
2020-04-20,14.800000,15.460000,14.520000,15.070000,15.070000,3879100
2020-04-21,14.450000,14.840000,14.010000,14.410000,14.410000,2952300
2020-04-22,14.920000,14.970000,14.420000,14.710000,14.710000,3308800
2020-04-23,15.000000,15.870000,14.940000,15.340000,15.340000,4837100
2020-04-24,15.430000,16.240000,15.430000,15.920000,15.920000,6691500
2020-04-27,15.890000,16.969999,15.800000,16.870001,16.870001,3826000
2020-04-28,17.750000,18.510000,17.469999,17.980000,17.980000,5448600
2020-04-29,19.040001,19.330000,18.360001,18.820000,18.820000,4961400
2020-04-30,18.200001,18.559999,17.590000,18.129999,18.129999,3124800
2020-05-01,17.180000,17.410000,16.309999,16.790001,16.790001,2313600
2020-05-04,16.500000,16.830000,15.880000,16.590000,16.590000,1995600
2020-05-05,17.440001,17.680000,16.480000,16.530001,16.530001,2342200
2020-05-06,16.740000,17.049999,16.090000,16.209999,16.209999,2941500
2020-05-07,16.740000,17.700001,16.690001,17.330000,17.330000,6119000
2020-05-08,17.740000,17.910000,17.190001,17.650000,17.650000,2240800
2020-05-11,17.080000,17.240000,16.350000,16.700001,16.700001,2833100
2020-05-12,16.830000,17.110001,15.810000,15.820000,15.820000,2650200
2020-05-13,15.390000,15.420000,14.390000,14.660000,14.660000,4283600
2020-05-14,14.210000,15.220000,13.650000,15.150000,15.150000,3024800
2020-05-15,14.800000,15.360000,14.520000,15.280000,15.280000,5436200
2020-05-18,16.639999,17.170000,16.510000,16.730000,16.730000,4446900
2020-05-19,16.510000,16.730000,15.780000,16.160000,16.160000,2477300
2020-05-20,16.510000,17.230000,16.480000,16.980000,16.980000,4629700
2020-05-21,16.840000,16.930000,15.810000,15.850000,15.850000,2842400
2020-05-22,15.950000,15.980000,15.060000,15.480000,15.480000,5049200
2020-05-26,16.590000,16.670000,16.200001,16.360001,16.360001,5131200
2020-05-27,17.230000,17.730000,16.309999,17.680000,17.680000,5838000
2020-05-28,17.600000,17.650000,16.330000,16.570000,16.570000,6427700
2020-05-29,14.950000,15.350000,14.000000,14.210000,14.210000,29835400
2020-06-01,14.300000,14.810000,14.020000,14.760000,14.760000,9541400
2020-06-02,15.000000,16.280001,14.970000,16.160000,16.160000,9025700
2020-06-03,16.920000,17.930000,16.820000,17.850000,17.850000,9362300
2020-06-04,17.650000,18.150000,17.129999,17.600000,17.600000,5535700
2020-06-05,19.209999,19.459999,17.900000,18.000000,18.000000,5945700
2020-06-08,19.200001,19.680000,18.650000,19.559999,19.559999,4502300
2020-06-09,18.910000,19.000000,17.910000,18.139999,18.139999,4474600
2020-06-10,18.020000,18.180000,16.930000,16.940001,16.940001,5270400
2020-06-11,15.500000,15.820000,14.760000,14.770000,14.770000,5245900
2020-06-12,15.860000,16.400000,15.290000,16.270000,16.270000,4676900
2020-06-15,15.300000,16.580000,14.940000,16.389999,16.389999,4044700
2020-06-16,17.340000,17.490000,15.870000,16.219999,16.219999,5182900
2020-06-17,16.250000,16.389999,15.660000,15.810000,15.810000,2919700
2020-06-18,15.560000,16.080000,15.220000,15.660000,15.660000,3087900
2020-06-19,16.010000,16.420000,15.410000,15.430000,15.430000,6047400
2020-06-22,15.310000,15.590000,14.860000,15.490000,15.490000,3576900
2020-06-23,15.750000,16.290001,15.600000,16.240000,16.240000,4659800
2020-06-24,15.640000,15.790000,14.940000,15.040000,15.040000,3869800
2020-06-25,14.940000,15.980000,14.820000,15.910000,15.910000,7065800
2020-06-26,15.740000,15.790000,15.110000,15.480000,15.480000,5440600
2020-06-29,15.570000,16.090000,15.220000,16.080000,16.080000,3554000
2020-06-30,15.990000,16.590000,15.870000,16.500000,16.500000,3418400
2020-07-01,16.450001,16.870001,15.620000,16.139999,16.139999,12751600
2020-07-02,16.680000,17.059999,16.100000,16.150000,16.150000,3522300
2020-07-06,16.510000,16.580000,15.080000,15.290000,15.290000,6106600
2020-07-07,15.050000,15.800000,14.950000,15.280000,15.280000,5368800
2020-07-08,15.320000,15.540000,15.000000,15.460000,15.460000,2846600
2020-07-09,15.350000,15.370000,14.730000,15.160000,15.160000,2518500
2020-07-10,15.070000,15.560000,14.920000,15.490000,15.490000,3200100
2020-07-13,15.670000,16.010000,15.440000,15.510000,15.510000,3319200
2020-07-14,15.340000,15.480000,15.070000,15.410000,15.410000,2681600
2020-07-15,15.740000,16.490000,15.730000,16.420000,16.420000,3929700
2020-07-16,16.100000,16.940001,15.970000,16.660000,16.660000,2932400
2020-07-17,16.719999,16.959999,16.540001,16.809999,16.809999,2598900
2020-07-20,16.719999,17.020000,16.430000,16.900000,16.900000,1925400
2020-07-21,17.180000,17.610001,17.040001,17.100000,17.100000,2312300
2020-07-22,16.910000,17.440001,16.790001,17.280001,17.280001,1569900
2020-07-23,17.180000,17.790001,17.160000,17.530001,17.530001,2117900
2020-07-24,17.510000,17.709999,17.059999,17.150000,17.150000,2027900
2020-07-27,17.090000,17.200001,16.709999,17.129999,17.129999,2414900
2020-07-28,17.120001,17.379999,16.920000,16.940001,16.940001,1633700
2020-07-29,17.000000,17.889999,16.920000,17.799999,17.799999,2761900
2020-07-30,17.360001,17.860001,16.799999,17.760000,17.760000,1817700
2020-07-31,17.620001,17.990000,17.350000,17.910000,17.910000,2019300
2020-08-03,17.879999,18.709999,17.570000,18.150000,18.150000,12474000
2020-08-04,18.230000,18.500000,18.040001,18.240000,18.240000,2566000
2020-08-05,18.500000,18.740000,18.309999,18.480000,18.480000,2090900
2020-08-06,18.190001,18.860001,18.030001,18.690001,18.690001,2860300
2020-08-07,19.000000,20.639999,18.840000,19.900000,19.900000,6480300
2020-08-10,19.860001,20.480000,19.860001,20.260000,20.260000,3932100
2020-08-11,20.719999,21.190001,20.010000,20.020000,20.020000,3623700
2020-08-12,20.080000,20.200001,19.559999,19.600000,19.600000,3226800
2020-08-13,19.379999,19.860001,19.270000,19.639999,19.639999,2189400
2020-08-14,19.469999,20.719999,19.389999,20.410000,20.410000,2713200
2020-08-17,20.510000,20.969999,20.120001,20.150000,20.150000,2522100
2020-08-18,20.160000,20.160000,19.280001,19.370001,19.370001,2784800
2020-08-19,19.340000,19.900000,19.299999,19.709999,19.709999,1984100
2020-08-20,19.420000,19.639999,19.120001,19.129999,19.129999,1618200
2020-08-21,19.170000,19.219999,18.549999,18.680000,18.680000,1506800
2020-08-24,18.760000,19.059999,18.290001,18.940001,18.940001,2029500
2020-08-25,19.160000,19.309999,18.780001,19.209999,19.209999,1581000
2020-08-26,19.480000,19.639999,19.020000,19.459999,19.459999,1799300
2020-08-27,19.510000,19.840000,19.309999,19.760000,19.760000,1864700
2020-08-28,19.959999,20.590000,19.790001,20.559999,20.559999,2033500
2020-08-31,20.440001,20.440001,19.940001,19.980000,19.980000,2684900
2020-09-01,19.750000,20.059999,19.580000,20.040001,20.040001,1992500
2020-09-02,20.090000,22.430000,19.950001,22.370001,22.370001,8137300
2020-09-03,22.600000,22.700001,21.160000,21.350000,21.350000,4165200
2020-09-04,21.100000,21.440001,20.209999,20.650000,20.650000,3655100
2020-09-08,20.200001,20.639999,19.920000,19.959999,19.959999,2594800
2020-09-09,20.230000,20.230000,19.299999,20.100000,20.100000,2219000
2020-09-10,20.510000,20.559999,19.420000,19.580000,19.580000,2386600
2020-09-11,19.559999,19.650000,19.250000,19.549999,19.549999,1892000
2020-09-14,19.820000,20.260000,19.700001,20.190001,20.190001,2012000
2020-09-15,20.219999,20.280001,19.530001,19.559999,19.559999,1718700
2020-09-16,19.850000,19.910000,19.350000,19.410000,19.410000,3366400
2020-09-17,19.000000,19.090000,18.650000,18.870001,18.870001,2730200
2020-09-18,18.680000,18.700001,18.059999,18.459999,18.459999,7785000
2020-09-21,17.930000,17.990000,17.230000,17.320000,17.320000,3128300
2020-09-22,17.410000,17.540001,16.580000,17.129999,17.129999,3046700
2020-09-23,17.170000,17.400000,16.270000,16.280001,16.280001,3448100
2020-09-24,16.000000,16.379999,15.640000,16.180000,16.180000,3679800
2020-09-25,15.910000,16.450001,15.820000,16.320000,16.320000,2376500
2020-09-28,16.820000,17.340000,16.600000,17.090000,17.090000,2909200
2020-09-29,16.980000,17.860001,16.910000,17.700001,17.700001,3667100
2020-09-30,17.790001,18.370001,17.740000,17.850000,17.850000,3471200
2020-10-01,18.080000,18.820000,18.040001,18.809999,18.809999,2817700
2020-10-02,18.040001,18.600000,17.850000,18.360001,18.360001,2685400
2020-10-05,18.750000,18.879999,18.410000,18.709999,18.709999,1326000
2020-10-06,18.920000,19.200001,17.809999,17.889999,17.889999,1808700
2020-10-07,18.010000,18.450001,17.990000,18.440001,18.440001,2029200
