Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,86.410004,87.500000,83.110001,84.370003,81.694931,4422800
2020-03-12,78.250000,80.489998,75.010002,75.919998,74.154457,5814900
2020-03-13,80.820000,87.040001,78.190002,85.559998,83.570274,5711900
2020-03-16,75.809998,81.279999,74.870003,75.320000,73.568405,4825300
2020-03-17,76.900002,77.980003,70.279999,73.739998,72.025154,5774000
2020-03-18,68.129997,69.440002,58.720001,68.820000,67.219574,5784500
2020-03-19,67.519997,72.680000,62.099998,72.449997,70.765152,4599000
2020-03-20,73.860001,73.860001,64.470001,64.930000,63.420033,4540900
2020-03-23,63.830002,64.309998,56.419998,57.770000,56.426544,6096900
2020-03-24,61.639999,72.410004,61.169998,71.209999,69.553993,5155900
2020-03-25,72.089996,79.309998,69.410004,74.599998,72.865150,5259100
2020-03-26,76.290001,78.959999,73.820000,78.250000,76.430275,3073400
2020-03-27,73.029999,76.510002,71.919998,74.540001,72.806549,2621400
2020-03-30,74.419998,78.709999,74.000000,78.320000,76.498650,2873400
2020-03-31,77.669998,79.040001,75.870003,77.690002,75.883293,5641200
2020-04-01,72.570000,74.040001,71.129997,73.139999,71.439110,3769700
2020-04-02,72.440002,75.089996,71.580002,73.589996,71.878639,3162500
2020-04-03,74.120003,74.120003,70.339996,71.250000,69.593056,2606700
2020-04-06,75.209999,77.889999,75.129997,77.400002,75.600044,3109300
2020-04-07,81.169998,82.250000,75.940002,76.160004,74.388878,3372100
2020-04-08,77.239998,80.699997,76.129997,80.139999,78.276321,3272800
2020-04-09,80.690002,84.839996,80.500000,81.440002,79.546089,4472100
2020-04-13,79.400002,79.930000,76.739998,78.389999,76.567017,2238200
2020-04-14,80.510002,81.239998,78.680000,79.839996,77.983299,1943400
2020-04-15,77.760002,78.010002,75.389999,75.739998,73.978638,2040500
2020-04-16,75.599998,76.239998,74.349998,75.820000,74.056778,2961000
2020-04-17,78.580002,80.879997,78.120003,79.260002,77.416786,2450900
2020-04-20,77.529999,79.449997,76.709999,77.889999,76.078644,2181200
2020-04-21,76.709999,77.860001,75.800003,76.910004,75.121437,2400300
2020-04-22,78.919998,79.680000,77.500000,77.650002,75.844231,2639300
2020-04-23,78.779999,80.290001,78.029999,78.150002,76.332603,2289100
2020-04-24,78.980003,79.379997,77.699997,78.860001,77.026093,2085100
2020-04-27,79.290001,83.230003,79.290001,82.540001,80.620506,1992300
2020-04-28,84.529999,85.449997,82.629997,83.099998,81.167488,2249200
2020-04-29,84.989998,86.769997,84.300003,85.779999,83.785156,2563300
2020-04-30,85.309998,85.489998,82.669998,83.500000,81.558182,3597600
2020-05-01,82.000000,82.889999,79.870003,82.070000,80.161438,2505800
2020-05-04,80.470001,81.139999,78.099998,79.320000,77.475388,2839900
2020-05-05,81.050003,82.360001,80.500000,80.800003,78.920982,2260100
2020-05-06,80.769997,81.650002,79.919998,79.919998,78.061440,1825500
2020-05-07,81.260002,81.570000,79.870003,80.260002,78.393539,2219300
2020-05-08,81.500000,82.400002,81.089996,82.250000,80.337250,1555100
2020-05-11,81.440002,81.790001,80.190002,81.080002,79.194466,1786800
2020-05-12,81.470001,82.089996,77.269997,77.459999,75.658653,1996200
2020-05-13,76.430000,76.599998,73.059998,73.870003,72.838577,2336600
2020-05-14,71.910004,74.989998,70.540001,74.910004,73.864059,2734000
2020-05-15,74.220001,75.220001,73.120003,73.709999,72.680809,2661200
2020-05-18,77.000000,79.000000,76.639999,78.269997,77.177139,1916500
2020-05-19,77.769997,78.459999,76.260002,76.339996,75.274086,2356200
2020-05-20,77.680000,78.620003,76.559998,77.930000,76.841888,1905100
2020-05-21,77.639999,78.669998,77.470001,78.290001,77.196861,2130100
2020-05-22,78.410004,78.760002,77.059998,78.669998,77.571548,1784400
2020-05-26,80.230003,82.449997,80.169998,81.919998,80.776176,2683100
2020-05-27,84.279999,86.470001,83.910004,86.279999,85.075302,3190800
2020-05-28,86.959999,87.099998,84.639999,85.129997,83.941353,3491100
2020-05-29,84.309998,85.160004,83.059998,84.900002,83.714577,3361600
2020-06-01,84.669998,85.360001,84.180000,84.660004,83.477928,1584000
2020-06-02,85.139999,85.620003,84.239998,85.620003,84.424522,1741300
2020-06-03,86.900002,89.550003,86.650002,89.330002,88.082710,1819500
2020-06-04,88.470001,92.040001,87.940002,91.989998,90.705566,3069600
2020-06-05,96.589996,98.459999,95.160004,95.430000,94.097542,3398100
2020-06-08,94.760002,96.309998,94.660004,95.669998,94.334190,2574200
2020-06-09,93.870003,96.489998,93.250000,95.419998,94.087677,2260600
2020-06-10,95.000000,95.419998,91.980003,91.980003,90.695717,2023600
2020-06-11,88.160004,88.419998,84.970001,85.129997,83.941353,2069800
2020-06-12,88.449997,88.660004,83.949997,86.010002,84.809074,1788100
2020-06-15,83.330002,87.860001,82.980003,86.690002,85.479584,2651500
2020-06-16,90.010002,90.970001,87.250000,88.940002,87.698158,2000300
2020-06-17,89.629997,89.629997,87.660004,88.839996,87.599556,2027500
2020-06-18,88.099998,88.830002,87.160004,87.529999,86.307846,1932000
2020-06-19,89.480003,89.480003,86.800003,89.339996,88.092575,6552500
2020-06-22,88.750000,88.750000,86.430000,87.080002,85.864136,2600300
2020-06-23,88.000000,88.209999,87.089996,87.120003,85.903572,1841400
2020-06-24,86.309998,86.449997,83.879997,84.010002,82.836998,2500900
2020-06-25,83.570000,85.639999,82.440002,85.470001,84.276611,2502000
2020-06-26,85.239998,85.959999,84.669998,85.500000,84.306190,3696000
2020-06-29,86.339996,87.739998,85.750000,86.910004,85.696503,1690800
2020-06-30,86.470001,87.930000,86.120003,87.480003,86.258545,1910100
2020-07-01,87.910004,88.300003,86.540001,87.099998,85.883850,2183200
2020-07-02,88.720001,89.980003,88.089996,88.239998,87.007927,1587700
2020-07-06,89.820000,90.150002,88.199997,88.879997,87.638992,1516400
2020-07-07,88.370003,88.580002,87.120003,87.400002,86.179665,1499500
2020-07-08,87.620003,88.379997,86.540001,87.339996,86.120499,1561800
2020-07-09,87.099998,87.519997,85.050003,85.639999,84.444237,2132400
2020-07-10,85.860001,86.500000,84.870003,86.440002,85.233070,1380100
2020-07-13,87.010002,89.169998,86.629997,87.430000,86.209244,1557000
2020-07-14,87.519997,90.980003,86.750000,90.669998,89.403999,2221700
2020-07-15,92.300003,93.839996,91.260002,93.400002,92.095886,2711500
2020-07-16,92.940002,94.739998,92.550003,93.559998,92.253654,1397100
2020-07-17,94.139999,95.250000,93.629997,94.570000,93.249550,1791700
2020-07-20,94.050003,94.160004,92.430000,92.779999,91.484543,1419200
2020-07-21,93.400002,94.599998,93.000000,93.559998,92.253654,1303400
2020-07-22,93.160004,94.419998,93.120003,93.970001,92.657928,903700
2020-07-23,94.029999,94.339996,93.379997,93.830002,92.519890,1200200
2020-07-24,93.970001,94.500000,93.050003,93.610001,92.302956,1004100
2020-07-27,93.379997,95.400002,92.589996,95.230003,93.900337,1265100
2020-07-28,94.760002,95.180000,93.300003,93.339996,92.036720,1374000
2020-07-29,95.550003,97.529999,93.839996,96.889999,95.537163,1964100
2020-07-30,95.300003,95.300003,93.389999,94.459999,93.141083,1396200
2020-07-31,94.139999,94.169998,91.720001,93.129997,91.829659,1664100
2020-08-03,93.820000,95.489998,93.260002,94.870003,93.545364,1278500
2020-08-04,94.190002,94.800003,93.260002,94.650002,93.328438,945600
2020-08-05,95.430000,96.800003,95.300003,96.339996,94.994835,1355700
2020-08-06,96.169998,96.769997,95.540001,96.510002,95.162460,960700
2020-08-07,96.709999,97.849998,95.959999,97.760002,96.395012,1139900
2020-08-10,97.919998,99.959999,97.580002,99.760002,98.367088,1574300
2020-08-11,100.279999,103.730003,100.279999,102.180000,100.753296,2442800
2020-08-12,103.430000,103.449997,102.110001,102.550003,101.118134,2671200
2020-08-13,101.110001,101.919998,100.610001,101.430000,100.730812,1803200
2020-08-14,100.480003,101.839996,100.349998,100.889999,100.194534,1192200
2020-08-17,101.269997,102.199997,100.309998,100.900002,100.204468,1513100
2020-08-18,100.690002,101.370003,100.050003,100.709999,100.015778,1205300
2020-08-19,100.339996,101.510002,99.529999,100.480003,99.787369,1365700
2020-08-20,99.339996,100.190002,99.059998,99.470001,98.784325,1209700
2020-08-21,99.580002,101.190002,99.320000,100.589996,99.896599,1658100
2020-08-24,101.389999,102.889999,100.760002,102.879997,102.170815,1595800
2020-08-25,103.599998,103.820000,101.820000,102.820000,102.111237,1250100
2020-08-26,102.440002,102.820000,101.320000,102.400002,101.694130,1127400
2020-08-27,102.879997,103.260002,101.470001,102.089996,101.386261,948000
2020-08-28,102.489998,103.570000,101.510002,103.510002,102.796478,1049600
2020-08-31,103.070000,103.500000,101.760002,102.099998,101.396194,1690100
2020-09-01,101.750000,103.519997,101.320000,103.430000,102.717026,1256900
