Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,8.630000,8.740000,7.950000,8.120000,8.120000,33944300
2020-03-12,7.170000,7.750000,6.810000,7.170000,7.170000,37820700
2020-03-13,7.780000,7.890000,6.860000,7.530000,7.530000,40387000
2020-03-16,6.440000,6.970000,6.200000,6.240000,6.240000,40627300
2020-03-17,6.380000,6.570000,5.730000,6.480000,6.480000,31925400
2020-03-18,5.890000,6.000000,4.850000,5.310000,5.310000,37912700
2020-03-19,5.170000,6.160000,4.820000,5.740000,5.740000,38977600
2020-03-20,6.070000,6.140000,5.370000,5.520000,5.520000,39899900
2020-03-23,5.460000,5.880000,5.260000,5.390000,5.390000,35098700
2020-03-24,6.080000,7.240000,6.070000,6.990000,6.990000,47531300
2020-03-25,6.960000,7.670000,6.650000,7.250000,7.250000,39768400
2020-03-26,7.260000,7.370000,6.820000,6.990000,6.990000,32481300
2020-03-27,6.660000,6.700000,6.170000,6.200000,6.200000,37285500
2020-03-30,6.270000,6.300000,5.990000,6.240000,6.240000,22468300
2020-03-31,6.320000,7.130000,6.280000,6.750000,6.750000,35490500
2020-04-01,6.350000,6.760000,6.240000,6.310000,6.310000,27051100
2020-04-02,6.540000,6.740000,6.140000,6.390000,6.390000,32168900
2020-04-03,6.360000,6.740000,6.200000,6.320000,6.320000,26937200
2020-04-06,6.740000,7.270000,6.730000,7.190000,7.190000,39115800
2020-04-07,7.860000,8.020000,7.450000,7.590000,7.590000,43593400
2020-04-08,7.640000,8.070000,7.510000,8.030000,8.030000,26970700
2020-04-09,8.310000,8.430000,8.010000,8.190000,8.190000,35040900
2020-04-13,8.320000,8.330000,7.900000,8.300000,8.300000,22290100
2020-04-14,8.430000,8.670000,8.130000,8.320000,8.320000,21245200
2020-04-15,7.800000,7.870000,7.500000,7.670000,7.670000,24947800
2020-04-16,7.780000,7.800000,7.390000,7.580000,7.580000,24789600
2020-04-17,8.010000,8.400000,7.990000,8.340000,8.340000,38253400
2020-04-20,7.890000,8.310000,7.800000,8.020000,8.020000,19590000
2020-04-21,7.500000,7.780000,7.300000,7.410000,7.410000,30596600
2020-04-22,7.550000,7.760000,7.550000,7.640000,7.640000,23654700
2020-04-23,7.870000,8.130000,7.760000,7.810000,7.810000,21015100
2020-04-24,8.220000,8.620000,8.200000,8.480000,8.480000,34639100
2020-04-27,8.620000,8.980000,8.390000,8.850000,8.850000,21960600
2020-04-28,9.090000,9.230000,8.610000,8.920000,8.920000,21404000
2020-04-29,9.280000,9.480000,9.150000,9.260000,9.260000,22248700
2020-04-30,8.980000,9.190000,8.740000,8.830000,8.830000,21663600
2020-05-01,8.480000,8.670000,8.220000,8.460000,8.460000,25342500
2020-05-04,8.370000,8.710000,8.230000,8.700000,8.700000,16969500
2020-05-05,8.840000,9.150000,8.710000,8.800000,8.800000,20285300
2020-05-06,8.920000,8.970000,8.580000,8.590000,8.590000,10883500
2020-05-07,8.810000,9.130000,8.800000,8.970000,8.970000,18687300
2020-05-08,9.170000,9.290000,9.110000,9.210000,9.210000,20171100
2020-05-11,8.950000,9.050000,8.850000,8.980000,8.980000,16171500
2020-05-12,9.070000,9.170000,8.660000,8.670000,8.670000,21145600
2020-05-13,8.700000,8.710000,8.180000,8.400000,8.400000,18122900
2020-05-14,8.110000,8.590000,7.810000,8.290000,8.290000,33955000
2020-05-15,8.300000,8.650000,8.240000,8.480000,8.480000,17750400
2020-05-18,9.020000,9.320000,9.010000,9.180000,9.180000,33453400
2020-05-19,9.140000,9.290000,9.100000,9.140000,9.140000,27629300
2020-05-20,9.330000,9.380000,9.090000,9.120000,9.120000,25585500
2020-05-21,9.050000,9.210000,8.770000,8.900000,8.900000,27813700
2020-05-22,8.750000,8.890000,8.600000,8.740000,8.740000,21058900
2020-05-26,9.130000,9.340000,9.050000,9.260000,9.260000,26165000
2020-05-27,9.420000,9.460000,8.970000,9.290000,9.290000,21025400
2020-05-28,9.450000,9.460000,9.040000,9.090000,9.090000,18119600
2020-05-29,9.070000,9.200000,8.900000,9.070000,9.070000,24506200
2020-06-01,9.050000,9.420000,9.010000,9.340000,9.340000,15140300
2020-06-02,9.450000,9.900000,9.440000,9.750000,9.750000,23764200
2020-06-03,9.880000,10.320000,9.880000,10.140000,10.140000,24780300
2020-06-04,10.130000,10.280000,9.900000,10.200000,10.200000,20941400
2020-06-05,10.760000,11.190000,10.710000,10.860000,10.860000,27840400
2020-06-08,11.120000,11.270000,10.840000,11.250000,11.250000,21779000
2020-06-09,11.030000,11.320000,10.890000,11.270000,11.270000,21768700
2020-06-10,11.320000,11.500000,11.060000,11.470000,11.470000,28484600
2020-06-11,10.680000,10.690000,9.790000,9.910000,9.910000,34219900
2020-06-12,10.450000,10.570000,10.050000,10.490000,10.490000,19855800
2020-06-15,10.010000,10.540000,9.780000,10.470000,10.470000,19925400
2020-06-16,11.100000,11.190000,10.470000,10.780000,10.780000,21965500
2020-06-17,10.820000,10.920000,10.650000,10.700000,10.700000,17832800
2020-06-18,10.480000,10.720000,10.370000,10.560000,10.560000,15121300
2020-06-19,10.830000,10.930000,10.400000,10.500000,10.500000,28464700
2020-06-22,10.570000,10.900000,10.500000,10.790000,10.790000,17164300
2020-06-23,11.070000,11.230000,11.010000,11.080000,11.080000,15893200
2020-06-24,10.960000,11.030000,10.440000,10.570000,10.570000,18618100
2020-06-25,10.560000,11.110000,10.480000,11.080000,11.080000,18005200
2020-06-26,11.000000,11.100000,10.780000,10.790000,10.790000,20899500
2020-06-29,10.940000,11.040000,10.750000,11.040000,11.040000,17306000
2020-06-30,11.070000,11.680000,11.030000,11.570000,11.570000,24033000
2020-07-01,11.640000,11.750000,11.240000,11.490000,11.490000,20636800
2020-07-02,11.650000,11.990000,11.480000,11.500000,11.500000,25268500
2020-07-06,12.000000,12.770000,11.900000,12.750000,12.750000,38609200
2020-07-07,12.700000,13.000000,12.500000,12.730000,12.730000,32091800
2020-07-08,12.930000,13.010000,12.520000,12.820000,12.820000,22607200
2020-07-09,13.030000,13.100000,12.560000,12.890000,12.890000,27364300
2020-07-10,12.830000,13.070000,12.790000,12.970000,12.970000,20659700
2020-07-13,13.280000,13.870000,12.960000,13.020000,13.020000,45000700
2020-07-14,12.970000,13.560000,12.750000,13.500000,13.500000,24372200
2020-07-15,13.790000,13.820000,13.180000,13.530000,13.530000,21774700
2020-07-16,13.350000,13.580000,13.210000,13.470000,13.470000,17612000
2020-07-17,13.570000,13.660000,13.410000,13.580000,13.580000,14041600
2020-07-20,13.470000,13.550000,13.270000,13.430000,13.430000,22039800
2020-07-21,13.510000,13.590000,13.330000,13.380000,13.380000,17793600
2020-07-22,13.270000,13.700000,13.190000,13.620000,13.620000,21831300
2020-07-23,13.740000,13.740000,13.060000,13.320000,13.320000,21017400
2020-07-24,12.980000,13.220000,12.700000,13.120000,13.120000,26054000
2020-07-27,13.350000,13.590000,13.180000,13.560000,13.560000,15877700
2020-07-28,13.360000,13.560000,13.220000,13.230000,13.230000,11826700
2020-07-29,13.320000,13.430000,13.130000,13.300000,13.300000,13548300
2020-07-30,12.900000,13.110000,12.730000,12.940000,12.940000,17433300
2020-07-31,12.980000,12.990000,12.730000,12.920000,12.920000,14629500
