Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,18.549999,18.809999,17.379999,17.660000,16.914846,16402500
2020-03-12,16.059999,17.200001,14.890000,15.900000,15.229107,15085900
2020-03-13,17.400000,18.030001,16.160000,17.629999,16.886110,9912600
2020-03-16,14.870000,14.980000,13.710000,13.790000,13.208137,14846100
2020-03-17,14.210000,14.690000,13.050000,13.950000,13.361385,12165700
2020-03-18,13.080000,13.300000,11.500000,11.670000,11.177589,11484600
2020-03-19,11.780000,13.740000,11.100000,13.070000,12.518517,11965200
2020-03-20,13.320000,13.670000,12.110000,12.910000,12.365270,14914800
2020-03-23,13.020000,13.070000,11.620000,12.160000,11.646914,11559300
2020-03-24,13.110000,14.610000,13.000000,14.410000,13.801976,11749600
2020-03-25,14.720000,15.540000,13.980000,14.820000,14.194677,11039700
2020-03-26,15.050000,17.520000,14.710000,17.320000,16.589191,11896400
2020-03-27,16.250000,17.719999,16.139999,17.150000,16.426365,11708800
2020-03-30,16.750000,16.850000,15.520000,15.870000,15.443506,9791000
2020-03-31,15.630000,15.860000,14.730000,14.850000,14.450918,9932600
2020-04-01,14.000000,14.050000,13.150000,13.460000,13.098273,9353400
2020-04-02,13.210000,14.600000,13.200000,14.280000,13.896236,8708100
2020-04-03,14.250000,14.530000,13.150000,13.440000,13.078811,7931600
2020-04-06,14.420000,15.610000,14.400000,15.470000,15.054256,10118200
2020-04-07,16.610001,17.340000,15.740000,15.860000,15.433775,8668800
2020-04-08,16.160000,16.790001,15.970000,16.690001,16.241470,7163600
2020-04-09,17.600000,18.350000,17.440001,17.820000,17.341101,10667500
2020-04-13,18.180000,18.180000,17.010000,17.370001,16.903196,8256400
2020-04-14,17.850000,18.000000,16.549999,17.150000,16.689108,9040400
2020-04-15,16.170000,16.270000,15.520000,15.730000,15.307269,12250900
2020-04-16,15.710000,15.750000,14.470000,14.770000,14.373068,10716500
2020-04-17,15.680000,16.760000,15.640000,16.629999,16.183083,10250400
2020-04-20,16.000000,16.940001,15.700000,16.680000,16.231737,8585600
2020-04-21,16.040001,17.080000,15.620000,16.260000,15.823027,11306500
2020-04-22,16.920000,17.049999,16.320000,16.500000,16.056576,8011200
2020-04-23,16.639999,17.190001,16.520000,16.860001,16.406902,8536600
2020-04-24,17.000000,17.400000,16.780001,17.120001,16.659914,8428200
2020-04-27,17.290001,18.450001,17.230000,18.350000,17.856859,6439400
2020-04-28,19.270000,19.530001,18.530001,18.580000,18.080679,6413600
