Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,8.760000,8.910000,7.780000,8.030000,7.864302,8741200
2020-03-12,7.560000,7.650000,6.510000,6.640000,6.502984,10970700
2020-03-13,6.950000,7.150000,6.210000,7.140000,6.992667,12007300
2020-03-16,5.420000,6.720000,5.010000,5.730000,5.611762,17210900
2020-03-17,6.200000,6.220000,5.430000,6.170000,6.042683,11608200
2020-03-18,5.700000,5.810000,4.490000,5.010000,4.906620,8680900
2020-03-19,5.090000,6.060000,4.990000,6.060000,5.934953,10850300
2020-03-20,5.790000,6.870000,5.730000,6.300000,6.170001,14163000
2020-03-23,7.800000,7.830000,6.000000,6.300000,6.300000,10181900
2020-03-24,6.530000,7.470000,6.530000,7.090000,7.090000,7596700
2020-03-25,6.770000,7.330000,6.530000,6.980000,6.980000,7170200
2020-03-26,6.810000,7.300000,6.690000,7.080000,7.080000,5343500
2020-03-27,6.830000,7.410000,6.720000,7.110000,7.110000,6392100
2020-03-30,6.580000,7.120000,6.440000,7.050000,7.050000,6997200
2020-03-31,6.670000,6.950000,6.620000,6.740000,6.740000,5884400
2020-04-01,6.580000,6.810000,6.300000,6.560000,6.560000,3814200
2020-04-02,6.780000,7.910000,6.760000,7.520000,7.520000,6100000
2020-04-03,7.380000,7.550000,6.660000,7.170000,7.170000,4310900
2020-04-06,7.360000,7.820000,7.260000,7.770000,7.770000,2700000
2020-04-07,7.700000,8.140000,7.580000,7.870000,7.870000,5994700
2020-04-08,8.000000,8.970000,7.910000,8.810000,8.810000,3897200
2020-04-09,8.750000,9.200000,8.130000,8.400000,8.400000,5689100
2020-04-13,8.930000,8.950000,8.310000,8.410000,8.410000,1976600
2020-04-14,8.250000,8.610000,8.210000,8.450000,8.450000,3946200
2020-04-15,7.760000,8.230000,7.320000,7.920000,7.920000,3618100
2020-04-16,7.810000,7.810000,7.350000,7.420000,7.420000,3411300
2020-04-17,7.620000,8.170000,7.620000,8.120000,8.120000,2942300
2020-04-20,7.650000,8.200000,7.500000,7.650000,7.650000,4364400
2020-04-21,7.670000,7.780000,7.350000,7.530000,7.530000,3633900
2020-04-22,7.910000,8.270000,7.680000,8.260000,8.260000,4023200
2020-04-23,7.570000,8.100000,7.570000,7.710000,7.710000,9063800
2020-04-24,7.980000,8.290000,7.700000,8.020000,8.020000,7703000
2020-04-27,7.870000,7.890000,7.610000,7.680000,7.680000,5160600
2020-04-28,8.020000,8.070000,7.680000,7.960000,7.960000,5052100
2020-04-29,8.410000,9.550000,8.370000,9.270000,9.270000,4516300
2020-04-30,8.990000,9.020000,8.480000,8.910000,8.910000,5009400
2020-05-01,8.670000,8.760000,8.120000,8.270000,8.270000,1908700
2020-05-04,7.960000,8.170000,7.610000,7.960000,7.960000,4646900
2020-05-05,8.210000,8.370000,7.720000,7.760000,7.760000,4978500
2020-05-06,7.770000,7.810000,7.400000,7.450000,7.450000,2774800
2020-05-07,7.560000,7.800000,7.320000,7.570000,7.570000,4268100
2020-05-08,7.780000,7.970000,7.610000,7.920000,7.920000,3812800
2020-05-11,7.750000,7.750000,7.360000,7.500000,7.500000,3011100
2020-05-12,7.540000,7.790000,7.240000,7.530000,7.530000,3407000
2020-05-13,7.310000,7.350000,6.820000,6.880000,6.880000,3497000
2020-05-14,6.470000,6.790000,6.230000,6.650000,6.650000,4641700
2020-05-15,6.640000,6.700000,6.490000,6.520000,6.520000,3612100
2020-05-18,7.270000,7.560000,7.110000,7.490000,7.490000,8505800
2020-05-19,7.270000,7.330000,6.950000,6.980000,6.980000,7508100
2020-05-20,7.120000,7.620000,7.040000,7.490000,7.490000,10718100
2020-05-21,7.520000,7.540000,7.080000,7.260000,7.260000,5793900
2020-05-22,7.140000,7.240000,6.860000,7.210000,7.210000,5159000
2020-05-26,7.620000,7.710000,7.550000,7.650000,7.650000,9951400
2020-05-27,7.890000,7.920000,7.570000,7.880000,7.880000,6668500
2020-05-28,8.000000,8.000000,7.640000,7.680000,7.680000,7995000
2020-05-29,7.330000,7.620000,7.180000,7.400000,7.400000,35614000
2020-06-01,7.560000,7.910000,7.470000,7.850000,7.850000,9476200
2020-06-02,8.020000,8.220000,7.940000,8.110000,8.110000,9792200
2020-06-03,8.470000,9.030000,8.410000,8.840000,8.840000,7161500
2020-06-04,8.650000,8.780000,8.540000,8.610000,8.610000,13024700
2020-06-05,9.300000,9.740000,9.270000,9.590000,9.590000,9707800
2020-06-08,10.380000,10.470000,9.870000,10.120000,10.120000,7936000
2020-06-09,9.510000,9.540000,9.150000,9.320000,9.320000,6922700
2020-06-10,9.140000,9.180000,8.590000,8.590000,8.590000,4819000
2020-06-11,8.100000,8.130000,7.460000,7.490000,7.490000,7828400
2020-06-12,8.070000,8.250000,7.700000,7.950000,7.950000,5915900
2020-06-15,7.620000,8.380000,7.560000,8.190000,8.190000,5946500
2020-06-16,8.690000,8.860000,8.310000,8.490000,8.490000,6372600
2020-06-17,8.350000,8.360000,7.970000,8.000000,8.000000,5042300
2020-06-18,7.830000,8.070000,7.730000,7.830000,7.830000,5502000
2020-06-19,8.160000,8.170000,7.530000,7.560000,7.560000,10140500
2020-06-22,7.670000,7.730000,7.430000,7.540000,7.540000,4588000
2020-06-23,7.840000,7.900000,7.600000,7.740000,7.740000,4785000
2020-06-24,7.610000,7.630000,7.060000,7.090000,7.090000,7588700
2020-06-25,7.070000,7.350000,6.980000,7.340000,7.340000,5877700
2020-06-26,7.230000,7.260000,6.980000,7.040000,7.040000,4414900
2020-06-29,7.000000,7.030000,6.730000,6.800000,6.800000,6970000
2020-06-30,6.840000,6.970000,6.660000,6.840000,6.840000,8373100
2020-07-01,7.040000,7.390000,6.800000,6.910000,6.910000,9499400
2020-07-02,7.190000,7.470000,7.130000,7.280000,7.280000,6628100
2020-07-06,7.540000,7.750000,7.470000,7.720000,7.720000,6298300
2020-07-07,7.560000,7.570000,7.100000,7.110000,7.110000,7291500
2020-07-08,7.670000,7.760000,7.240000,7.430000,7.430000,13224400
2020-07-09,7.330000,7.330000,6.810000,6.810000,6.810000,9172000
2020-07-10,6.830000,7.090000,6.790000,7.060000,7.060000,4307600
2020-07-13,7.240000,7.580000,7.190000,7.330000,7.330000,7523800
