Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,176.529999,179.000000,168.770004,172.149994,171.404297,3240100
2020-03-12,160.000000,170.000000,151.729996,157.110001,156.606827,3537500
2020-03-13,165.559998,173.529999,156.009995,172.990005,172.435974,2972000
2020-03-16,150.009995,155.070007,136.729996,139.830002,139.382172,5461600
2020-03-17,141.970001,148.350006,134.270004,147.809998,147.336609,5254800
2020-03-18,135.960007,139.550003,116.239998,134.559998,134.129044,4864700
2020-03-19,132.970001,137.089996,122.669998,130.520004,130.101990,5356300
2020-03-20,132.869995,135.309998,117.379997,119.000000,118.618889,5212000
2020-03-23,116.680000,118.690002,105.540001,116.070000,115.698265,5084600
2020-03-24,121.910004,142.800003,121.480003,141.229996,140.777695,4652600
2020-03-25,141.899994,154.169998,139.559998,146.699997,146.230164,3411000
2020-03-26,149.509995,155.850006,145.070007,152.869995,152.380417,3185200
2020-03-27,145.020004,150.479996,143.149994,144.960007,144.495758,2576800
2020-03-30,144.690002,152.419998,142.289993,151.229996,150.745651,2651700
2020-03-31,148.660004,150.029999,142.720001,144.229996,143.768082,3551000
2020-04-01,135.979996,138.000000,130.000000,133.110001,132.683685,2490700
2020-04-02,131.940002,135.559998,127.300003,130.690002,130.271439,2833500
2020-04-03,129.000000,131.199997,124.550003,126.300003,125.895508,2220800
2020-04-06,135.360001,144.419998,131.440002,143.740005,143.279648,2961400
2020-04-07,151.220001,152.619995,139.729996,141.070007,140.618195,4128300
2020-04-08,142.919998,150.449997,140.429993,149.289993,148.811874,2120800
2020-04-09,151.940002,155.300003,148.610001,151.029999,150.546310,1606700
2020-04-13,148.800003,149.130005,139.009995,143.660004,143.199905,2514400
2020-04-14,147.820007,148.800003,145.089996,146.289993,145.821472,2266400
2020-04-15,141.779999,142.339996,138.520004,140.779999,140.329132,1926300
2020-04-16,141.899994,141.899994,137.990005,141.000000,140.548431,1898100
2020-04-17,147.059998,155.369995,146.750000,154.880005,154.383972,3208200
2020-04-20,152.000000,152.570007,147.009995,148.210007,147.735336,2213700
2020-04-21,144.979996,145.339996,139.949997,141.289993,140.837509,1939300
2020-04-22,145.199997,148.789993,144.009995,147.619995,147.147217,1790000
2020-04-23,148.419998,149.949997,146.929993,147.259995,146.788361,1139300
2020-04-24,148.830002,153.669998,147.279999,153.009995,152.519958,1336900
2020-04-27,154.490005,159.360001,154.490005,158.830002,158.321320,1545500
2020-04-28,163.250000,165.839996,159.679993,162.869995,162.348373,2153300
2020-04-29,168.710007,173.490005,168.500000,169.820007,169.276123,2357600
2020-04-30,167.910004,168.080002,164.279999,166.020004,165.488312,1938700
2020-05-01,161.410004,163.440002,159.300003,161.639999,161.122314,1115600
2020-05-04,159.630005,162.990005,157.630005,162.410004,161.889847,1110000
2020-05-05,165.529999,168.750000,165.369995,166.949997,166.415314,1577200
2020-05-06,179.850006,182.699997,169.869995,170.100006,169.555237,3156600
2020-05-07,174.250000,178.979996,174.250000,174.759995,174.200302,1876200
