Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,9.620000,9.660000,9.010000,9.130000,8.597849,29290700
2020-03-12,8.390000,9.050000,7.960000,8.380000,7.891563,17195700
2020-03-13,9.200000,9.500000,8.520000,9.500000,8.946282,15997600
2020-03-16,7.940000,8.550000,7.750000,8.430000,7.938649,15691400
2020-03-17,8.610000,8.790000,7.680000,8.370000,8.024939,24100500
2020-03-18,7.820000,7.990000,7.350000,7.720000,7.401735,16587900
2020-03-19,7.470000,7.760000,6.860000,7.680000,7.363384,22654000
2020-03-20,7.800000,8.070000,7.250000,7.620000,7.305858,20332400
2020-03-23,7.580000,7.780000,6.850000,7.000000,6.711418,12937100
2020-03-24,7.420000,7.670000,7.230000,7.430000,7.123691,19288000
2020-03-25,7.580000,7.940000,7.180000,7.640000,7.325034,18525700
2020-03-26,7.510000,8.600000,7.440000,8.500000,8.149580,15544400
2020-03-27,8.060000,8.620000,7.980000,8.300000,7.957824,15901900
2020-03-30,8.230000,8.450000,7.930000,8.380000,8.034527,10411800
2020-03-31,8.290000,8.520000,7.980000,8.210000,7.871535,15633500
2020-04-01,7.800000,7.810000,7.340000,7.450000,7.142866,10230600
2020-04-02,7.330000,7.780000,7.150000,7.370000,7.066164,10177200
2020-04-03,7.290000,7.450000,6.820000,6.830000,6.548427,13744500
2020-04-06,7.350000,7.570000,7.210000,7.490000,7.181217,17535100
2020-04-07,8.010000,8.390000,7.750000,8.130000,7.794833,21015000
2020-04-08,8.240000,8.880000,8.240000,8.810000,8.446800,15218300
2020-04-09,9.120000,9.570000,8.840000,9.030000,8.657729,20653400
2020-04-13,9.090000,9.150000,8.550000,8.720000,8.360509,10161300
2020-04-14,8.900000,8.930000,8.150000,8.400000,8.053701,12515400
2020-04-15,8.010000,8.010000,7.690000,7.730000,7.411323,9741800
2020-04-16,7.700000,7.710000,7.120000,7.180000,6.883997,15604400
2020-04-17,7.630000,8.150000,7.530000,8.060000,7.727719,16009300
2020-04-20,7.780000,8.320000,7.580000,8.140000,7.804421,14228200
2020-04-21,7.790000,8.040000,7.680000,7.800000,7.478437,10177700
2020-04-22,8.050000,8.120000,7.850000,8.040000,7.708543,16717100
2020-04-23,7.870000,8.330000,7.750000,7.920000,7.593491,11192400
2020-04-24,8.100000,8.360000,7.910000,8.160000,7.823596,15456100
2020-04-27,8.230000,8.970000,8.190000,8.910000,8.542676,14702800
2020-04-28,9.300000,9.540000,9.000000,9.140000,8.763194,11891400
2020-04-29,9.490000,9.780000,9.300000,9.640000,9.242581,12653400
2020-04-30,9.370000,9.530000,9.110000,9.240000,8.859073,14807300
2020-05-01,8.970000,9.050000,8.440000,8.570000,8.216694,12221100
2020-05-04,8.340000,8.480000,8.230000,8.430000,8.082465,9257200
2020-05-05,8.570000,8.820000,8.280000,8.280000,7.938648,7528200
2020-05-06,8.350000,8.450000,8.000000,8.230000,7.890709,10997100
2020-05-07,8.330000,8.650000,8.180000,8.250000,7.909885,12373300
2020-05-08,8.510000,8.700000,8.430000,8.650000,8.293395,6504700
2020-05-11,8.510000,8.600000,8.180000,8.230000,7.890709,7664800
2020-05-12,8.290000,8.380000,7.830000,7.860000,7.535964,9928300
2020-05-13,7.810000,7.810000,7.290000,7.390000,7.085340,12022200
2020-05-14,7.190000,7.780000,6.990000,7.710000,7.392148,13099700
2020-05-15,7.620000,7.730000,7.460000,7.510000,7.200393,8470900
2020-05-18,7.940000,8.320000,7.880000,8.260000,7.919474,9643100
2020-05-19,8.150000,8.220000,7.860000,7.880000,7.555140,8270700
2020-05-20,8.060000,8.250000,8.060000,8.210000,7.871535,8735200
2020-05-21,8.130000,8.380000,8.120000,8.170000,7.833184,7594200
2020-05-22,8.230000,8.270000,7.960000,8.100000,7.766070,4908600
2020-05-26,8.490000,9.120000,8.480000,8.990000,8.619378,9933000
2020-05-27,9.480000,9.720000,9.160000,9.520000,9.127528,11190900
2020-05-28,9.610000,9.700000,9.050000,9.110000,8.734430,16327200
2020-05-29,8.910000,9.120000,8.780000,8.890000,8.523502,15744700
2020-06-01,8.920000,9.210000,8.810000,9.100000,8.724844,7419500
2020-06-02,9.270000,9.420000,9.120000,9.200000,8.820722,10105800
2020-06-03,9.500000,10.000000,9.430000,9.900000,9.491863,11556900
2020-06-04,9.830000,10.470000,9.700000,10.470000,10.038363,12353700
2020-06-05,11.370000,11.680000,10.850000,10.990000,10.536926,14563000
2020-06-08,11.360000,11.460000,11.010000,11.350000,10.882086,10438500
2020-06-09,10.940000,11.170000,10.770000,11.000000,10.546515,9279600
2020-06-10,10.870000,11.010000,10.380000,10.400000,9.971250,21210500
2020-06-11,9.820000,9.970000,9.430000,9.480000,9.089178,12517000
2020-06-12,10.030000,10.100000,9.530000,9.890000,9.482275,11397600
2020-06-15,9.470000,10.210000,9.390000,10.120000,9.702792,12983000
2020-06-16,10.420000,10.530000,9.970000,10.280000,10.004484,10490100
2020-06-17,10.370000,10.380000,10.080000,10.120000,9.848772,8631100
2020-06-18,9.980000,10.330000,9.880000,10.160000,9.887700,9694200
2020-06-19,10.320000,10.390000,9.870000,10.290000,10.014216,30329800
2020-06-22,10.180000,10.280000,10.010000,10.120000,9.848772,8338500
2020-06-23,10.300000,10.450000,10.160000,10.200000,9.926628,9562900
2020-06-24,10.040000,10.050000,9.510000,9.540000,9.284318,13394700
2020-06-25,9.500000,9.930000,9.440000,9.890000,9.624937,8499100
