Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,46.680000,47.029999,44.240002,45.130001,44.090809,3443500
2020-03-12,41.980000,43.500000,36.570000,40.180000,39.254787,3921200
2020-03-13,42.590000,43.020000,38.540001,42.520000,41.540909,4190600
2020-03-16,36.500000,37.119999,32.349998,33.500000,32.728607,6291700
2020-03-17,34.459999,35.360001,30.910000,33.310001,32.542984,7305500
2020-03-18,31.209999,31.209999,19.040001,26.250000,25.645552,8205700
2020-03-19,25.980000,34.240002,25.430000,33.520000,32.748150,7880300
2020-03-20,34.110001,35.320000,31.219999,31.270000,30.549959,6196100
2020-03-23,31.430000,31.639999,28.840000,30.709999,30.002851,4187400
2020-03-24,31.320000,34.709999,31.209999,34.630001,33.832588,4384700
2020-03-25,34.480000,35.700001,31.540001,33.209999,32.445286,5510700
2020-03-26,33.700001,35.119999,32.400002,34.939999,34.135448,5248800
2020-03-27,33.500000,36.360001,32.080002,35.130001,34.321075,4686500
2020-03-30,34.970001,36.410000,33.000000,35.840000,35.014729,3366600
2020-03-31,35.299999,35.730000,34.750000,35.240002,34.428547,3949600
2020-04-01,34.090000,34.730000,33.230000,33.459999,32.689526,4283900
2020-04-02,33.160000,34.860001,32.790001,33.270000,32.503902,4423700
2020-04-03,32.900002,33.310001,32.020000,32.150002,31.409697,3300700
2020-04-06,34.049999,34.270000,32.730000,33.950001,33.168247,4111900
2020-04-07,36.000000,37.639999,35.169998,36.919998,36.069855,6481600
2020-04-08,37.270000,39.369999,37.250000,38.700001,37.808868,4295400
2020-04-09,39.740002,42.049999,39.720001,41.880001,40.915646,4670700
2020-04-13,41.730000,41.750000,40.200001,40.930000,39.987522,3109900
2020-04-14,41.900002,42.900002,40.820000,41.230000,40.280613,3887800
2020-04-15,39.369999,39.830002,38.549999,38.730000,37.838181,3217900
2020-04-16,38.459999,38.689999,37.330002,37.419998,36.558342,4115700
2020-04-17,39.049999,40.250000,38.959999,40.009998,39.088707,3062700
2020-04-20,38.810001,39.310001,38.029999,38.639999,37.750256,1756300
2020-04-21,37.029999,38.070000,36.660000,36.759998,35.913540,2709200
2020-04-22,37.740002,37.740002,35.660000,35.680000,34.858410,3066200
2020-04-23,36.180000,36.939999,35.740002,35.930000,35.102654,2370800
2020-04-24,36.209999,36.419998,35.389999,36.040001,35.210121,2819400
2020-04-27,36.020000,38.320000,36.020000,38.029999,37.154297,2666600
2020-04-28,39.279999,40.669998,38.439999,39.340000,38.434135,4165500
2020-04-29,40.549999,41.500000,39.869999,41.150002,40.202457,3658300
2020-04-30,37.209999,40.840000,36.630001,37.990002,37.115219,4924600
2020-05-01,36.810001,37.240002,35.509998,35.689999,34.868179,2820800
2020-05-04,35.230000,35.529999,34.259998,35.389999,34.575089,3513900
2020-05-05,35.740002,36.560001,35.150002,35.160000,34.350384,3239600
2020-05-06,35.419998,35.529999,33.480000,33.529999,32.757915,2335500
2020-05-07,34.029999,35.689999,34.029999,34.910000,34.106140,2628000
2020-05-08,35.709999,36.459999,35.220001,36.349998,35.512981,2099900
2020-05-11,36.090000,36.090000,34.630001,34.930000,34.125679,2879800
2020-05-12,35.040001,35.630001,34.130001,34.150002,33.363644,2899500
2020-05-13,33.639999,33.849998,31.900000,32.070000,31.331537,3783600
2020-05-14,31.570000,33.340000,30.270000,33.299999,32.533215,3599200
2020-05-15,33.000000,33.439999,32.320000,33.250000,32.484364,4531700
2020-05-18,35.119999,35.730000,34.669998,35.250000,34.438313,3159500
2020-05-19,34.919998,35.200001,34.130001,34.340000,33.549267,2041400
2020-05-20,34.820000,35.639999,34.540001,35.009998,34.203838,2303100
2020-05-21,35.009998,37.299999,35.000000,37.110001,36.255486,4453700
2020-05-22,37.259998,37.630001,36.400002,36.990002,36.138245,3959700
2020-05-26,38.860001,39.540001,38.500000,38.610001,37.720943,3079800
2020-05-27,40.200001,40.250000,38.529999,39.270000,38.365746,2863500
2020-05-28,39.689999,39.830002,38.410000,39.230000,38.326664,3161400
2020-05-29,38.330002,39.330002,37.799999,38.290001,37.720806,7541500
2020-06-01,38.599998,39.150002,37.910000,38.869999,38.292183,3344100
2020-06-02,39.220001,40.619999,38.810001,40.410000,39.809292,3237200
2020-06-03,41.439999,42.900002,41.119999,42.080002,41.454472,5740500
2020-06-04,41.849998,44.290001,41.570000,44.279999,43.621765,3732800
2020-06-05,47.610001,48.590000,46.130001,46.669998,45.976234,4167900
2020-06-08,47.160000,48.020000,45.990002,46.639999,45.946682,3751600
2020-06-09,45.000000,45.340000,44.259998,44.980000,44.311359,2381100
2020-06-10,44.680000,44.680000,42.669998,42.900002,42.262280,3515600
2020-06-11,40.099998,41.099998,38.939999,39.090000,38.508915,3096900
2020-06-12,41.189999,41.279999,38.840000,40.029999,39.434940,2229500
2020-06-15,38.330002,41.130001,37.849998,40.860001,40.252605,2724100
2020-06-16,42.820000,43.000000,40.910000,41.490002,40.873238,2636200
2020-06-17,41.340000,42.040001,40.919998,41.070000,40.459480,2271400
2020-06-18,40.480000,41.529999,40.200001,41.209999,40.597401,2004300
2020-06-19,42.240002,42.279999,39.869999,39.980000,39.385681,9045100
2020-06-22,39.400002,39.520000,38.740002,39.130001,38.548325,3470100
2020-06-23,39.880001,40.099998,39.490002,39.509998,38.922668,2120800
2020-06-24,38.770000,38.930000,37.470001,37.860001,37.297199,2195300
2020-06-25,37.459999,38.619999,37.279999,38.360001,37.789768,2370000
2020-06-26,37.790001,38.060001,37.009998,37.439999,36.883442,3414600
2020-06-29,38.029999,38.529999,37.439999,38.330002,37.760216,1919800
2020-06-30,38.139999,39.020000,38.139999,38.549999,37.976944,2473300
2020-07-01,38.509998,39.029999,37.490002,37.700001,37.139580,1970400
2020-07-02,38.720001,39.060001,37.349998,37.500000,36.942551,2049400
2020-07-06,38.610001,38.900002,37.830002,38.299999,37.730656,1456400
2020-07-07,37.840000,38.009998,37.070000,37.180000,36.627312,2379400
2020-07-08,37.060001,37.900002,36.930000,37.650002,37.090324,1672600
2020-07-09,37.470001,37.560001,35.700001,35.810001,35.277672,1702100
2020-07-10,35.939999,37.560001,35.799999,37.410000,36.853889,1932000
2020-07-13,37.750000,38.279999,36.630001,37.599998,37.041065,2265700
2020-07-14,37.759998,38.849998,37.290001,38.740002,38.164120,1926600
2020-07-15,39.939999,40.599998,39.500000,40.410000,39.809292,2732400
2020-07-16,41.180000,43.119999,40.759998,42.310001,41.681049,3260500
2020-07-17,42.290001,42.369999,41.450001,41.950001,41.326401,2265300
2020-07-20,41.889999,41.889999,40.830002,41.090000,40.479183,1810500
2020-07-21,41.430000,42.340000,41.430000,41.639999,41.021011,1485100
2020-07-22,41.160000,42.400002,40.919998,42.119999,41.493870,1396000
2020-07-23,41.779999,42.509998,41.360001,42.400002,41.769714,1913800
2020-07-24,42.439999,42.669998,41.299999,41.480000,40.863388,1888700
2020-07-27,41.209999,41.230000,40.290001,40.840000,40.232903,1770600
2020-07-28,40.549999,40.990002,40.349998,40.450001,39.848701,1479900
2020-07-29,40.419998,41.570000,40.060001,41.439999,40.823978,1539600
2020-07-30,40.279999,40.820000,39.830002,40.500000,39.897957,1574000
2020-07-31,42.000000,42.799999,40.779999,42.320000,41.690899,4126500
2020-08-03,42.299999,42.860001,41.669998,42.000000,41.375656,3207200
2020-08-04,41.830002,41.950001,40.509998,40.570000,39.966915,2641600
2020-08-05,41.040001,42.330002,40.959999,42.029999,41.405212,2177500
2020-08-06,41.580002,42.480000,41.380001,41.580002,40.961903,1775100
2020-08-07,41.380001,42.860001,41.090000,42.799999,42.163765,1345100
2020-08-10,42.900002,43.770000,42.810001,43.660000,43.010979,1610900
2020-08-11,44.799999,45.689999,43.759998,43.820000,43.168602,2696600
2020-08-12,44.599998,44.599998,42.279999,42.799999,42.163765,2364300
2020-08-13,42.299999,42.480000,41.529999,42.459999,41.828815,2797100
2020-08-14,42.139999,43.200001,41.980000,42.810001,42.173618,2060300
2020-08-17,42.580002,42.639999,41.709999,41.830002,41.208183,1551200
2020-08-18,41.919998,42.130001,41.189999,41.279999,40.666359,1082500
2020-08-19,41.230000,41.930000,40.730000,40.790001,40.183647,1214900
2020-08-20,40.310001,40.709999,40.200001,40.290001,39.691078,1538800
2020-08-21,40.259998,40.439999,39.740002,39.849998,39.257614,1418500
2020-08-24,40.020000,41.910000,39.720001,41.349998,40.735321,3080600
2020-08-25,41.970001,42.430000,41.380001,41.520000,40.902794,2706800
2020-08-26,41.459999,41.459999,40.220001,40.459999,39.858547,1762900
2020-08-27,41.000000,42.669998,40.939999,41.490002,40.873238,2170800
2020-08-28,41.950001,42.070000,41.150002,41.509998,40.892937,1645200
2020-08-31,40.970001,40.970001,40.020000,40.450001,40.163155,2092600
2020-09-01,40.139999,41.040001,39.830002,41.040001,40.748970,1759700
2020-09-02,40.990002,41.700001,40.220001,41.560001,41.265282,2023700
2020-09-03,41.980000,43.090000,40.630001,41.029999,40.739040,1748400
2020-09-04,42.040001,42.049999,40.480000,40.939999,40.649677,1473300
2020-09-08,40.560001,40.680000,39.180000,39.549999,39.269535,2144100
2020-09-09,39.919998,40.340000,39.310001,39.480000,39.200031,3001800
2020-09-10,39.549999,39.910000,38.680000,38.900002,38.624146,2586500
2020-09-11,38.849998,38.919998,38.180000,38.639999,38.365986,1718600
2020-09-14,38.990002,39.580002,38.830002,38.889999,38.614216,1853200
2020-09-15,38.669998,38.959999,37.439999,37.480000,37.214214,3239700
2020-09-16,37.720001,38.529999,37.250000,38.139999,37.869534,3382600
2020-09-17,37.529999,38.029999,37.169998,37.650002,37.383011,3415200
2020-09-18,37.490002,38.180000,37.189999,37.250000,36.985844,3399600
2020-09-21,36.040001,36.869999,35.580002,36.240002,35.983009,2355600
2020-09-22,36.150002,36.700001,35.380001,35.840000,35.585846,3977900
2020-09-23,35.980000,36.549999,35.259998,35.290001,35.039745,3339800
2020-09-24,35.250000,35.980000,34.689999,35.410000,35.158894,2614100
2020-09-25,35.029999,35.939999,34.959999,35.799999,35.546127,1737300
2020-09-28,36.599998,37.389999,36.529999,36.880001,36.618469,1928200
2020-09-29,36.680000,36.759998,35.619999,36.529999,36.270950,1872500
2020-09-30,36.820000,37.270000,36.480000,36.860001,36.598610,2773400
2020-10-01,36.889999,37.220001,36.279999,36.770000,36.509251,1675100
2020-10-02,36.139999,37.830002,36.099998,37.560001,37.293648,2299900
2020-10-05,38.779999,39.630001,38.570000,39.230000,38.951805,3406200
2020-10-06,39.400002,39.630001,37.869999,37.910000,37.641163,2566400
2020-10-07,38.299999,38.930000,37.889999,37.950001,37.680882,2534200
2020-10-08,38.320000,39.360001,38.049999,39.330002,39.051098,2886700
2020-10-09,39.389999,39.470001,38.520000,38.610001,38.336201,3215400
2020-10-12,38.590000,39.209999,38.389999,39.040001,38.763153,1407100
2020-10-13,38.810001,38.810001,37.610001,37.740002,37.472374,1608300
2020-10-14,37.740002,38.549999,37.389999,37.419998,37.154636,1318200
2020-10-15,36.930000,38.080002,36.900002,37.830002,37.561733,1440000
2020-10-16,37.840000,38.419998,37.500000,37.700001,37.432655,1541900
2020-10-19,37.860001,38.209999,37.130001,37.189999,36.926270,1616800
2020-10-20,37.720001,38.680000,37.570000,38.389999,38.117760,2292100
