Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,23.420000,23.580000,21.670000,22.110001,22.110001,3991000
2020-03-12,20.309999,21.059999,19.650000,19.879999,19.879999,8563000
2020-03-13,21.160000,21.190001,19.430000,20.520000,20.520000,6150900
2020-03-16,18.000000,19.180000,17.160000,17.440001,17.440001,5965700
2020-03-17,17.879999,18.430000,16.860001,17.650000,17.650000,5281500
2020-03-18,16.180000,16.340000,13.630000,15.680000,15.680000,4352100
2020-03-19,15.280000,16.139999,14.140000,15.850000,15.850000,5766500
2020-03-20,15.880000,16.000000,13.000000,13.250000,13.250000,8236700
2020-03-23,13.200000,13.230000,11.380000,11.990000,11.990000,6889900
2020-03-24,12.730000,15.330000,12.600000,15.150000,15.150000,7414000
2020-03-25,15.260000,16.879999,14.800000,16.170000,16.170000,8254900
2020-03-26,16.420000,17.830000,15.880000,17.719999,17.719999,11031900
2020-03-27,16.670000,17.200001,15.780000,16.680000,16.680000,6398000
2020-03-30,16.750000,16.799999,15.660000,16.400000,16.400000,4319600
2020-03-31,16.230000,16.520000,15.670000,16.059999,16.059999,5076200
2020-04-01,15.400000,15.400000,12.710000,13.200000,13.200000,2531000
2020-04-02,12.970000,13.710000,12.000000,12.500000,12.500000,4431900
2020-04-03,12.100000,12.690000,11.850000,12.540000,12.540000,4053100
2020-04-06,13.040000,14.000000,12.330000,12.690000,12.690000,6035400
2020-04-07,13.460000,13.970000,12.010000,12.110000,12.110000,5686200
2020-04-08,12.500000,13.390000,12.310000,13.080000,13.080000,6590900
2020-04-09,13.890000,14.160000,13.210000,13.250000,13.250000,3293300
2020-04-13,13.160000,13.380000,12.210000,12.600000,12.600000,4059700
2020-04-14,12.830000,13.060000,11.970000,12.200000,12.200000,4926000
2020-04-15,12.070000,12.100000,10.340000,11.370000,11.370000,7531900
2020-04-16,10.930000,11.350000,10.400000,10.740000,10.740000,8193100
2020-04-17,11.250000,11.700000,11.090000,11.650000,11.650000,10288300
2020-04-20,11.620000,12.570000,11.390000,11.640000,11.640000,6322600
2020-04-21,11.370000,11.500000,10.580000,10.590000,10.590000,3304900
2020-04-22,10.940000,11.300000,10.660000,10.830000,10.830000,2777800
2020-04-23,10.810000,11.390000,10.770000,11.000000,11.000000,4681000
2020-04-24,11.070000,11.330000,10.580000,10.810000,10.810000,6716800
2020-04-27,10.900000,11.560000,10.860000,11.410000,11.410000,2776700
2020-04-28,11.680000,12.250000,11.570000,11.990000,11.990000,2876900
2020-04-29,12.400000,13.930000,12.330000,13.890000,13.890000,4141600
2020-04-30,13.560000,13.650000,12.810000,13.070000,13.070000,3240800
2020-05-01,12.920000,12.960000,12.200000,12.540000,12.540000,2455800
2020-05-04,12.300000,12.360000,11.420000,11.950000,11.950000,3015700
2020-05-05,12.450000,13.040000,12.160000,12.210000,12.210000,3118900
2020-05-06,12.270000,12.350000,11.450000,11.490000,11.490000,2303900
2020-05-07,11.500000,12.300000,11.500000,11.870000,11.870000,3471900
2020-05-08,11.960000,12.640000,11.960000,12.620000,12.620000,2154800
2020-05-11,12.260000,12.480000,11.710000,11.760000,11.760000,1769500
2020-05-12,11.850000,12.100000,11.110000,11.120000,11.120000,2564200
