Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,115.750000,116.040001,109.860001,111.279999,108.320686,2622200
2020-03-12,104.099998,106.519997,94.980003,99.940002,97.282257,2699300
2020-03-13,104.919998,109.019997,100.269997,109.019997,106.120789,1621100
2020-03-16,100.330002,106.949997,98.000000,101.489998,98.791031,1836500
2020-03-17,104.000000,111.610001,100.290001,109.480003,106.568550,2271500
2020-03-18,103.529999,109.480003,98.360001,108.410004,105.527016,2105000
2020-03-19,107.400002,111.940002,103.580002,107.419998,104.563332,1796500
2020-03-20,108.169998,108.370003,100.889999,102.410004,99.686569,1538300
2020-03-23,102.050003,102.820000,92.139999,94.279999,91.772774,2184700
2020-03-24,98.500000,106.150002,98.110001,100.949997,98.265388,1647500
2020-03-25,98.820000,108.599998,95.820000,104.570000,102.551025,2288400
2020-03-26,105.800003,114.550003,104.379997,114.550003,112.338341,1104200
2020-03-27,109.760002,113.400002,109.040001,110.220001,108.091942,1006800
2020-03-30,110.949997,112.449997,106.300003,108.010002,105.924606,1099700
2020-03-31,106.070000,108.730003,101.690002,102.080002,100.109108,1519200
2020-04-01,98.180000,102.099998,96.800003,100.730003,98.785156,1363600
2020-04-02,99.089996,102.580002,98.320000,99.180000,97.265091,1094000
2020-04-03,99.550003,102.080002,98.720001,98.900002,96.990494,1234000
2020-04-06,104.349998,109.889999,102.720001,109.000000,106.895485,1199200
2020-04-07,111.580002,118.529999,111.040001,114.019997,111.818565,1629700
2020-04-08,114.570000,122.010002,114.040001,121.250000,118.908966,1061800
2020-04-09,120.820000,130.470001,120.720001,127.370003,124.910812,1543900
2020-04-13,124.959999,126.019997,118.650002,120.070000,117.751762,833500
2020-04-14,123.510002,124.989998,119.910004,122.370003,120.007347,639200
2020-04-15,119.519997,119.529999,117.059998,117.379997,115.113693,739500
2020-04-16,118.040001,120.370003,115.080002,119.889999,117.575226,848200
2020-04-17,122.580002,125.449997,122.480003,125.120003,122.704254,761000
2020-04-20,123.279999,126.029999,120.139999,120.550003,118.222496,937800
2020-04-21,117.320000,122.970001,117.139999,122.169998,119.811211,710400
2020-04-22,124.550003,125.790001,122.500000,124.279999,121.880470,652500
2020-04-23,125.570000,127.989998,122.730003,123.160004,120.782097,629600
2020-04-24,124.379997,126.870003,122.449997,126.489998,124.047806,567400
2020-04-27,125.820000,131.169998,125.820000,130.539993,128.019592,530200
2020-04-28,132.000000,134.539993,130.929993,131.710007,129.167023,839600
2020-04-29,135.000000,135.889999,133.229996,133.300003,130.726334,707600
2020-04-30,131.429993,132.830002,130.729996,131.029999,128.500153,1131300
2020-05-01,128.960007,129.639999,125.000000,126.629997,124.185097,568800
2020-05-04,126.919998,128.190002,124.830002,127.900002,125.430573,801200
2020-05-05,129.360001,132.880005,128.259995,128.899994,126.411270,970600
2020-05-06,129.240005,133.669998,128.350006,131.309998,128.774734,915500
2020-05-07,132.619995,133.080002,129.889999,130.279999,127.764626,807700
2020-05-08,133.130005,135.000000,131.429993,134.470001,131.873734,506100
2020-05-11,133.990005,133.990005,131.270004,132.630005,130.069260,968500
2020-05-12,139.240005,143.089996,133.119995,133.330002,130.755737,2112400
2020-05-13,132.100006,133.229996,127.330002,129.339996,126.842781,1095600
2020-05-14,127.440002,127.690002,122.699997,126.050003,123.616310,1893500
2020-05-15,125.040001,130.130005,124.639999,128.220001,125.744400,1114000
2020-05-18,131.600006,134.679993,131.559998,131.899994,129.353348,1275200
2020-05-19,130.899994,132.119995,127.879997,128.839996,126.352425,946700
2020-05-20,130.419998,131.970001,129.250000,130.279999,127.764626,834700
2020-05-21,129.419998,131.759995,128.830002,128.979996,126.489723,932400
2020-05-22,128.429993,129.710007,125.739998,129.419998,126.921227,889100
2020-05-26,132.949997,136.679993,132.470001,133.130005,130.559601,969100
2020-05-27,134.550003,137.169998,134.210007,136.229996,133.599747,806200
2020-05-28,138.000000,138.000000,132.729996,134.300003,131.707016,891300
2020-05-29,133.970001,133.970001,131.550003,133.190002,130.618439,1589600
2020-06-01,132.360001,132.990005,130.949997,131.020004,128.490356,801400
2020-06-02,130.940002,135.259995,130.520004,133.929993,131.344147,859400
2020-06-03,135.770004,138.009995,135.729996,136.809998,134.168533,737000
2020-06-04,135.960007,137.529999,134.369995,135.759995,133.138809,815100
