Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,72.180000,73.889999,70.970001,71.900002,71.900002,2347100
2020-03-12,68.150002,71.540001,67.930000,68.019997,68.019997,4007600
2020-03-13,69.550003,74.000000,69.550003,73.839996,73.839996,3552500
2020-03-16,67.949997,75.339996,67.129997,71.599998,71.599998,3589000
2020-03-17,73.110001,76.480003,69.860001,70.370003,70.370003,3429600
2020-03-18,67.900002,72.870003,63.349998,66.900002,66.900002,2667800
2020-03-19,66.300003,67.809998,63.950001,66.510002,66.510002,2650700
2020-03-20,67.260002,72.419998,66.510002,66.959999,66.959999,2726500
2020-03-23,67.699997,68.599998,62.480000,63.180000,63.180000,2447200
2020-03-24,65.389999,68.029999,63.290001,67.430000,67.430000,2794000
2020-03-25,66.750000,71.480003,65.709999,69.589996,69.589996,2500100
2020-03-26,68.699997,73.279999,68.699997,73.050003,73.050003,1855700
2020-03-27,71.199997,72.160004,68.550003,68.959999,68.959999,1463900
2020-03-30,70.199997,72.529999,69.250000,72.169998,72.169998,2023200
2020-03-31,71.440002,73.889999,70.519997,73.230003,73.230003,1695300
2020-04-01,72.050003,74.839996,71.529999,74.180000,74.180000,1966300
2020-04-02,73.510002,77.419998,73.510002,77.070000,77.070000,1513500
2020-04-03,77.589996,79.489998,77.239998,78.589996,78.589996,2222200
2020-04-06,80.550003,85.250000,80.250000,85.110001,85.110001,3234100
2020-04-07,86.209999,87.849998,85.129997,86.660004,86.660004,2971500
2020-04-08,86.739998,88.589996,85.949997,87.750000,87.750000,2086000
2020-04-09,87.339996,87.989998,85.169998,86.809998,86.809998,1810500
2020-04-13,85.680000,88.239998,85.680000,88.010002,88.010002,1452100
2020-04-14,88.239998,91.739998,88.239998,91.279999,91.279999,1937700
2020-04-15,89.220001,91.790001,88.930000,90.949997,90.949997,1642200
2020-04-16,91.989998,96.139999,91.430000,95.660004,95.660004,3501100
2020-04-17,97.830002,100.269997,96.160004,100.000000,100.000000,3859300
2020-04-20,99.800003,102.419998,99.300003,101.190002,101.190002,2422600
2020-04-21,99.500000,100.750000,97.900002,99.459999,99.459999,2620700
2020-04-22,100.290001,101.989998,99.559998,100.970001,100.970001,1612300
2020-04-23,101.410004,104.199997,100.550003,101.900002,101.900002,1262700
2020-04-24,102.739998,103.959999,101.610001,103.480003,103.480003,1535500
2020-04-27,104.000000,104.809998,102.400002,102.980003,102.980003,1249700
2020-04-28,104.279999,104.360001,96.699997,97.669998,97.669998,2779100
2020-04-29,98.139999,98.940002,95.180000,95.959999,95.959999,1779900
2020-04-30,95.690002,98.349998,95.029999,97.660004,97.660004,1564300
2020-05-01,97.250000,98.209999,96.199997,97.300003,97.300003,1279300
2020-05-04,97.709999,101.379997,97.709999,100.989998,100.989998,1502100
2020-05-05,99.349998,100.519997,97.010002,98.820000,98.820000,1850100
2020-05-06,96.839996,97.870003,95.379997,96.080002,96.080002,1556900
2020-05-07,97.160004,97.820000,95.599998,96.470001,96.470001,1327300
2020-05-08,96.879997,96.930000,94.669998,95.919998,95.919998,1198600
2020-05-11,96.089996,99.650002,95.660004,99.330002,99.330002,1534400
2020-05-12,100.000000,100.139999,96.739998,96.739998,96.739998,1618100
2020-05-13,96.980003,98.660004,95.330002,96.449997,96.449997,1648900
2020-05-14,95.849998,96.510002,93.860001,94.830002,94.830002,1085500
2020-05-15,94.089996,96.150002,93.220001,96.120003,96.120003,1228800
2020-05-18,97.879997,98.809998,96.260002,96.459999,96.459999,1160200
2020-05-19,97.330002,97.480003,94.360001,94.919998,94.919998,961700
2020-05-20,95.430000,98.489998,93.639999,98.320000,98.320000,1765700
2020-05-21,98.489998,98.930000,96.970001,98.680000,98.680000,1462600
2020-05-22,97.669998,99.800003,97.449997,99.370003,99.370003,1320500
2020-05-26,100.410004,101.879997,98.110001,98.680000,98.680000,3190300
2020-05-27,98.730003,99.809998,96.620003,98.220001,98.220001,2432600
2020-05-28,98.360001,102.980003,98.019997,100.550003,100.550003,1659500
2020-05-29,101.209999,102.570000,99.570000,101.910004,101.910004,3134100
2020-06-01,101.699997,102.580002,100.519997,101.750000,101.750000,1345200
2020-06-02,101.120003,102.169998,99.169998,100.900002,100.900002,1902000
2020-06-03,100.809998,100.809998,97.550003,98.830002,98.830002,1630000
2020-06-04,98.190002,99.349998,93.480003,93.800003,93.800003,1528700
2020-06-05,93.169998,96.320000,90.169998,93.510002,93.510002,1599700
2020-06-08,91.870003,94.599998,91.050003,94.580002,94.580002,1387500
2020-06-09,95.089996,95.169998,92.500000,93.000000,93.000000,1199000
2020-06-10,94.190002,95.040001,92.970001,93.040001,93.040001,1318300
2020-06-11,93.389999,93.879997,90.680000,90.809998,90.809998,1934600
2020-06-12,92.349998,93.690002,89.959999,92.070000,92.070000,1079800
2020-06-15,90.489998,93.949997,90.470001,93.510002,93.510002,1281600
2020-06-16,94.449997,95.610001,93.309998,95.529999,95.529999,1175000
2020-06-17,96.239998,97.269997,95.000000,96.279999,96.279999,962300
2020-06-18,96.279999,97.930000,95.860001,97.360001,97.360001,999500
2020-06-19,98.339996,106.260002,97.830002,105.400002,105.400002,3731800
2020-06-22,104.839996,109.139999,104.389999,108.930000,108.930000,2497400
2020-06-23,109.459999,110.250000,106.029999,106.519997,106.519997,1945600
2020-06-24,105.650002,107.860001,104.000000,104.330002,104.330002,1636800
2020-06-25,105.080002,106.070000,103.650002,105.949997,105.949997,1315400
2020-06-26,105.300003,105.570000,100.800003,101.430000,101.430000,2124000
2020-06-29,101.480003,103.870003,100.080002,102.480003,102.480003,1075700
2020-06-30,102.529999,104.529999,101.669998,103.970001,103.970001,1131600
2020-07-01,103.989998,104.620003,101.330002,102.650002,102.650002,1312600
2020-07-02,102.820000,107.379997,102.519997,106.470001,106.470001,1438200
2020-07-06,106.580002,108.480003,105.519997,107.790001,107.790001,1364900
2020-07-07,107.730003,110.370003,106.870003,108.650002,108.650002,1601900
2020-07-08,108.559998,109.550003,107.370003,108.269997,108.269997,735600
2020-07-09,108.000000,109.190002,105.489998,107.870003,107.870003,1020100
2020-07-10,107.739998,108.169998,104.540001,104.760002,104.760002,794600
2020-07-13,104.519997,105.000000,100.019997,100.559998,100.559998,1478900
2020-07-14,100.199997,103.230003,97.830002,103.019997,103.019997,1684900
2020-07-15,103.260002,104.970001,102.589996,104.250000,104.250000,1790200
2020-07-16,103.830002,103.830002,99.849998,101.580002,101.580002,938700
2020-07-17,102.320000,104.580002,100.959999,104.110001,104.110001,2503600
2020-07-20,105.190002,110.010002,105.010002,109.690002,109.690002,1388400
2020-07-21,109.669998,109.669998,106.459999,106.650002,106.650002,1077400
2020-07-22,107.059998,107.739998,104.050003,105.370003,105.370003,804200
