Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,23.180000,24.139999,22.459999,23.490000,22.564779,10683700
2020-03-12,20.969999,22.830000,19.889999,21.340000,20.972666,10578900
2020-03-13,22.440001,23.559999,20.205000,23.000000,22.604092,8556200
2020-03-16,20.340000,22.040001,19.690001,21.250000,20.884214,6441600
2020-03-17,21.500000,22.610001,20.750000,21.540001,21.169224,7718300
2020-03-18,19.830000,20.410000,17.010000,19.219999,18.889158,8292600
2020-03-19,18.910000,22.350000,18.820000,20.010000,19.665560,5737500
2020-03-20,20.219999,21.389999,19.370001,19.610001,19.272446,5900000
2020-03-23,19.490000,20.209999,18.280001,19.500000,19.164339,6477500
2020-03-24,20.590000,22.570000,19.790001,22.410000,22.024248,4696900
2020-03-25,22.700001,25.230000,21.520000,23.280001,22.879272,5175600
2020-03-26,22.590000,24.129999,22.530001,23.410000,23.007034,5518500
2020-03-27,22.379999,23.059999,21.690001,22.629999,22.240459,4304400
2020-03-30,22.740000,23.930000,22.180000,23.750000,23.341181,3760200
2020-03-31,23.530001,25.139999,23.530001,24.799999,24.373106,6458500
2020-04-01,23.940001,25.100000,23.600000,23.790001,23.380493,7902900
2020-04-02,23.530001,24.690001,22.590000,23.040001,22.643404,6383200
2020-04-03,23.049999,23.889999,22.570000,23.490000,23.085657,3826800
2020-04-06,24.650000,26.040001,24.549999,25.430000,24.992264,5045100
2020-04-07,26.459999,26.820000,24.635000,24.820000,24.392763,4253100
2020-04-08,24.900000,25.850000,24.424999,25.700001,25.257616,3268900
2020-04-09,26.150000,27.510000,25.870001,26.500000,26.043844,3299800
2020-04-13,26.480000,26.940001,25.629999,26.219999,25.768663,3164100
2020-04-14,26.879999,27.459999,26.100000,26.350000,25.896427,2551400
2020-04-15,25.520000,25.570000,24.150000,24.360001,23.940681,2597100
2020-04-16,24.190001,24.780001,23.209999,24.600000,24.176550,3761900
2020-04-17,25.410000,26.990000,25.309999,26.809999,26.348509,3811400
2020-04-20,26.250000,27.122000,25.629999,26.430000,25.975050,4002900
2020-04-21,25.700001,26.540001,25.600000,26.379999,25.925909,3174100
2020-04-22,26.809999,27.100000,25.950001,26.820000,26.358335,2641900
2020-04-23,27.000000,28.090000,26.830000,27.360001,26.889042,2991100
2020-04-24,27.629999,28.100000,27.240000,27.820000,27.341124,3126100
2020-04-27,28.080000,29.430000,27.860001,28.770000,28.274771,3505500
2020-04-28,29.389999,30.000000,28.730000,29.270000,28.766165,2800800
2020-04-29,30.000000,30.480000,29.715000,30.320000,29.798090,2132600
2020-04-30,29.910000,29.950001,28.870001,29.080000,28.579433,2507200
2020-05-01,28.650000,28.754999,27.610001,28.129999,27.645786,1507800
2020-05-04,27.750000,27.760000,26.780001,27.370001,26.898870,1763500
2020-05-05,27.510000,28.379999,27.510000,27.590000,27.115082,2074000
2020-05-06,27.740000,27.790001,27.090000,27.280001,26.810419,1515600
2020-05-07,27.740000,28.264999,27.580000,27.680000,27.203533,1705700
