Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,52.349998,52.650002,51.139999,52.209999,50.482456,22653900
2020-03-12,48.540001,49.930000,46.689999,47.160000,45.599552,31913100
2020-03-13,49.509998,49.560001,46.610001,48.470001,47.277225,33697200
2020-03-16,42.240002,47.880001,41.169998,45.259998,44.146214,28682300
2020-03-17,45.880001,47.500000,45.369999,47.180000,46.018970,32106700
2020-03-18,44.740002,45.150002,41.590000,44.849998,43.746311,35408300
2020-03-19,44.360001,44.660000,41.040001,41.830002,40.800629,41956900
2020-03-20,41.950001,42.070000,37.509998,38.299999,37.357494,51513500
2020-03-23,38.759998,38.889999,36.270000,37.560001,36.635704,44978500
2020-03-24,41.220001,41.400002,38.830002,39.450001,38.479195,49096200
2020-03-25,40.630001,43.450001,39.910000,41.610001,40.586040,42511700
2020-03-26,42.840000,45.270000,42.450001,44.290001,43.200092,37821700
2020-03-27,43.660000,44.029999,42.400002,42.810001,41.756512,23297900
2020-03-30,43.040001,45.560001,43.040001,45.000000,43.892616,23446000
2020-03-31,45.070000,45.509998,44.060001,44.250000,43.161076,25373900
2020-04-01,42.480000,43.650002,41.799999,42.119999,41.083488,21936400
2020-04-02,42.220001,44.189999,41.860001,43.950001,42.868454,17621900
2020-04-03,43.580002,44.340000,43.310001,43.830002,42.751411,14207100
2020-04-06,45.389999,47.009998,44.689999,46.669998,45.521523,22850000
2020-04-07,48.500000,48.599998,46.480000,46.509998,45.365456,21279600
2020-04-08,46.639999,48.090000,46.330002,47.820000,46.643219,18937100
2020-04-09,48.439999,49.730000,48.349998,49.000000,47.794182,19167300
2020-04-13,48.349998,48.639999,46.500000,46.930000,45.775124,19586000
2020-04-14,47.939999,49.250000,46.930000,48.919998,47.716152,21801900
2020-04-15,47.709999,48.400002,47.410000,47.610001,46.438389,12893200
2020-04-16,47.400002,47.849998,46.759998,47.099998,45.940941,17606800
2020-04-17,48.299999,48.299999,47.369999,48.060001,46.877319,19844600
2020-04-20,47.790001,48.000000,46.310001,46.529999,45.384960,18957900
2020-04-21,45.880001,46.900002,44.259998,45.380001,44.263268,26863700
2020-04-22,46.049999,46.150002,45.500000,45.680000,44.555885,15815200
2020-04-23,45.950001,46.099998,44.970001,45.070000,43.960892,17668200
2020-04-24,45.500000,45.750000,45.119999,45.430000,44.312035,15177600
2020-04-27,46.000000,46.980000,45.709999,46.779999,45.628811,19175500
2020-04-28,47.900002,48.000000,46.570000,46.740002,45.589802,17246700
2020-04-29,47.270000,47.860001,46.880001,47.119999,45.960445,15780000
2020-04-30,47.000000,47.000000,45.700001,45.889999,44.760712,20801100
2020-05-01,45.619999,46.389999,45.209999,45.599998,44.477848,14290400
2020-05-04,45.320000,45.480000,44.599998,45.139999,44.029167,22544200
2020-05-05,45.360001,46.099998,45.150002,45.400002,44.282776,13370500
2020-05-06,45.400002,45.630001,44.720001,44.750000,43.648769,11892900
2020-05-07,45.150002,45.240002,44.500000,44.599998,43.502457,16466000
2020-05-08,45.080002,46.220001,44.880001,46.110001,44.975304,13987800
2020-05-11,45.689999,46.110001,45.520000,45.540001,44.419331,10874600
2020-05-12,45.599998,45.849998,44.799999,44.820000,43.717049,13424400
2020-05-13,44.709999,44.779999,43.520000,43.939999,42.858700,15854800
2020-05-14,43.380001,44.060001,43.230000,43.700001,42.624611,18000800
2020-05-15,43.959999,44.689999,43.200001,43.259998,42.195435,31579400
2020-05-18,44.820000,45.389999,44.130001,44.970001,43.863358,26122300
2020-05-19,45.009998,45.330002,44.250000,44.540001,43.443939,17839900
2020-05-20,45.200001,46.169998,45.020000,45.889999,44.760712,22295900
2020-05-21,46.080002,46.090000,45.029999,45.169998,44.058430,13193500
2020-05-22,45.220001,45.310001,44.650002,45.029999,43.921875,13008400
2020-05-26,46.919998,46.930000,45.930000,46.090000,44.955795,22223100
2020-05-27,47.000000,47.090000,46.169998,46.730000,45.580044,18447600
2020-05-28,47.299999,47.459999,46.820000,47.090000,45.931183,16230600
2020-05-29,46.680000,47.189999,46.139999,46.680000,45.531273,51129900
2020-06-01,46.660000,47.230000,46.590000,46.990002,45.833645,17010700
2020-06-02,47.160000,47.279999,46.560001,46.900002,45.745865,15255100
2020-06-03,47.270000,48.119999,47.119999,47.900002,46.721252,15508300
2020-06-04,47.939999,48.270000,47.380001,47.919998,46.740753,13604700
2020-06-05,48.540001,49.490002,48.459999,49.090000,47.881969,20504800
2020-06-08,49.540001,49.970001,49.470001,49.849998,48.623264,19896700
2020-06-09,49.590000,49.590000,48.680000,49.000000,47.794182,16713700
2020-06-10,49.160000,49.270000,48.570000,48.619999,47.423534,15716600
2020-06-11,47.810001,47.919998,45.459999,45.540001,44.419331,26070400
2020-06-12,46.209999,46.250000,45.009998,45.599998,44.881927,21813400
2020-06-15,44.570000,46.450001,44.470001,46.299999,45.570904,15622300
2020-06-16,47.560001,47.689999,46.189999,46.770000,46.033504,18803500
2020-06-17,46.779999,47.060001,46.439999,46.580002,45.846497,12599500
2020-06-18,46.299999,47.040001,46.070000,46.990002,46.250042,9380800
2020-06-19,47.770000,47.790001,46.020000,46.020000,45.295315,30464600
2020-06-22,46.029999,46.150002,45.380001,45.740002,45.019722,20876200
2020-06-23,46.000000,46.290001,45.580002,45.639999,44.921295,14675300
2020-06-24,45.369999,45.439999,44.500000,44.650002,43.946888,17631800
2020-06-25,44.470001,44.980000,44.029999,44.930000,44.222477,13829700
2020-06-26,44.919998,45.009998,43.509998,43.570000,42.883896,21955100
2020-06-29,44.000000,44.570000,43.549999,44.360001,43.661457,17596500
2020-06-30,44.250000,44.830002,44.040001,44.680000,43.976414,23679800
2020-07-01,44.930000,45.529999,44.709999,44.820000,44.114212,14316500
2020-07-02,45.290001,45.430000,44.799999,44.880001,44.173267,15111900
2020-07-06,45.139999,45.270000,44.610001,45.230000,44.517757,15146000
2020-07-07,45.000000,45.500000,44.799999,45.209999,44.498066,13043600
2020-07-08,45.139999,45.180000,44.470001,45.070000,44.360275,13851200
2020-07-09,45.049999,45.049999,43.830002,43.910000,43.218544,16087100
2020-07-10,43.880001,45.250000,43.860001,45.150002,44.439018,15627800
2020-07-13,45.529999,45.680000,44.959999,45.250000,44.537441,16705300
2020-07-14,44.910000,45.939999,44.669998,45.869999,45.147675,17080100
2020-07-15,46.299999,47.189999,46.200001,46.400002,45.669331,23738000
2020-07-16,46.259998,46.689999,45.939999,46.150002,45.423267,13306100
2020-07-17,46.470001,46.910000,46.130001,46.820000,46.082718,13899800
2020-07-20,46.720001,46.830002,45.849998,46.119999,45.393738,16633200
2020-07-21,47.520000,47.990002,46.930000,47.200001,46.456734,25686300
2020-07-22,47.930000,48.520000,47.029999,48.480000,47.716576,29831200
2020-07-23,48.470001,48.570000,48.029999,48.279999,47.519726,15935000
2020-07-24,48.400002,48.799999,48.070000,48.490002,47.726421,16196800
2020-07-27,48.180000,48.509998,48.180000,48.480000,47.716576,17346500
2020-07-28,48.340000,49.279999,48.099998,48.180000,47.421299,13872700
2020-07-29,48.139999,48.500000,47.820000,48.020000,47.263821,13758100
2020-07-30,47.669998,48.230000,47.200001,47.689999,46.939014,17276500
2020-07-31,47.439999,47.770000,46.730000,47.240002,46.496105,14850600
2020-08-03,47.139999,47.360001,46.230000,46.299999,45.570904,14137500
2020-08-04,46.290001,46.860001,46.220001,46.689999,45.954762,11717200
2020-08-05,46.900002,47.270000,46.810001,47.220001,46.476418,10561600
2020-08-06,46.660000,47.529999,46.599998,47.480000,46.732323,10745000
2020-08-07,47.470001,48.080002,47.209999,47.799999,47.047283,11667500
2020-08-10,48.060001,48.279999,47.660000,47.720001,46.968544,11888000
2020-08-11,48.459999,48.650002,47.700001,47.930000,47.175240,16531600
2020-08-12,48.299999,48.689999,48.119999,48.430000,47.667362,9564000
2020-08-13,48.259998,48.730000,48.060001,48.380001,47.618153,9882900
2020-08-14,48.340000,48.689999,48.029999,48.450001,47.687046,10075800
2020-08-17,48.320000,48.750000,48.200001,48.209999,47.450829,9102400
2020-08-18,48.200001,48.500000,47.959999,48.419998,47.657520,9829000
2020-08-19,48.119999,48.380001,47.220001,47.369999,46.624054,17371000
2020-08-20,47.270000,47.599998,47.090000,47.349998,46.604370,11308700
2020-08-21,47.340000,47.500000,46.970001,47.279999,46.535473,14734100
2020-08-24,47.430000,47.980000,47.180000,47.970001,47.214607,9257700
2020-08-25,48.000000,48.049999,47.650002,47.910000,47.155552,7827800
