Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,57.060001,57.830002,53.380001,53.410000,52.993446,4744200
2020-03-12,50.000000,50.020000,43.740002,46.419998,46.057961,7555300
2020-03-13,49.340000,49.540001,42.169998,45.680000,45.323734,6877000
2020-03-16,39.099998,40.000000,36.480000,36.720001,36.433617,9013300
2020-03-17,37.189999,37.660000,31.760000,34.970001,34.697266,8052200
2020-03-18,32.209999,32.380001,25.420000,30.920000,30.678852,8609700
2020-03-19,29.990000,35.500000,28.889999,31.610001,31.363468,8410500
2020-03-20,32.259998,35.090000,30.270000,34.080002,33.814205,8364300
2020-03-23,31.750000,32.770000,28.209999,29.350000,29.121096,7287300
2020-03-24,32.450001,35.790001,31.180000,35.599998,35.322350,5752200
2020-03-25,36.520000,41.939999,35.500000,40.709999,40.392498,6022700
2020-03-26,41.750000,42.869999,40.320000,42.419998,42.089161,4935600
2020-03-27,40.340000,42.220001,39.220001,40.259998,39.946003,4115400
2020-03-30,40.549999,40.700001,38.070000,39.959999,39.648342,3708900
2020-03-31,40.369999,40.439999,37.660000,38.200001,37.902077,4594000
2020-04-01,36.330002,37.070000,34.410000,34.730000,34.459133,4097300
2020-04-02,34.139999,35.529999,32.410000,33.419998,33.159351,4270100
2020-04-03,33.419998,33.869999,32.410000,33.389999,33.129585,3226600
2020-04-06,36.459999,39.709999,35.689999,39.220001,38.914120,4670700
2020-04-07,42.000000,42.939999,39.060001,39.259998,38.953804,4413000
2020-04-08,40.139999,43.750000,39.560001,43.360001,43.021832,4175100
2020-04-09,45.099998,47.830002,44.000000,44.799999,44.450600,5443400
2020-04-13,44.150002,44.150002,40.840000,41.349998,41.027504,3548900
2020-04-14,43.639999,44.020000,42.209999,43.020000,42.684486,2833500
2020-04-15,41.000000,41.240002,39.209999,39.820000,39.509438,3124300
2020-04-16,40.500000,41.150002,39.529999,40.900002,40.581017,3686700
2020-04-17,43.480000,44.250000,41.669998,42.930000,42.595181,3595500
2020-04-20,41.380001,41.740002,39.570000,39.980000,39.784027,2923300
2020-04-21,39.000000,40.459999,38.509998,40.150002,39.953201,2744100
2020-04-22,41.389999,41.619999,40.450001,41.060001,40.858738,2541700
2020-04-23,41.439999,42.820000,40.389999,41.250000,41.047802,2563800
2020-04-24,41.490002,43.480000,41.400002,42.880001,42.669815,2903000
2020-04-27,43.450001,45.650002,42.980000,45.360001,45.137661,3224200
2020-04-28,48.220001,49.779999,47.619999,49.520000,49.277267,4669000
2020-04-29,51.500000,53.310001,51.209999,53.240002,52.979034,4041000
2020-04-30,51.750000,51.900002,49.369999,50.070000,49.824574,5163300
2020-05-01,48.369999,49.669998,47.810001,49.459999,49.217564,3114600
2020-05-04,48.619999,49.799999,48.000000,49.419998,49.177757,2815400
2020-05-05,50.349998,51.970001,50.290001,51.110001,50.859474,3169200
2020-05-06,51.070000,51.730000,49.820000,51.070000,50.819668,3075900
2020-05-07,51.860001,52.599998,50.279999,50.840000,50.590797,2869200
2020-05-08,52.090000,54.430000,51.189999,54.009998,53.745258,2615500
2020-05-11,52.680000,53.810001,52.110001,53.000000,52.740208,2850900
2020-05-12,52.459999,53.119999,50.869999,50.880001,50.630604,2943100
2020-05-13,50.419998,50.759998,48.139999,48.919998,48.680206,3839600
2020-05-14,47.360001,48.880001,46.099998,48.750000,48.511040,3584300
2020-05-15,48.180000,51.110001,47.660000,50.639999,50.391773,2599700
2020-05-18,53.410000,57.270000,53.299999,56.599998,56.322563,3710600
2020-05-19,55.790001,60.099998,55.770000,58.430000,58.143593,5052200
2020-05-20,59.529999,59.970001,56.230000,57.549999,57.267906,3851800
2020-05-21,57.320000,59.849998,57.099998,59.000000,58.710800,2469600
2020-05-22,59.439999,60.459999,58.509998,60.090000,59.795456,2287700
2020-05-26,62.709999,63.500000,60.570000,61.770000,61.467220,4557900
2020-05-27,63.639999,65.220001,62.029999,64.989998,64.671440,3448100
2020-05-28,65.690002,65.900002,59.740002,60.189999,59.894966,5152600
2020-05-29,59.759998,62.040001,59.290001,60.459999,60.163639,4281200
2020-06-01,60.900002,62.330002,59.639999,60.139999,59.845211,3854400
2020-06-02,60.919998,60.970001,59.230000,60.209999,59.914867,3824300
2020-06-03,61.330002,63.790001,60.790001,63.470001,63.158890,4515200
2020-06-04,62.939999,63.849998,60.279999,61.080002,60.780605,4026200
2020-06-05,63.750000,64.730003,61.330002,63.709999,63.397713,4297900
2020-06-08,63.509998,65.480003,61.959999,62.660000,62.352859,2701500
2020-06-09,61.509998,62.820000,60.830002,62.209999,61.905064,3368600
2020-06-10,61.990002,64.129997,60.549999,62.480000,62.173744,4438600
2020-06-11,59.040001,61.000000,57.160000,57.220001,56.939526,4548000
2020-06-12,60.130001,61.799999,58.349998,59.250000,58.959572,5827600
2020-06-15,57.360001,63.660000,57.090000,63.500000,63.188740,6053000
2020-06-16,64.459999,65.690002,62.099998,63.939999,63.626583,8412800
2020-06-17,64.949997,65.269997,63.060001,63.459999,63.148937,3552800
2020-06-18,62.720001,63.369999,61.639999,61.900002,61.596588,3069500
2020-06-19,63.380001,63.380001,59.930000,60.180000,59.885017,5322100
2020-06-22,60.310001,61.380001,59.250000,61.180000,60.880112,2956800
2020-06-23,61.860001,62.110001,60.430000,61.189999,60.890060,3174800
2020-06-24,60.410000,60.439999,57.459999,59.040001,58.750603,4328800
2020-06-25,57.650002,59.830002,57.130001,59.759998,59.467072,4320800
2020-06-26,59.360001,59.439999,58.009998,59.000000,58.710800,5521300
2020-06-29,59.259998,61.000000,57.889999,60.950001,60.651241,2528800
2020-06-30,61.160000,61.919998,60.119999,61.619999,61.317955,2518200
2020-07-01,61.570000,61.919998,59.299999,59.779999,59.486973,2959300
2020-07-02,61.290001,61.470001,59.709999,60.169998,59.875065,2887500
2020-07-06,61.320000,62.169998,60.930000,61.939999,61.636387,2232800
2020-07-07,61.439999,63.439999,61.200001,62.169998,61.865257,3348700
2020-07-08,63.009998,65.870003,62.669998,65.550003,65.228691,4385200
2020-07-09,65.550003,65.760002,63.020000,63.250000,63.060219,3431100
2020-07-10,63.509998,65.970001,63.459999,65.260002,65.064186,3685300
2020-07-13,65.250000,66.309998,62.320000,62.560001,62.372292,4195200
2020-07-14,62.349998,66.330002,62.240002,66.290001,66.091095,3796300
2020-07-15,67.970001,68.870003,66.660004,68.320000,68.115005,4094700
2020-07-16,67.860001,70.050003,67.610001,69.809998,69.600533,3525600
2020-07-17,70.620003,71.680000,69.250000,69.599998,69.391167,3569700
2020-07-20,69.120003,69.250000,67.860001,68.849998,68.643417,2088500
2020-07-21,69.019997,69.440002,67.370003,68.349998,68.144913,3058600
2020-07-22,68.320000,71.190002,68.239998,70.930000,70.717178,2921000
2020-07-23,71.830002,73.750000,69.000000,70.080002,69.869728,3769000
2020-07-24,69.870003,70.389999,68.449997,69.790001,69.580597,2245700
2020-07-27,70.309998,73.120003,69.930000,73.029999,72.810875,3440600
2020-07-28,73.550003,74.320000,70.220001,70.379997,70.168823,3624400
2020-07-29,70.790001,72.940002,70.730003,72.680000,72.461922,2398900
2020-07-30,71.260002,73.059998,71.129997,72.279999,72.063126,1720300
2020-07-31,72.379997,72.489998,70.809998,72.349998,72.132912,1840800
2020-08-03,72.860001,73.800003,72.260002,73.599998,73.379166,1942400
2020-08-04,73.199997,73.930000,72.510002,72.730003,72.511780,1587900
2020-08-05,73.169998,74.050003,72.410004,73.559998,73.339279,1372800
2020-08-06,73.800003,74.349998,73.059998,73.290001,73.070091,1516600
2020-08-07,72.980003,73.410004,71.930000,73.239998,73.020241,1765300
2020-08-10,73.419998,76.690002,73.360001,74.500000,74.276466,3076200
2020-08-11,75.180000,75.470001,73.330002,73.570000,73.349251,2679200
2020-08-12,74.290001,74.419998,73.279999,74.290001,74.067093,2873600
2020-08-13,73.970001,75.029999,73.470001,74.580002,74.356224,1526100
2020-08-14,74.099998,74.639999,73.750000,74.250000,74.027214,1207500
2020-08-17,75.000000,77.519997,74.570000,77.070000,76.838753,3183300
2020-08-18,78.459999,78.589996,77.029999,77.169998,76.938446,2991400
2020-08-19,76.849998,77.279999,76.139999,76.809998,76.579529,1712400
2020-08-20,76.120003,78.150002,75.610001,76.940002,76.709145,1448000
2020-08-21,76.849998,79.639999,76.250000,79.360001,79.121880,3400900
2020-08-24,80.000000,80.000000,78.110001,78.750000,78.513710,1737000
2020-08-25,79.269997,79.269997,77.220001,77.980003,77.746025,1726200
2020-08-26,78.389999,78.919998,77.120003,77.150002,76.918510,1598000
2020-08-27,77.519997,78.279999,75.760002,75.800003,75.572563,1990500
2020-08-28,76.089996,77.360001,75.650002,75.930000,75.702171,1662300
2020-08-31,75.519997,75.970001,74.220001,74.820000,74.595505,2043000
2020-09-01,74.900002,78.169998,74.309998,78.129997,77.895569,2331700
2020-09-02,78.510002,78.739998,76.360001,78.370003,78.134857,2506800
2020-09-03,77.879997,78.220001,73.800003,75.309998,75.084030,2518400
2020-09-04,75.730003,76.489998,71.339996,73.620003,73.399109,2120100
2020-09-08,72.000000,75.099998,71.779999,73.370003,73.149857,2092700
2020-09-09,74.309998,76.349998,73.500000,75.790001,75.562592,1761300
2020-09-10,76.330002,77.360001,74.930000,75.500000,75.273460,1549600
2020-09-11,76.599998,77.910004,76.250000,77.480003,77.247528,2562600
2020-09-14,79.459999,79.470001,77.519997,79.000000,78.762962,5171300
2020-09-15,75.550003,79.360001,74.650002,75.900002,75.672264,7432400
2020-09-16,77.440002,79.839996,77.110001,78.889999,78.653290,5035700
2020-09-17,78.599998,79.279999,77.269997,78.139999,77.905540,3218100
2020-09-18,78.029999,79.879997,77.760002,79.180000,78.942421,5293100
2020-09-21,77.379997,78.099998,74.750000,76.750000,76.519714,2794400
2020-09-22,77.150002,80.059998,76.459999,79.849998,79.610405,2805000
2020-09-23,80.000000,80.059998,76.120003,76.279999,76.051125,2993200
2020-09-24,76.339996,79.089996,75.209999,77.540001,77.307343,2584800
2020-09-25,76.510002,77.680000,75.830002,76.699997,76.469856,2454900
2020-09-28,78.190002,79.739998,77.279999,79.639999,79.401039,2282800
2020-09-29,79.629997,80.339996,78.410004,78.970001,78.733055,2198500
2020-09-30,79.250000,82.720001,79.129997,81.680000,81.434921,4661300
