Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,20.100000,20.100000,17.750000,18.080000,18.073563,47127600
2020-03-12,16.500000,17.580000,14.850000,15.260000,15.254566,34800100
2020-03-13,16.000000,16.820000,14.030000,15.440000,15.434502,41141600
2020-03-16,12.500000,14.060000,10.220000,10.250000,10.246350,32036600
2020-03-17,10.920000,11.010000,9.000000,9.550000,9.546600,31209800
2020-03-18,9.000000,9.030000,5.900000,7.140000,7.137457,47724000
2020-03-19,7.170000,9.240000,6.450000,7.700000,7.697258,39224100
2020-03-20,8.890000,11.160000,8.670000,9.110000,9.106755,56192300
2020-03-23,9.730000,9.820000,8.920000,9.150000,9.146742,31171300
2020-03-24,11.450000,12.900000,10.660000,12.180000,12.175664,52043500
2020-03-25,14.450000,14.720000,11.600000,12.950000,12.945389,53358000
2020-03-26,13.250000,15.300000,12.870000,13.450000,13.445211,46143400
2020-03-27,12.750000,12.970000,12.100000,12.190000,12.185659,37027000
2020-03-30,11.550000,12.370000,10.500000,11.530000,11.525895,32826800
2020-03-31,11.940000,12.390000,11.550000,11.800000,11.795798,25953600
2020-04-01,11.010000,12.220000,10.600000,11.770000,11.765810,30333300
2020-04-02,11.560000,12.190000,11.220000,11.510000,11.505903,20579500
2020-04-03,11.660000,11.970000,10.000000,10.580000,10.576234,37802700
2020-04-06,11.640000,13.070000,11.620000,12.910000,12.905403,32889800
2020-04-07,15.170000,15.730000,13.400000,13.630000,13.625148,41110900
2020-04-08,14.110000,15.280000,13.870000,15.000000,14.994660,30180100
2020-04-09,16.240000,16.440001,14.050000,14.550000,14.544820,40500600
2020-04-13,14.800000,14.800000,13.400000,13.910000,13.905047,30428500
2020-04-14,14.400000,15.090000,14.020000,15.040000,15.034644,26957300
2020-04-15,14.400000,14.660000,14.010000,14.420000,14.414865,20144900
2020-04-16,14.210000,14.410000,13.470000,13.820000,13.815080,20950300
2020-04-17,14.890000,14.940000,13.740000,14.080000,14.074986,34046400
2020-04-20,13.450000,14.310000,13.350000,13.530000,13.525182,24091700
2020-04-21,13.010000,13.500000,12.790000,13.190000,13.185303,19203800
2020-04-22,13.580000,13.640000,13.140000,13.290000,13.285269,14067300
2020-04-23,13.720000,14.040000,13.620000,13.780000,13.775093,24742600
2020-04-24,13.890000,14.130000,13.500000,13.940000,13.935037,19165000
2020-04-27,14.250000,15.500000,14.100000,15.230000,15.224577,30512300
2020-04-28,16.500000,16.500000,15.090000,15.810000,15.804371,28916500
2020-04-29,16.719999,17.629999,16.480000,17.459999,17.453783,33001800
2020-04-30,16.940001,17.309999,16.209999,16.830000,16.824009,27893300
2020-05-01,15.560000,15.990000,14.910000,15.010000,15.004656,27992600
2020-05-04,14.540000,15.380000,14.030000,14.780000,14.774738,22999500
2020-05-05,15.300000,15.320000,14.230000,14.270000,14.264919,23022700
2020-05-06,14.370000,14.550000,13.860000,13.910000,13.905047,16904200
2020-05-07,14.000000,15.240000,13.960000,14.930000,14.924685,26180900
2020-05-08,15.330000,15.710000,14.880000,15.590000,15.584451,23502800
2020-05-11,15.190000,15.200000,14.610000,14.650000,14.644783,21349100
2020-05-12,14.810000,15.010000,13.810000,13.840000,13.835073,25007700
2020-05-13,13.800000,13.840000,12.500000,12.680000,12.675487,35509500
2020-05-14,12.230000,13.570000,11.770000,13.520000,13.515187,33336000
2020-05-15,13.410000,14.070000,13.200000,13.850000,13.845070,25530400
2020-05-18,14.850000,15.420000,14.530000,15.310000,15.304550,32223400
2020-05-19,15.340000,15.690000,14.640000,15.160000,15.154602,24387300
2020-05-20,15.810000,16.580000,15.700000,16.500000,16.494125,37198300
2020-05-21,16.059999,16.440001,15.650000,15.990000,15.984306,31416300
2020-05-22,15.910000,16.000000,15.270000,15.900000,15.894340,20793300
2020-05-26,17.299999,17.969999,16.719999,17.650000,17.643715,38790100
2020-05-27,18.780001,18.840000,17.000000,18.110001,18.103552,43058700
2020-05-28,18.070000,18.129999,17.090000,17.230000,17.223867,28755000
2020-05-29,16.799999,17.520000,16.719999,17.180000,17.173883,24242900
2020-06-01,17.309999,18.040001,17.120001,17.799999,17.793663,21636600
2020-06-02,18.170000,18.280001,17.400000,18.200001,18.193521,26330800
2020-06-03,18.900000,20.400000,18.700001,20.260000,20.252787,41459400
2020-06-04,21.370001,21.959999,19.910000,21.719999,21.712267,57471200
2020-06-05,23.219999,23.580000,21.360001,21.719999,21.712267,56687900
2020-06-08,22.809999,23.840000,22.180000,23.760000,23.751541,38734600
2020-06-09,22.840000,22.940001,21.290001,22.059999,22.054930,31656000
2020-06-10,22.459999,22.480000,20.010000,20.510000,20.505287,40248200
2020-06-11,17.840000,19.440001,17.600000,17.840000,17.835899,41227700
2020-06-12,19.620001,19.680000,18.260000,19.170000,19.165594,31538900
2020-06-15,18.000000,19.750000,17.650000,19.450001,19.445532,32622900
2020-06-16,20.660000,20.850000,19.090000,19.350000,19.345554,40032400
2020-06-17,19.030001,19.330000,18.820000,18.969999,18.965639,18903000
2020-06-18,18.459999,18.990000,18.299999,18.580000,18.575729,24687700
2020-06-19,19.030001,19.090000,17.830000,18.209999,18.205814,28606600
2020-06-22,17.980000,18.200001,17.400000,17.770000,17.765917,20377200
2020-06-23,18.059999,18.500000,17.770000,18.459999,18.455757,15983100
2020-06-24,18.040001,18.100000,16.660000,16.930000,16.926109,30565300
2020-06-25,16.190001,17.049999,16.070000,16.700001,16.696161,24652600
2020-06-26,16.500000,16.790001,15.590000,15.720000,15.716388,27652500
2020-06-29,15.830000,16.990000,15.320000,16.820000,16.816133,26365500
2020-06-30,16.629999,16.950001,16.270000,16.799999,16.796139,18850900
