Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,166.720001,167.380005,159.419998,161.210007,158.479065,1270200
2020-03-12,150.490005,152.869995,136.009995,141.369995,139.529083,2452000
2020-03-13,149.710007,154.990005,144.229996,154.949997,152.932236,2111000
2020-03-16,138.580002,150.100006,138.470001,145.240005,143.348694,2416300
2020-03-17,148.389999,157.080002,144.179993,149.330002,147.385422,1939600
2020-03-18,142.820007,148.990005,136.289993,148.199997,146.270126,1413400
2020-03-19,147.940002,154.809998,145.949997,149.720001,147.770355,1629100
2020-03-20,148.649994,150.080002,132.789993,136.610001,134.831055,2639600
2020-03-23,135.820007,136.449997,120.769997,124.559998,122.937973,2023100
2020-03-24,129.110001,136.600006,127.440002,130.809998,129.106567,1993800
2020-03-25,130.470001,135.679993,129.509995,133.660004,131.919479,2293900
2020-03-26,135.419998,149.690002,134.479996,148.990005,147.049866,1618700
2020-03-27,144.910004,145.789993,133.580002,135.070007,133.311111,1783000
2020-03-30,135.940002,136.679993,130.190002,133.369995,131.633255,2067300
2020-03-31,133.050003,134.929993,130.389999,132.919998,131.189102,2817400
2020-04-01,128.220001,129.360001,123.559998,126.089996,124.448044,2292400
2020-04-02,125.599998,130.960007,124.739998,130.399994,128.701920,1239100
2020-04-03,129.750000,131.589996,125.970001,126.620003,124.971153,1344700
2020-04-06,132.100006,141.880005,131.550003,140.899994,139.065186,1769400
2020-04-07,144.970001,148.309998,142.250000,142.440002,140.585144,1483500
2020-04-08,144.100006,149.520004,143.440002,147.770004,145.845749,1049900
2020-04-09,149.240005,153.470001,147.589996,152.889999,150.899063,1236700
2020-04-13,150.300003,152.660004,145.110001,146.240005,144.335663,822200
2020-04-14,149.279999,153.210007,149.039993,152.789993,150.800354,821300
2020-04-15,149.710007,150.639999,147.860001,148.619995,146.684662,867000
2020-04-16,148.869995,153.199997,148.190002,152.750000,150.760895,767300
2020-04-17,155.720001,157.949997,154.699997,157.770004,155.715515,941700
2020-04-20,156.110001,159.149994,155.020004,155.380005,153.356659,747100
2020-04-21,152.210007,153.100006,144.350006,144.679993,142.795959,1410600
2020-04-22,148.289993,153.000000,146.389999,151.589996,149.615997,957700
2020-04-23,153.110001,154.740005,151.110001,153.610001,151.609695,1204700
2020-04-24,154.589996,154.750000,151.589996,152.800003,150.810242,1395800
2020-04-27,153.779999,155.960007,152.820007,154.440002,152.428879,558100
2020-04-28,155.770004,156.229996,145.220001,145.429993,143.536209,2203300
2020-04-29,147.000000,150.029999,145.000000,148.919998,146.980759,1685400
2020-04-30,148.360001,148.380005,143.559998,143.809998,141.937302,1259000
2020-05-01,141.500000,143.139999,138.460007,138.830002,137.022156,1202500
2020-05-04,138.729996,141.220001,137.009995,141.160004,139.321823,1801200
2020-05-05,141.910004,143.470001,140.660004,140.820007,138.986252,1013300
2020-05-06,141.789993,142.000000,135.279999,135.300003,133.538116,1620100
2020-05-07,137.130005,138.000000,135.500000,136.210007,134.436279,2499400
2020-05-08,130.490005,135.619995,124.599998,131.270004,129.560608,5281800
2020-05-11,130.050003,133.130005,128.860001,130.139999,128.445313,2388000
2020-05-12,131.490005,133.309998,130.210007,131.229996,129.521118,1974000
2020-05-13,131.139999,132.440002,126.709999,128.369995,126.698357,2539400
2020-05-14,127.000000,127.690002,124.360001,127.320000,125.662033,1589700
2020-05-15,126.370003,129.149994,125.339996,129.070007,127.389252,1172200
2020-05-18,131.979996,135.880005,131.910004,135.520004,133.755264,1684900
2020-05-19,136.940002,138.979996,135.850006,137.029999,135.245590,1649800
2020-05-20,137.360001,139.460007,135.740005,138.589996,136.785278,1587700
2020-05-21,138.880005,139.929993,136.970001,137.190002,135.403503,1199400
2020-05-22,137.029999,137.289993,134.089996,134.190002,132.442566,1021400
2020-05-26,137.830002,139.639999,137.080002,137.389999,135.600906,1730200
2020-05-27,138.210007,138.210007,133.240005,134.020004,132.274780,1890700
2020-05-28,135.520004,138.490005,134.509995,135.869995,134.100693,1334300
2020-05-29,136.289993,136.710007,132.800003,135.330002,133.567734,2404100
2020-06-01,136.199997,139.899994,135.429993,138.940002,137.130707,1260500
2020-06-02,139.220001,139.949997,137.809998,139.660004,137.841339,1422500
2020-06-03,141.179993,148.169998,140.320007,147.869995,145.944427,2766600
2020-06-04,146.649994,149.369995,146.300003,149.229996,147.286713,2194100
2020-06-05,151.820007,156.059998,151.320007,155.899994,153.869873,1292700
2020-06-08,156.000000,159.759995,155.429993,158.320007,156.258362,1894700
2020-06-09,157.009995,157.190002,151.399994,151.770004,149.793655,1223100
2020-06-10,151.589996,152.050003,147.449997,148.229996,146.299744,2985200
2020-06-11,143.889999,144.369995,136.059998,136.080002,134.307968,2484300
2020-06-12,141.080002,142.860001,137.990005,140.600006,139.424850,2441900
2020-06-15,137.270004,138.949997,135.389999,137.559998,136.410233,1830200
2020-06-16,142.610001,144.559998,140.750000,141.919998,140.733795,1820900
2020-06-17,141.809998,143.520004,138.570007,140.059998,138.889343,1042300
2020-06-18,138.889999,142.119995,138.889999,141.369995,140.188400,1072900
2020-06-19,142.199997,142.850006,138.479996,138.880005,137.719223,2989600
2020-06-22,138.869995,141.289993,137.630005,141.130005,139.950409,1767400
2020-06-23,142.339996,142.750000,140.940002,141.029999,139.851227,1175800
2020-06-24,140.289993,141.029999,137.279999,139.300003,138.135696,1431300
2020-06-25,138.119995,140.649994,136.369995,140.490005,139.315765,1508700
2020-06-26,140.509995,140.929993,136.270004,138.779999,137.620041,3932900
2020-06-29,139.559998,139.559998,137.100006,138.139999,136.985397,819200
2020-06-30,138.399994,140.919998,138.399994,140.130005,138.958771,1219300
2020-07-01,139.490005,139.740005,135.649994,135.970001,134.833542,1779800
2020-07-02,137.660004,139.100006,134.820007,135.089996,133.960892,1444600
2020-07-06,136.570007,137.210007,135.720001,136.009995,134.873199,1506700
2020-07-07,134.479996,134.770004,131.009995,131.080002,129.984406,1869300
2020-07-08,131.059998,133.089996,130.699997,132.130005,131.025635,1498800
2020-07-09,131.839996,132.740005,128.429993,130.929993,129.835648,1270100
2020-07-10,129.860001,130.410004,127.580002,128.419998,127.346634,1921300
2020-07-13,129.660004,132.440002,129.039993,131.059998,129.964569,2373800
2020-07-14,130.429993,133.190002,129.500000,132.970001,131.858612,1172700
2020-07-15,133.979996,136.470001,133.970001,134.559998,133.435318,910100
2020-07-16,133.699997,134.869995,133.119995,134.710007,133.584061,1221400
2020-07-17,135.830002,138.470001,135.240005,137.679993,136.529236,1217200
2020-07-20,137.190002,137.960007,134.720001,135.649994,134.516205,1771700
2020-07-21,136.330002,138.470001,136.210007,138.000000,136.846558,1072700
2020-07-22,137.699997,141.970001,137.259995,141.199997,140.019821,1144600
2020-07-23,141.369995,145.850006,141.350006,144.220001,143.014587,1640500
2020-07-24,144.139999,144.229996,140.800003,141.729996,140.545395,1370000
2020-07-27,141.809998,143.529999,141.490005,141.960007,140.773468,1077100
2020-07-28,140.679993,141.550003,135.779999,136.800003,135.656601,1517100
2020-07-29,138.009995,140.550003,137.800003,140.039993,138.869507,838200
2020-07-30,137.410004,139.350006,135.899994,139.190002,138.026627,541200
2020-07-31,139.699997,139.910004,137.100006,139.800003,138.631531,703300
2020-08-03,140.649994,141.250000,137.460007,137.539993,136.390411,906000
2020-08-04,138.360001,139.990005,136.770004,137.570007,136.420166,1211200
2020-08-05,138.350006,139.529999,137.440002,138.330002,137.173798,1379900
2020-08-06,137.889999,144.050003,137.889999,144.029999,142.826172,1994000
2020-08-07,147.710007,151.990005,141.949997,144.259995,143.054245,2828900
2020-08-10,144.000000,144.500000,140.899994,142.220001,141.031296,1472100
2020-08-11,142.160004,143.520004,140.210007,142.869995,141.675858,1458900
2020-08-12,142.470001,146.339996,142.399994,145.009995,143.797958,948000
