Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,15.540000,15.810000,15.230000,15.420000,15.244309,6026100
2020-03-12,14.210000,14.670000,13.480000,13.640000,13.484591,4173300
2020-03-13,14.390000,15.060000,13.870000,15.050000,14.878525,5190900
2020-03-16,13.400000,15.330000,12.810000,14.660000,14.492968,5549700
2020-03-17,14.970000,16.379999,14.590000,16.219999,16.035192,5008800
2020-03-18,14.890000,16.450001,14.800000,16.080000,15.896789,6078700
2020-03-19,15.790000,16.000000,14.420000,15.140000,14.967500,6332400
2020-03-20,15.280000,15.390000,13.510000,13.620000,13.464817,5905600
2020-03-23,13.570000,13.590000,11.840000,11.940000,11.803958,6176300
2020-03-24,12.610000,14.350000,12.500000,13.280000,13.128691,4420900
2020-03-25,13.260000,13.950000,12.930000,13.620000,13.464817,4436600
2020-03-26,13.620000,13.970000,13.400000,13.810000,13.652653,6150500
2020-03-27,13.360000,13.530000,12.610000,13.000000,12.851882,5542200
2020-03-30,13.000000,13.160000,12.500000,13.090000,12.940857,2962400
2020-03-31,12.920000,13.190000,12.530000,12.540000,12.397122,5041500
2020-04-01,12.010000,12.120000,11.640000,11.850000,11.714985,4293600
2020-04-02,11.660000,12.730000,11.620000,12.310000,12.169744,5487000
2020-04-03,12.340000,12.570000,11.790000,12.170000,12.031338,2899800
2020-04-06,12.910000,13.280000,12.710000,13.170000,13.019945,4670300
2020-04-07,13.600000,13.880000,13.300000,13.430000,13.276982,4740500
2020-04-08,13.560000,15.180000,13.410000,14.900000,14.730232,6415600
2020-04-09,15.210000,15.500000,13.980000,14.140000,13.978892,6165200
2020-04-13,13.950000,14.100000,13.420000,13.790000,13.632880,3114800
2020-04-14,13.790000,14.260000,13.760000,14.020000,13.860261,3001200
2020-04-15,13.660000,13.770000,12.920000,13.100000,12.950743,5047900
2020-04-16,13.120000,13.150000,12.480000,12.600000,12.456439,3204200
2020-04-17,13.000000,13.490000,12.980000,13.260000,13.108918,3769300
2020-04-20,13.060000,13.230000,12.680000,12.770000,12.624502,4791300
2020-04-21,12.500000,12.640000,11.910000,11.940000,11.803958,4245300
2020-04-22,12.130000,12.190000,11.620000,11.860000,11.724871,4827600
2020-04-23,11.900000,12.490000,11.830000,12.360000,12.219173,7110200
2020-04-24,12.420000,12.720000,12.300000,12.470000,12.327921,5340400
2020-04-27,12.550000,13.320000,12.460000,13.160000,13.010057,6547900
2020-04-28,13.640000,13.820000,13.450000,13.600000,13.445046,5974800
2020-04-29,13.990000,14.040000,13.660000,13.960000,13.800943,5878400
2020-04-30,13.960000,14.930000,13.520000,14.730000,14.562170,11387200
2020-05-01,14.420000,14.420000,13.710000,13.960000,13.800943,4044900
2020-05-04,13.680000,14.260000,13.550000,14.150000,13.988778,3013700
2020-05-05,14.290000,14.470000,13.510000,13.520000,13.365957,2591300
2020-05-06,13.540000,13.720000,13.050000,13.150000,13.000172,3522300
2020-05-07,13.320000,13.980000,13.320000,13.680000,13.524134,2614600
2020-05-08,13.910000,14.230000,13.870000,14.150000,13.988778,2243800
2020-05-11,14.030000,14.150000,13.670000,13.940000,13.781171,1855500
