Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,325.450012,330.359985,311.869995,317.850006,313.726624,1484400
2020-03-12,296.989990,308.959991,289.260010,290.500000,286.731415,2525900
2020-03-13,303.660004,315.649994,289.589996,314.500000,310.420074,2307500
2020-03-16,274.589996,300.440002,274.589996,282.589996,278.924042,1520200
2020-03-17,288.359985,319.890015,287.579987,319.329987,315.187408,2113200
2020-03-18,301.010010,325.850006,298.609985,323.000000,318.809814,1779400
2020-03-19,321.149994,322.989990,289.510010,296.910004,293.058289,1711600
2020-03-20,300.940002,301.170013,274.769989,284.019989,280.335449,1768500
2020-03-23,280.850006,283.250000,263.309998,269.859985,266.359161,1497400
2020-03-24,280.250000,284.000000,272.630005,281.279999,277.631012,1655100
2020-03-25,281.790009,301.980011,279.000000,288.359985,284.619141,1615600
2020-03-26,290.630005,321.920013,290.630005,321.190002,317.023285,1425500
2020-03-27,311.890015,318.769989,301.600006,312.149994,308.100555,1504800
2020-03-30,317.410004,322.920013,308.859985,313.720001,309.650177,1261700
2020-03-31,309.170013,311.000000,300.380005,302.549988,298.625092,1980200
2020-04-01,293.850006,309.989990,290.619995,306.989990,303.007477,1226500
2020-04-02,301.899994,314.730011,301.690002,314.290009,310.212799,1061900
2020-04-03,313.899994,315.549988,310.309998,313.609985,309.541595,834900
2020-04-06,320.000000,335.269989,319.500000,332.329987,328.018768,1047600
2020-04-07,342.709991,343.309998,324.959991,325.519989,321.297119,1098500
2020-04-08,330.309998,336.630005,327.079987,329.670013,325.393280,919000
2020-04-09,334.609985,339.119995,330.649994,336.649994,332.282715,1115800
2020-04-13,336.709991,341.540009,334.140015,338.850006,334.454193,639000
2020-04-14,344.709991,352.000000,342.000000,348.790009,344.265259,639100
2020-04-15,346.019989,346.109985,336.510010,344.290009,339.823639,712300
2020-04-16,343.589996,348.350006,342.320007,346.239990,341.748322,879700
2020-04-17,353.609985,357.119995,347.000000,356.299988,351.677826,1236800
2020-04-20,353.660004,354.380005,343.510010,343.910004,339.448547,695700
2020-04-21,340.950012,346.589996,332.290009,333.679993,329.351257,813200
2020-04-22,339.170013,343.549988,334.970001,342.010010,337.573212,676200
2020-04-23,341.970001,344.000000,335.600006,335.829987,331.473358,1104400
2020-04-24,338.000000,340.839996,332.000000,339.309998,334.908234,560400
2020-04-27,341.959991,346.779999,340.500000,344.809998,340.336884,764500
2020-04-28,349.269989,351.420013,342.640015,344.529999,340.060516,696100
2020-04-29,332.549988,347.160004,321.130005,331.829987,327.525269,2044500
2020-04-30,327.559998,331.910004,322.980011,330.670013,326.380310,1137400
