Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,35.950001,36.419998,34.580002,35.430000,34.352730,3356500
2020-03-12,32.560001,34.580002,31.600000,31.770000,30.804014,4495200
2020-03-13,34.000000,35.840000,32.590000,35.840000,34.750263,4387700
2020-03-16,31.750000,33.689999,30.299999,30.639999,29.708370,3168400
2020-03-17,31.330000,32.529999,29.750000,30.990000,30.047731,3875600
2020-03-18,29.190001,29.719999,27.530001,29.350000,28.457596,4376500
2020-03-19,29.440001,33.869999,29.120001,30.820000,29.882898,3166600
2020-03-20,31.840000,32.209999,30.049999,30.629999,29.698677,4139900
2020-03-23,30.360001,31.400000,28.389999,28.420000,27.555874,3721800
2020-03-24,30.400000,32.650002,30.180000,31.980000,31.007629,3644400
2020-03-25,32.279999,33.570000,30.400000,31.200001,30.251345,3323900
2020-03-26,31.459999,33.779999,30.760000,33.540001,32.520195,4184100
2020-03-27,32.730000,33.939999,32.070000,33.360001,32.345669,3114400
2020-03-30,32.799999,35.139999,32.160000,34.919998,34.272255,5136000
2020-03-31,34.950001,37.160000,34.419998,36.020000,35.351852,4390100
2020-04-01,34.169998,36.139999,34.049999,35.900002,35.234081,5412700
2020-04-02,35.959999,37.070000,35.070000,35.939999,35.273335,4188200
2020-04-03,35.630001,36.410000,35.419998,35.650002,34.988716,3504600
2020-04-06,37.400002,38.070000,36.869999,37.509998,36.814213,5256500
2020-04-07,39.330002,39.410000,37.139999,37.320000,36.627739,4768400
2020-04-08,37.700001,39.570000,37.320000,39.049999,38.325645,3152100
2020-04-09,39.880001,40.910000,38.810001,39.430000,38.698597,3479100
2020-04-13,39.580002,39.740002,38.270000,38.790001,38.070473,3278100
2020-04-14,39.540001,39.970001,37.840000,38.380001,37.668079,3349400
2020-04-15,35.930000,36.299999,35.029999,35.529999,34.870941,3675800
2020-04-16,35.849998,35.849998,34.720001,35.509998,34.851311,2652600
2020-04-17,36.919998,37.630001,36.720001,37.330002,36.637554,2111700
2020-04-20,36.240002,37.290001,35.849998,36.529999,35.852394,2033800
2020-04-21,35.349998,36.400002,35.320000,36.049999,35.381298,2043700
2020-04-22,37.049999,37.119999,36.060001,36.400002,35.724804,1603200
2020-04-23,36.570000,38.360001,36.490002,37.720001,37.020321,2363600
2020-04-24,38.320000,38.910000,37.669998,37.869999,37.167534,2393500
2020-04-27,38.070000,41.349998,38.009998,40.500000,39.748749,3438000
2020-04-28,39.330002,41.200001,39.049999,40.490002,39.738937,4238400
2020-04-29,41.500000,42.990002,41.500000,42.500000,41.711655,4256700
2020-04-30,41.619999,42.230000,40.970001,41.189999,40.425953,4537600
2020-05-01,40.150002,41.610001,40.060001,41.000000,40.239479,2802800
2020-05-04,40.250000,41.220001,39.910000,41.060001,40.298367,2115100
2020-05-05,41.750000,42.150002,40.630001,40.750000,39.994110,2726500
2020-05-06,41.099998,41.450001,40.209999,40.500000,39.748749,1563700
2020-05-07,41.240002,41.770000,40.820000,40.910000,40.151146,1803000
2020-05-08,41.509998,42.270000,41.480000,42.200001,41.417217,1615100
2020-05-11,41.090000,41.639999,40.380001,40.630001,39.876339,2326800
2020-05-12,40.860001,40.860001,38.990002,39.009998,38.286388,1924900
2020-05-13,38.580002,38.709999,36.950001,37.320000,36.627739,2895100
2020-05-14,36.369999,37.509998,35.750000,37.490002,36.794586,2669600
2020-05-15,37.169998,38.150002,36.799999,38.070000,37.363823,3585600
2020-05-18,40.060001,41.360001,40.009998,40.860001,40.102074,2172800
2020-05-19,40.730000,41.250000,40.230000,40.410000,39.660419,1119700
2020-05-20,40.770000,41.680000,40.580002,40.680000,39.925411,1674400
2020-05-21,40.549999,41.080002,39.930000,40.000000,39.258026,1533300
2020-05-22,40.000000,40.139999,38.980000,39.480000,38.747669,1162200
2020-05-26,41.070000,41.990002,40.639999,41.509998,40.740013,1910200
2020-05-27,42.459999,43.169998,42.209999,43.099998,42.300522,2246700
2020-05-28,43.540001,43.889999,42.279999,42.549999,41.760727,2000200
2020-05-29,42.169998,42.389999,41.330002,42.259998,41.476105,3734000
2020-06-01,42.270000,42.840000,41.959999,42.459999,41.672394,1580600
2020-06-02,42.840000,43.330002,42.599998,43.230000,42.428112,1642700
2020-06-03,44.000000,44.509998,43.610001,44.099998,43.281971,1514300
2020-06-04,43.990002,44.650002,43.400002,44.639999,43.811958,1933500
2020-06-05,46.220001,46.630001,45.060001,45.470001,44.626564,2276200
2020-06-08,45.580002,46.299999,45.200001,45.490002,44.646191,2600600
2020-06-09,44.660000,44.759998,43.509998,44.250000,43.429192,2012800
2020-06-10,44.299999,45.000000,43.759998,44.099998,43.281971,1819900
2020-06-11,41.520000,42.840000,39.529999,39.660000,38.924332,2771400
2020-06-12,41.290001,41.730000,40.240002,41.200001,40.435768,1897000
2020-06-15,39.770000,42.529999,39.590000,41.919998,41.142410,2609900
2020-06-16,45.099998,45.320000,43.340000,44.590000,43.762886,3990000
2020-06-17,44.590000,44.790001,43.700001,44.000000,43.183826,2169200
2020-06-18,43.500000,44.430000,43.299999,43.520000,42.712734,2133300
2020-06-19,44.240002,44.369999,42.360001,42.700001,41.907944,2871100
2020-06-22,42.509998,42.740002,42.020000,42.299999,41.515362,1544000
2020-06-23,42.939999,43.169998,42.200001,42.220001,41.436848,1539700
2020-06-24,41.919998,41.990002,40.590000,40.669998,39.915596,2122300
2020-06-25,40.250000,41.459999,39.900002,41.419998,40.651684,1839100
2020-06-26,40.959999,41.110001,40.119999,40.599998,39.846893,2897100
2020-06-29,40.700001,41.349998,40.540001,40.900002,40.543774,1708000
2020-06-30,40.619999,41.639999,40.400002,41.410000,41.049332,1701600
2020-07-01,41.400002,41.490002,39.950001,40.380001,40.028301,2408900
2020-07-02,41.139999,42.099998,41.139999,41.400002,41.039417,2072000
2020-07-06,42.380001,42.419998,40.630001,41.650002,41.287243,2405000
2020-07-07,41.099998,41.650002,40.610001,41.180000,40.821335,2659300
2020-07-08,41.389999,41.389999,39.279999,39.660000,39.314571,3177100
2020-07-09,39.500000,39.610001,38.509998,38.799999,38.462063,2644900
