Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,13.260000,13.890000,13.160000,13.630000,13.079243,9536700
2020-03-12,12.700000,12.960000,11.260000,11.300000,10.843392,6619200
2020-03-13,11.960000,12.970000,11.450000,12.960000,12.436316,6614000
2020-03-16,11.700000,12.890000,11.560000,12.280000,11.783792,5681000
2020-03-17,12.890000,13.810000,11.910000,13.260000,12.724194,6087400
2020-03-18,12.400000,12.720000,11.200000,12.160000,11.668641,6415700
2020-03-19,11.910000,12.840000,11.100000,12.430000,11.927732,4304100
2020-03-20,12.390000,12.430000,11.390000,11.420000,10.958544,6597700
2020-03-23,11.430000,11.720000,10.440000,10.550000,10.123698,5432000
2020-03-24,11.200000,12.520000,11.190000,12.460000,11.956520,6163500
2020-03-25,12.630000,13.290000,11.830000,12.760000,12.244397,5181700
2020-03-26,12.980000,14.220000,12.730000,14.110000,13.539846,4452300
2020-03-27,13.400000,14.340000,13.180000,13.610000,13.060051,4094700
2020-03-30,13.590000,13.850000,13.440000,13.640000,13.088839,4105100
2020-03-31,13.500000,13.770000,12.930000,13.280000,12.743385,5506800
2020-04-01,12.520000,12.850000,12.010000,12.390000,11.889349,5029200
2020-04-02,12.280000,12.730000,11.790000,12.070000,11.582278,4159900
2020-04-03,11.900000,12.390000,11.700000,11.990000,11.505511,3122100
2020-04-06,12.680000,13.110000,12.530000,12.820000,12.301972,3250700
2020-04-07,13.450000,13.620000,12.940000,13.100000,12.570659,3638400
2020-04-08,13.270000,13.580000,13.030000,13.470000,12.925708,3275200
2020-04-09,13.630000,14.440000,13.630000,14.150000,13.578230,5238300
2020-04-13,14.080000,14.110000,13.040000,13.340000,12.800961,2139500
2020-04-14,13.760000,13.880000,13.440000,13.800000,13.242373,2850600
2020-04-15,13.250000,13.310000,12.620000,12.730000,12.215609,2930700
2020-04-16,12.710000,12.860000,12.250000,12.610000,12.100458,2955100
2020-04-17,13.110000,13.380000,12.520000,12.860000,12.340357,4870300
2020-04-20,12.670000,13.050000,12.080000,12.780000,12.263588,6883600
2020-04-21,12.320000,12.740000,12.240000,12.520000,12.014095,3002000
2020-04-22,12.520000,12.650000,12.020000,12.060000,11.572682,4209700
2020-04-23,12.250000,12.830000,12.200000,12.600000,12.090863,4692800
2020-04-24,12.640000,13.080000,12.500000,12.910000,12.388336,5442500
2020-04-27,12.970000,13.610000,12.920000,13.490000,12.944900,4150600
2020-04-28,13.840000,14.420000,13.840000,14.230000,13.654998,4972400
2020-04-29,14.580000,14.690000,14.310000,14.330000,13.750957,3530900
2020-04-30,14.100000,14.120000,13.720000,13.880000,13.319140,4788700
2020-05-01,13.200000,13.310000,12.210000,12.280000,11.783792,6781100
2020-05-04,12.190000,12.500000,12.020000,12.390000,11.889349,3766900
2020-05-05,12.500000,12.620000,11.920000,11.930000,11.447936,3203700
2020-05-06,11.980000,12.120000,11.530000,11.690000,11.217633,2764100
2020-05-07,11.780000,12.380000,11.750000,12.040000,11.553491,3046800
2020-05-08,12.230000,12.490000,12.060000,12.410000,11.908541,2591800
2020-05-11,12.150000,12.280000,11.900000,12.030000,11.543895,3535500
2020-05-12,12.110000,12.350000,12.060000,12.170000,11.678238,3639000
2020-05-13,12.030000,12.080000,11.440000,11.720000,11.246422,7342000
2020-05-14,11.480000,11.700000,11.050000,11.620000,11.150462,2813400
2020-05-15,11.530000,11.780000,11.340000,11.700000,11.227229,2000900
2020-05-18,12.240000,12.710000,12.240000,12.660000,12.148438,2917500
2020-05-19,12.660000,12.970000,12.420000,12.640000,12.129246,3997400
2020-05-20,12.840000,12.950000,12.450000,12.580000,12.071671,3270800
2020-05-21,12.430000,12.920000,12.360000,12.860000,12.340357,4008200
2020-05-22,12.980000,12.980000,12.660000,12.780000,12.263588,2180100
2020-05-26,13.110000,13.740000,13.040000,13.550000,13.002475,3755300
2020-05-27,13.880000,14.410000,13.850000,14.390000,13.808532,3974500
2020-05-28,14.370000,14.370000,13.530000,13.580000,13.242929,3761100
2020-05-29,13.430000,13.430000,13.060000,13.150000,12.823602,6024800
2020-06-01,13.100000,13.510000,13.060000,13.460000,13.125908,3066100
2020-06-02,13.600000,13.910000,13.500000,13.850000,13.506227,2843200
2020-06-03,13.990000,15.110000,13.960000,14.990000,14.617930,4962700
2020-06-04,14.960000,15.750000,14.830000,15.470000,15.086018,5231000
2020-06-05,16.000000,16.790001,15.990000,16.400000,15.992933,5604100
