Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,10.450000,10.570000,10.010000,10.090000,10.024096,3876400
2020-03-12,9.380000,9.830000,9.110000,9.220000,9.159779,9126200
2020-03-13,9.740000,10.500000,9.500000,10.470000,10.401614,6720500
2020-03-16,10.560000,10.560000,9.450000,10.140000,10.073770,5382500
2020-03-17,10.170000,11.480000,9.970000,10.880000,10.808936,7291400
2020-03-18,10.570000,10.620000,9.520000,9.880000,9.815467,4261500
2020-03-19,9.820000,10.350000,9.530000,9.670000,9.606839,3494800
2020-03-20,9.360000,9.710000,8.920000,9.020000,8.961085,5681300
2020-03-23,9.110000,9.190000,7.970000,8.230000,8.176244,4201100
2020-03-24,8.650000,8.700000,8.330000,8.680000,8.623305,2568500
2020-03-25,8.660000,9.230000,8.100000,8.720000,8.663044,5042200
2020-03-26,8.780000,9.400000,8.710000,9.160000,9.100170,3247600
2020-03-27,8.890000,8.890000,8.420000,8.530000,8.474285,2888900
2020-03-30,8.470000,8.930000,8.290000,8.820000,8.762390,4264800
2020-03-31,8.980000,9.330000,8.620000,8.980000,8.921346,4254100
2020-04-01,8.420000,9.070000,8.410000,8.640000,8.583567,3475300
2020-04-02,8.520000,8.860000,7.900000,8.200000,8.146441,4876100
2020-04-03,8.160000,8.310000,8.000000,8.180000,8.126572,3341400
2020-04-06,8.570000,8.990000,8.490000,8.930000,8.871673,3163900
2020-04-07,8.830000,9.550000,8.630000,8.790000,8.732587,5625500
2020-04-08,8.850000,9.030000,8.630000,8.950000,8.891541,3740300
2020-04-09,9.120000,9.610000,9.050000,9.490000,9.428015,5212200
2020-04-13,9.470000,9.470000,9.100000,9.390000,9.328668,2398800
2020-04-14,9.580000,9.600000,9.140000,9.410000,9.348536,2416400
2020-04-15,9.120000,9.120000,8.670000,8.930000,8.871673,2408300
2020-04-16,8.940000,9.100000,8.400000,8.440000,8.384872,2201400
2020-04-17,8.650000,9.040000,8.650000,8.900000,8.841867,2435900
2020-04-20,8.740000,8.920000,8.610000,8.770000,8.712718,1929600
2020-04-21,8.510000,8.570000,8.260000,8.440000,8.384872,2360000
2020-04-22,8.620000,8.670000,8.410000,8.440000,8.384872,1538300
2020-04-23,8.470000,8.870000,8.450000,8.680000,8.623305,1576100
2020-04-24,8.730000,8.910000,8.650000,8.830000,8.772326,3409300
2020-04-27,8.870000,9.540000,8.870000,9.460000,9.398211,2944100
2020-04-28,9.650000,9.950000,9.490000,9.810000,9.745925,3478700
2020-04-29,10.050000,10.520000,10.000000,10.500000,10.431417,3903600
2020-04-30,10.260000,10.590000,9.860000,9.910000,9.845271,2009900
2020-05-01,9.760000,9.780000,9.430000,9.480000,9.418079,2056600
2020-05-04,9.340000,9.690000,9.200000,9.640000,9.577035,2787500
2020-05-05,9.740000,10.000000,9.510000,9.550000,9.487623,2174900
2020-05-06,9.600000,9.810000,9.500000,9.670000,9.606839,1965500
2020-05-07,9.790000,9.940000,9.470000,9.650000,9.586969,2823600
2020-05-08,10.610000,11.060000,10.210000,10.930000,10.858609,3163600
2020-05-11,10.780000,10.880000,10.590000,10.700000,10.630111,2494100
2020-05-12,10.740000,10.990000,10.570000,10.590000,10.520830,2166100
2020-05-13,10.460000,10.630000,10.300000,10.610000,10.540699,3623100
2020-05-14,10.390000,10.800000,10.070000,10.730000,10.659915,3967500
2020-05-15,10.670000,10.900000,10.520000,10.870000,10.799001,2877600
2020-05-18,11.350000,11.540000,11.090000,11.160000,11.087107,2455500
2020-05-19,11.160000,11.410000,11.060000,11.100000,11.027499,1906700
2020-05-20,11.240000,11.510000,11.190000,11.450000,11.375213,1720900
2020-05-21,11.370000,11.470000,11.260000,11.380000,11.305670,1658300
2020-05-22,11.450000,11.580000,11.330000,11.520000,11.444756,1853100
2020-05-26,11.940000,12.010000,11.730000,11.880000,11.802404,2986900
2020-05-27,12.060000,12.090000,11.780000,12.090000,12.011032,3736200
2020-05-28,12.190000,12.210000,11.810000,11.880000,11.802404,2614400
2020-05-29,11.840000,12.290000,11.770000,12.250000,12.169988,4649400
2020-06-01,12.260000,12.460000,12.160000,12.190000,12.110378,2103500
2020-06-02,12.390000,12.390000,12.050000,12.250000,12.169988,3330800
2020-06-03,12.440000,12.930000,12.170000,12.910000,12.825676,4388000
2020-06-04,12.790000,12.990000,12.630000,12.790000,12.706460,5490200
2020-06-05,13.070000,13.320000,12.890000,12.960000,12.875350,3410300
2020-06-08,12.950000,13.380000,12.920000,13.360000,13.272737,2387400
2020-06-09,13.190000,13.260000,12.830000,12.880000,12.795873,1769200
2020-06-10,12.880000,12.880000,12.370000,12.390000,12.309073,2155600
2020-06-11,12.000000,12.040000,11.380000,11.410000,11.335474,2152500
2020-06-12,11.880000,11.930000,11.420000,11.720000,11.643449,1954000
2020-06-15,11.340000,11.900000,11.260000,11.790000,11.712992,2142300
2020-06-16,12.230000,12.290000,11.740000,11.940000,11.862012,2295600
2020-06-17,12.010000,12.370000,11.840000,12.300000,12.219661,4060000
2020-06-18,12.090000,12.210000,11.830000,11.930000,11.852077,2046300
2020-06-19,11.950000,12.210000,11.780000,11.860000,11.782535,4731400
2020-06-22,11.780000,12.030000,11.720000,11.960000,11.881882,1456500
2020-06-23,12.100000,12.210000,12.000000,12.000000,11.921620,1713600
2020-06-24,11.820000,11.940000,11.640000,11.670000,11.593776,1918600
2020-06-25,11.620000,11.870000,11.510000,11.760000,11.683187,2881500
2020-06-26,11.670000,11.730000,11.240000,11.480000,11.405016,2954700
2020-06-29,11.610000,11.710000,11.380000,11.650000,11.573906,1445300
2020-06-30,11.680000,11.900000,11.600000,11.860000,11.782535,2194300
2020-07-01,11.850000,12.210000,11.700000,12.080000,12.001098,2016000
2020-07-02,12.210000,12.330000,12.000000,12.030000,11.951424,1612900
2020-07-06,12.250000,12.460000,12.060000,12.170000,12.090509,1550800
2020-07-07,12.040000,12.160000,11.980000,12.000000,11.921620,1318400
2020-07-08,11.970000,12.000000,11.700000,11.850000,11.772600,1618900
2020-07-09,11.790000,12.130000,11.570000,11.730000,11.653383,2136200
2020-07-10,11.780000,12.000000,11.600000,11.960000,11.881882,1671900
2020-07-13,12.030000,12.220000,11.860000,11.930000,11.852077,1877300
2020-07-14,11.920000,12.440000,11.800000,12.430000,12.348812,2656100
2020-07-15,12.540000,12.710000,12.440000,12.650000,12.567374,2590300
2020-07-16,12.610000,12.870000,12.580000,12.760000,12.676657,1130400
2020-07-17,12.790000,12.890000,12.640000,12.820000,12.736264,1079000
2020-07-20,12.750000,12.820000,12.610000,12.660000,12.577309,986500
2020-07-21,12.700000,12.870000,12.660000,12.750000,12.666721,1205600
2020-07-22,13.050000,13.050000,12.750000,12.850000,12.766068,1610600
2020-07-23,12.890000,13.000000,12.670000,12.720000,12.636918,1409300
2020-07-24,12.810000,12.900000,12.670000,12.710000,12.626983,921800
2020-07-27,12.720000,12.910000,12.650000,12.880000,12.795873,1119400
2020-07-28,12.770000,12.820000,12.570000,12.710000,12.626983,1208400
2020-07-29,12.820000,12.950000,12.760000,12.870000,12.785937,1405200
2020-07-30,12.750000,12.970000,12.630000,12.900000,12.815742,1148000
2020-07-31,12.850000,12.920000,12.600000,12.720000,12.636918,1647700
2020-08-03,12.780000,13.040000,12.670000,13.000000,12.915089,1944900
2020-08-04,12.980000,13.410000,12.640000,13.390000,13.302542,1602300
2020-08-05,13.410000,13.510000,13.190000,13.290000,13.203195,1918100
2020-08-06,13.150000,13.600000,13.020000,13.510000,13.421758,2483000
2020-08-07,13.440000,14.360000,13.340000,14.340000,14.246336,2532300
2020-08-10,14.340000,14.970000,14.340000,14.840000,14.743071,4597900
2020-08-11,14.850000,15.330000,14.820000,14.890000,14.792744,3044600
2020-08-12,15.100000,15.410000,15.050000,15.170000,15.070915,3880000
2020-08-13,15.210000,15.420000,15.160000,15.290000,15.190131,2111100
2020-08-14,15.310000,15.460000,15.200000,15.330000,15.229870,1806100
2020-08-17,15.330000,15.390000,15.030000,15.120000,15.021241,2019600
2020-08-18,14.890000,15.270000,14.830000,15.180000,15.080850,2077500
2020-08-19,15.220000,15.410000,15.200000,15.220000,15.120588,1805700
2020-08-20,15.040000,15.280000,15.010000,15.140000,15.041111,1923700
2020-08-21,15.170000,15.170000,14.570000,14.610000,14.514572,2293100
2020-08-24,14.850000,14.880000,14.740000,14.870000,14.772874,1903400
2020-08-25,14.960000,15.010000,14.820000,14.990000,14.892090,1414900
2020-08-26,15.050000,15.150000,14.880000,15.000000,14.902025,1513500
2020-08-27,15.080000,15.160000,14.900000,15.060000,14.961634,1175600
2020-08-28,15.150000,15.280000,14.950000,15.260000,15.160327,1374800
2020-08-31,15.320000,15.430000,15.110000,15.120000,15.021241,2079900
2020-09-01,15.110000,15.300000,14.960000,15.180000,15.080850,1553100
2020-09-02,15.190000,15.280000,14.990000,15.240000,15.140457,2486300
2020-09-03,15.270000,15.450000,15.050000,15.210000,15.110654,2973200
2020-09-04,15.260000,15.390000,14.660000,14.950000,14.852351,2423100
2020-09-08,14.850000,14.900000,14.620000,14.640000,14.544377,1935100
2020-09-09,14.770000,15.170000,14.690000,15.120000,15.021241,1965300
2020-09-10,15.090000,15.230000,14.830000,14.840000,14.743071,1961100
2020-09-11,14.970000,15.210000,14.880000,15.060000,14.961634,1964400
2020-09-14,15.170000,15.370000,15.140000,15.310000,15.210001,2204200
2020-09-15,15.270000,15.360000,15.190000,15.320000,15.320000,1630500
2020-09-16,15.400000,15.400000,15.080000,15.110000,15.110000,2612400
2020-09-17,14.920000,15.250000,14.860000,15.210000,15.210000,3641700
2020-09-18,14.980000,15.900000,14.900000,15.640000,15.640000,8038400
2020-09-21,15.420000,15.590000,14.370000,14.570000,14.570000,5159000
2020-09-22,14.670000,14.810000,14.470000,14.740000,14.740000,2804000
2020-09-23,14.680000,14.880000,14.160000,14.240000,14.240000,2924100
2020-09-24,14.290000,14.330000,13.960000,14.020000,14.020000,1880200
2020-09-25,13.940000,14.120000,13.840000,14.100000,14.100000,3076600
2020-09-28,14.350000,14.550000,14.170000,14.340000,14.340000,2655400
2020-09-29,14.110000,14.240000,13.780000,13.890000,13.890000,1632300
2020-09-30,13.970000,14.150000,13.900000,14.020000,14.020000,2477700
2020-10-01,14.040000,14.230000,13.970000,14.180000,14.180000,1607700
2020-10-02,14.010000,14.320000,13.890000,14.220000,14.220000,1487900
2020-10-05,14.270000,14.430000,14.140000,14.340000,14.340000,2590200
2020-10-06,14.410000,14.700000,14.130000,14.320000,14.320000,2428400
2020-10-07,14.620000,14.620000,14.230000,14.230000,14.230000,1893400
2020-10-08,14.270000,14.450000,14.040000,14.440000,14.440000,2232500
2020-10-09,14.570000,14.570000,14.220000,14.250000,14.250000,1832300
2020-10-12,14.360000,14.540000,14.130000,14.210000,14.210000,1603800
2020-10-13,14.080000,14.340000,13.910000,14.310000,14.310000,1948000
2020-10-14,14.370000,14.600000,14.130000,14.180000,14.180000,1430600
2020-10-15,14.060000,14.130000,13.800000,13.970000,13.970000,1713000
2020-10-16,14.050000,14.230000,13.920000,14.060000,14.060000,974900
2020-10-19,13.970000,14.100000,13.610000,13.770000,13.770000,1439500
2020-10-20,13.850000,13.980000,13.750000,13.850000,13.850000,1350500
2020-10-21,13.790000,14.010000,13.760000,13.950000,13.950000,1392000
2020-10-22,13.960000,14.090000,13.780000,13.920000,13.920000,1258900
2020-10-23,13.990000,14.540000,13.730000,13.980000,13.980000,1325400
2020-10-26,13.780000,13.870000,13.470000,13.650000,13.650000,1829200
2020-10-27,13.630000,13.740000,13.400000,13.430000,13.430000,1482200
2020-10-28,13.180000,13.290000,12.950000,12.970000,12.970000,2628500
2020-10-29,12.920000,13.250000,12.790000,13.090000,13.090000,1399900
2020-10-30,13.070000,13.180000,12.870000,13.130000,13.130000,1856200
2020-11-02,13.310000,13.440000,13.070000,13.290000,13.290000,1757600
2020-11-03,13.540000,13.660000,13.410000,13.500000,13.500000,1208600
2020-11-04,13.490000,13.710000,13.320000,13.540000,13.540000,1769400
2020-11-05,13.720000,14.120000,13.280000,14.000000,14.000000,1640200
2020-11-06,15.670000,15.910000,14.790000,15.160000,15.160000,2931700
2020-11-09,15.930000,16.490000,15.640000,15.670000,15.670000,4351400
2020-11-10,15.720000,16.370001,15.720000,16.270000,16.270000,4164700
2020-11-11,16.299999,17.209999,16.260000,17.200001,17.200001,5795100
2020-11-12,17.080000,17.180000,16.230000,16.389999,16.389999,2870600
2020-11-13,16.469999,17.030001,16.340000,16.980000,16.980000,2040000
2020-11-16,17.790001,18.150000,17.150000,17.389999,17.389999,2095100
2020-11-17,17.270000,17.840000,17.250000,17.680000,17.680000,2312500
2020-11-18,17.600000,17.959999,17.500000,17.549999,17.549999,1883200
2020-11-19,17.520000,17.700001,17.400000,17.549999,17.549999,1950800
2020-11-20,17.530001,17.600000,17.250000,17.520000,17.520000,1828900
2020-11-23,17.690001,18.000000,17.549999,17.900000,17.900000,1554900
2020-11-24,18.059999,18.270000,17.809999,18.170000,18.170000,2591300
