Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,226.050003,228.000000,220.059998,220.440002,212.120132,1575500
2020-03-12,211.009995,218.589996,201.190002,201.509995,193.904587,2334400
2020-03-13,206.220001,213.449997,202.770004,211.339996,205.402206,2419500
2020-03-16,199.690002,206.000000,186.800003,186.970001,181.716919,2003900
2020-03-17,191.360001,205.789993,190.490005,198.360001,192.786911,1744200
2020-03-18,190.690002,203.399994,187.059998,189.960007,184.622925,2085800
2020-03-19,189.979996,193.580002,184.059998,187.600006,182.329224,1939000
2020-03-20,186.259995,190.000000,169.149994,171.220001,166.409424,2396600
2020-03-23,170.320007,173.179993,155.369995,160.610001,156.097534,2143000
2020-03-24,163.000000,170.440002,159.080002,168.649994,163.911621,1876900
2020-03-25,167.220001,187.080002,165.009995,176.539993,171.579941,1549800
2020-03-26,176.539993,189.339996,174.000000,187.770004,182.494431,1575500
2020-03-27,184.800003,197.949997,183.539993,191.520004,186.139084,1750000
2020-03-30,195.860001,202.990005,190.320007,201.630005,195.965042,1238600
2020-03-31,199.440002,201.669998,192.100006,198.610001,193.029877,1619000
2020-04-01,192.259995,197.110001,190.139999,196.619995,191.095795,1563900
2020-04-02,194.139999,196.169998,184.729996,192.869995,187.451141,2148500
2020-04-03,191.130005,197.000000,190.960007,194.080002,188.627151,991400
2020-04-06,199.789993,204.880005,197.000000,203.729996,198.006012,1296300
2020-04-07,202.410004,212.300003,196.960007,197.259995,191.717804,1234500
2020-04-08,198.309998,201.649994,193.300003,199.070007,193.476959,1363300
2020-04-09,200.559998,209.520004,200.289993,208.589996,202.729477,1613200
2020-04-13,206.889999,207.869995,200.220001,201.429993,195.770645,771500
2020-04-14,205.979996,210.270004,201.729996,204.869995,199.113983,988700
2020-04-15,202.820007,204.470001,192.270004,195.300003,189.812881,1214200
2020-04-16,198.210007,200.000000,193.770004,193.960007,188.510529,1097200
2020-04-17,197.199997,198.139999,194.059998,196.479996,190.959717,859600
2020-04-20,194.750000,196.710007,192.410004,193.320007,187.888504,813500
2020-04-21,190.850006,192.669998,187.729996,190.899994,185.536499,891500
2020-04-22,193.070007,195.100006,191.979996,193.009995,187.587204,766700
2020-04-23,192.190002,193.559998,187.169998,187.500000,182.232040,1055700
2020-04-24,188.039993,189.789993,186.860001,187.229996,181.969604,603000
2020-04-27,188.889999,193.550003,187.580002,192.960007,187.538635,1131600
2020-04-28,194.600006,197.929993,190.660004,191.009995,185.643402,1051100
2020-04-29,193.470001,193.679993,186.679993,186.720001,181.473938,1002900
2020-04-30,185.330002,186.190002,180.470001,185.449997,180.239624,1572900
2020-05-01,180.309998,186.710007,176.000000,184.360001,179.180252,1570100
2020-05-04,184.259995,184.259995,178.649994,181.089996,176.002121,979800
2020-05-05,181.929993,183.449997,178.940002,179.440002,174.398483,1227200
2020-05-06,179.809998,181.020004,175.800003,176.089996,171.142609,720600
2020-05-07,178.000000,184.220001,177.199997,183.509995,178.354126,1256500
2020-05-08,185.759995,191.649994,184.940002,190.339996,184.992218,1126700
2020-05-11,188.820007,190.289993,186.309998,186.929993,181.678040,700500
2020-05-12,186.940002,187.839996,174.820007,178.470001,173.455719,1333900
2020-05-13,177.880005,179.979996,176.139999,176.600006,171.638275,1081500
2020-05-14,175.000000,179.000000,172.110001,179.000000,173.970825,1023400
2020-05-15,176.740005,176.869995,173.160004,175.970001,171.025970,1404400
2020-05-18,179.990005,185.449997,179.679993,183.360001,178.208344,1083400
2020-05-19,182.179993,184.460007,181.520004,183.580002,178.422165,725100
2020-05-20,184.770004,185.410004,181.330002,183.919998,178.752609,949500
2020-05-21,183.130005,184.320007,181.759995,182.770004,177.634918,561000
2020-05-22,184.020004,186.559998,183.000000,186.470001,181.230972,622000
2020-05-26,190.330002,193.210007,188.850006,192.479996,187.072098,1100600
2020-05-27,193.250000,197.729996,193.250000,196.970001,191.435959,885600
2020-05-28,198.539993,201.309998,197.000000,201.190002,195.537384,756900
2020-05-29,200.070007,204.130005,198.149994,202.740005,197.043854,1202900
2020-06-01,202.250000,206.240005,200.679993,204.770004,199.016800,1236800
2020-06-02,207.309998,209.070007,203.600006,207.740005,201.903366,1193400
2020-06-03,208.660004,213.610001,207.500000,207.960007,202.117203,1189600
2020-06-04,206.880005,207.490005,198.929993,200.639999,195.002838,901200
2020-06-05,205.990005,207.660004,203.429993,206.369995,200.571854,1135400
2020-06-08,206.580002,210.940002,205.100006,206.679993,200.873138,1161500
2020-06-09,204.669998,211.679993,202.119995,211.369995,205.431381,901700
2020-06-10,210.350006,211.740005,205.389999,205.470001,199.697128,879000
2020-06-11,201.050003,202.589996,194.589996,195.929993,190.425171,1306500
2020-06-12,198.320007,199.009995,191.589996,196.470001,192.919266,916900
2020-06-15,192.580002,200.429993,191.589996,199.190002,195.590118,1108300
2020-06-16,204.509995,205.250000,197.389999,198.860001,195.266083,875600
2020-06-17,199.309998,200.270004,196.929993,197.759995,194.185944,698600
2020-06-18,196.399994,197.080002,192.750000,196.270004,192.722885,766900
2020-06-19,198.809998,198.809998,190.460007,190.589996,187.145538,3654200
2020-06-22,191.000000,192.119995,187.100006,190.270004,186.831329,976700
2020-06-23,191.770004,192.479996,188.059998,188.240005,184.838013,630900
2020-06-24,187.000000,190.919998,186.360001,189.449997,186.026138,1174000
2020-06-25,189.220001,191.139999,186.929993,191.029999,187.577576,827700
2020-06-26,190.649994,193.289993,188.630005,189.279999,185.859207,1370100
2020-06-29,190.759995,191.729996,189.130005,191.100006,187.646332,772300
2020-06-30,191.289993,193.600006,189.089996,191.889999,188.422043,1064900
2020-07-01,191.669998,200.119995,191.220001,199.160004,195.560669,678500
2020-07-02,201.009995,202.029999,197.529999,199.360001,195.757050,895900
2020-07-06,202.240005,203.589996,195.690002,196.529999,192.978180,871800
2020-07-07,194.669998,196.130005,194.080002,194.460007,190.945602,635000
2020-07-08,194.210007,195.070007,193.029999,193.360001,189.865479,869400
2020-07-09,192.750000,196.309998,192.050003,195.369995,191.839157,555800
2020-07-10,195.399994,196.880005,193.970001,194.429993,190.916122,630400
2020-07-13,194.679993,195.339996,192.600006,192.889999,189.403961,525800
2020-07-14,193.059998,196.919998,192.949997,193.839996,190.336807,588700
2020-07-15,195.630005,195.630005,191.149994,192.800003,189.315598,982400
2020-07-16,192.389999,194.740005,188.279999,188.380005,184.975479,621300
2020-07-17,188.699997,192.979996,187.350006,192.300003,188.824646,837900
2020-07-20,192.300003,192.520004,187.759995,187.789993,184.396133,479500
2020-07-21,189.179993,189.479996,186.710007,186.839996,183.463303,581400
2020-07-22,185.449997,189.199997,184.199997,188.309998,184.906754,698900
2020-07-23,188.899994,190.000000,185.419998,187.020004,183.640060,534200
2020-07-24,187.699997,188.240005,185.059998,185.360001,182.010056,518700
2020-07-27,185.259995,186.699997,183.220001,185.570007,182.216278,472500
2020-07-28,185.960007,193.910004,185.960007,193.869995,190.366257,800500
2020-07-29,194.169998,197.880005,192.669998,196.839996,193.282578,806500
2020-07-30,194.720001,198.320007,193.750000,197.710007,194.136856,1001800
2020-07-31,197.029999,200.000000,193.559998,199.880005,196.267654,1761600
2020-08-03,198.839996,199.000000,195.490005,195.839996,192.300644,658400
2020-08-04,196.559998,202.000000,196.050003,201.380005,197.740540,1018900
2020-08-05,201.779999,201.979996,195.889999,196.970001,193.410233,906500
2020-08-06,192.979996,196.449997,186.229996,196.080002,192.536316,1593700
2020-08-07,194.610001,201.860001,194.610001,199.250000,195.649017,966500
2020-08-10,200.100006,203.800003,199.660004,202.490005,198.830475,645100
2020-08-11,204.179993,204.460007,197.619995,198.990005,195.393738,653500
2020-08-12,199.529999,200.089996,195.259995,198.380005,194.794754,509700
2020-08-13,197.449997,199.779999,196.410004,197.300003,193.734268,554500
