Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,33.060001,33.259998,31.790001,32.540001,32.414928,2506300
2020-03-12,30.440001,31.160000,28.950001,29.610001,29.496191,3349400
2020-03-13,31.080000,32.450001,29.870001,32.450001,32.325272,2854300
2020-03-16,29.120001,30.900000,28.559999,29.150000,29.037956,2383600
2020-03-17,29.650000,31.190001,29.000000,29.860001,29.745230,2810900
2020-03-18,27.980000,28.610001,26.299999,27.160000,27.055605,2774700
2020-03-19,27.040001,29.139999,26.410000,26.980000,26.876297,1952800
2020-03-20,27.420000,27.570000,25.040001,25.129999,25.033409,2708000
2020-03-23,25.080000,25.920000,23.770000,23.799999,23.708521,2913100
2020-03-24,24.799999,27.799999,24.770000,27.600000,27.493916,1803600
2020-03-25,27.610001,31.370001,27.330000,30.410000,30.293114,2697600
2020-03-26,30.850000,32.330002,30.410000,31.490000,31.368963,1978200
2020-03-27,30.170000,30.510000,29.160000,29.840000,29.725306,1906700
2020-03-30,29.860001,30.889999,28.730000,30.510000,30.392729,1217100
2020-03-31,30.430000,32.259998,30.030001,31.730000,31.608040,1867100
2020-04-01,30.280001,30.969999,29.520000,30.790001,30.671654,1676600
2020-04-02,30.760000,32.209999,30.309999,30.820000,30.701538,1893700
2020-04-03,30.860001,31.000000,29.860001,30.559999,30.492004,1428100
2020-04-06,31.680000,33.310001,31.680000,33.130001,33.056290,1177500
2020-04-07,34.009998,34.320000,32.490002,32.580002,32.507511,1373800
2020-04-08,33.049999,34.169998,32.660000,33.799999,33.724792,1100300
2020-04-09,34.180000,34.970001,32.740002,33.549999,33.475349,2087900
2020-04-13,33.430000,33.450001,32.080002,32.320000,32.248089,1292100
2020-04-14,33.180000,34.139999,32.689999,33.700001,33.625019,1485500
2020-04-15,32.560001,33.040001,32.119999,32.549999,32.477577,1407600
2020-04-16,32.529999,32.799999,31.650000,32.650002,32.577358,1727300
2020-04-17,33.400002,34.970001,33.340000,34.910000,34.832329,2188400
2020-04-20,34.000000,34.689999,33.400002,33.639999,33.565151,1831700
2020-04-21,33.450001,34.009998,32.410000,32.439999,32.367821,1583100
2020-04-22,33.290001,33.410000,32.599998,33.090000,33.016376,748300
2020-04-23,33.529999,34.230000,33.240002,33.369999,33.295750,1401200
2020-04-24,33.680000,34.119999,33.340000,33.980000,33.904396,1269300
2020-04-27,34.060001,35.139999,33.849998,34.959999,34.882214,1780100
2020-04-28,35.939999,37.200001,35.869999,37.119999,37.037407,1813400
2020-04-29,38.000000,38.150002,36.439999,36.529999,36.448723,1839600
2020-04-30,36.110001,36.529999,35.599998,36.360001,36.279102,2081600
2020-05-01,35.730000,36.070000,34.540001,34.970001,34.892193,953900
2020-05-04,34.500000,34.750000,33.849998,34.730000,34.652729,969400
2020-05-05,35.230000,35.779999,34.900002,34.970001,34.892193,1096700
2020-05-06,35.080002,35.360001,33.869999,33.910000,33.834553,1049600
2020-05-07,34.389999,35.779999,33.029999,33.209999,33.136108,2025500
2020-05-08,33.660000,34.500000,33.630001,34.360001,34.283550,1381300
2020-05-11,33.990002,34.130001,32.959999,32.970001,32.896645,1533400
2020-05-12,33.090000,33.509998,31.830000,31.910000,31.839001,1361700
2020-05-13,31.559999,31.830000,29.920000,30.330000,30.262516,2306600
2020-05-14,29.700001,30.959999,28.709999,30.910000,30.841225,1642500
2020-05-15,30.570000,31.559999,30.320000,31.340000,31.270269,1192300
2020-05-18,32.740002,33.669998,32.410000,33.389999,33.315708,1341200
2020-05-19,33.169998,33.810001,32.630001,33.000000,32.926575,1195700
2020-05-20,33.619999,33.970001,33.310001,33.540001,33.465378,1324000
2020-05-21,33.500000,34.060001,33.320000,33.849998,33.774685,1400000
2020-05-22,33.820000,34.279999,33.820000,34.250000,34.173798,1034100
2020-05-26,35.389999,36.480000,35.250000,36.279999,36.199276,1142600
2020-05-27,37.169998,37.689999,36.509998,37.279999,37.197052,1684200
2020-05-28,37.950001,37.990002,36.540001,36.610001,36.528545,1146600
2020-05-29,36.160000,37.130001,35.880001,36.930000,36.847832,1344000
2020-06-01,36.980000,38.119999,36.770000,37.930000,37.845608,2369100
2020-06-02,38.360001,39.720001,38.299999,39.599998,39.511890,2925700
2020-06-03,40.000000,40.840000,39.919998,40.389999,40.300133,1881200
2020-06-04,40.090000,41.020000,39.740002,41.020000,40.928730,1587800
2020-06-05,41.990002,42.990002,41.990002,42.389999,42.295681,1957600
2020-06-08,42.770000,43.509998,42.689999,43.310001,43.213638,1286200
2020-06-09,42.400002,42.450001,41.470001,41.529999,41.437599,962300
2020-06-10,41.490002,41.490002,39.619999,39.669998,39.581734,1714800
2020-06-11,38.279999,38.630001,36.730000,36.790001,36.708145,1417900
2020-06-12,38.310001,38.430000,35.980000,37.049999,36.967567,1332900
2020-06-15,35.730000,38.349998,35.360001,38.060001,37.975319,1487900
2020-06-16,39.959999,40.500000,38.500000,38.759998,38.673759,1539400
2020-06-17,39.070000,39.680000,38.740002,38.919998,38.833405,1575100
2020-06-18,38.500000,38.990002,38.290001,38.360001,38.274654,765600
2020-06-19,39.110001,39.279999,38.250000,38.709999,38.623871,2001600
2020-06-22,38.310001,39.330002,37.849998,39.230000,39.142715,1506600
2020-06-23,40.000000,40.830002,39.459999,39.509998,39.422089,1410700
2020-06-24,38.980000,39.169998,37.959999,37.959999,37.875542,1017500
2020-06-25,37.660000,38.980000,37.430000,38.950001,38.863338,1137000
2020-06-26,38.709999,38.830002,38.029999,38.639999,38.554028,1706000
2020-06-29,39.049999,39.360001,38.810001,39.119999,39.032959,872900
2020-06-30,38.990002,39.340000,38.750000,39.230000,39.192806,1176800
2020-07-01,39.380001,39.570000,38.290001,38.340000,38.303650,950000
2020-07-02,39.200001,39.720001,38.790001,38.869999,38.833149,1032100
2020-07-06,39.160000,39.470001,38.770000,39.000000,38.963024,1025000
2020-07-07,38.689999,39.110001,38.290001,38.490002,38.453510,1930700
2020-07-08,38.369999,38.599998,36.619999,37.349998,37.314587,1295800
2020-07-09,37.209999,37.500000,35.889999,36.160000,36.125717,1241100
2020-07-10,35.980000,36.919998,35.980000,36.799999,36.765110,769500
2020-07-13,37.130001,38.150002,36.840000,37.310001,37.274628,889500
2020-07-14,37.169998,38.369999,37.040001,38.330002,38.293663,731600
2020-07-15,38.910000,40.290001,38.730000,40.020000,39.982059,1318400
2020-07-16,40.070000,40.570000,39.500000,40.029999,39.992046,768900
2020-07-17,40.200001,41.020000,40.200001,40.540001,40.501568,1009500
2020-07-20,40.200001,40.759998,40.119999,40.139999,40.101944,1477100
2020-07-21,40.520000,41.049999,40.480000,40.639999,40.601471,745000
2020-07-22,40.349998,41.099998,40.349998,40.919998,40.881203,611300
2020-07-23,40.790001,41.610001,40.759998,41.119999,41.081013,815300
2020-07-24,41.340000,41.340000,40.540001,40.680000,40.641434,607200
2020-07-27,40.560001,41.150002,40.070000,41.080002,41.041054,729600
2020-07-28,41.040001,41.110001,39.950001,39.970001,39.932106,1006000
2020-07-29,40.160000,41.250000,40.110001,41.150002,41.110989,870900
2020-07-30,40.590000,40.599998,39.919998,40.119999,40.081963,640200
2020-07-31,39.970001,40.320000,39.200001,39.970001,39.932106,884300
