Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,28.160000,28.330000,26.379999,26.709999,26.385906,2416700
2020-03-12,25.320000,26.709999,24.350000,24.580000,24.281754,1965300
2020-03-13,25.889999,26.389999,24.129999,25.500000,25.190590,2942800
2020-03-16,22.580000,23.910000,20.889999,20.920000,20.666162,1572400
2020-03-17,21.600000,21.940001,19.170000,19.990000,19.747448,2395700
2020-03-18,18.719999,20.020000,17.150000,17.549999,17.337051,2560700
2020-03-19,17.490000,22.040001,17.059999,22.000000,21.733057,3202700
2020-03-20,22.000000,25.180000,21.290001,24.020000,23.728548,5227200
2020-03-23,23.059999,23.980000,21.139999,22.129999,21.861479,2206900
2020-03-24,23.440001,24.260000,21.520000,22.110001,21.841724,1600000
2020-03-25,22.070000,24.770000,21.750000,24.020000,23.728548,1527400
2020-03-26,24.360001,26.260000,24.110001,26.100000,25.783310,1587900
2020-03-27,25.200001,25.410000,23.520000,24.719999,24.420053,1707800
2020-03-30,24.740000,25.980000,24.100000,25.730000,25.417799,1286800
2020-03-31,25.430000,25.850000,24.450001,24.709999,24.410175,1658700
2020-04-01,23.730000,24.889999,23.059999,24.520000,24.222481,3402700
2020-04-02,24.480000,25.629999,23.730000,24.350000,24.054544,1878200
2020-04-03,24.580000,24.969999,24.040001,24.350000,24.054544,1702900
2020-04-06,25.889999,26.760000,25.280001,25.879999,25.565979,1838800
2020-04-07,27.170000,27.969999,26.340000,27.070000,26.741541,2017600
2020-04-08,27.160000,28.790001,26.950001,28.590000,28.243097,1032200
2020-04-09,29.020000,31.430000,29.020000,30.799999,30.426279,2235900
2020-04-13,30.200001,30.639999,28.379999,29.469999,29.112419,1705700
2020-04-14,29.650000,29.990000,29.120001,29.590000,29.230963,1690200
2020-04-15,28.469999,28.850000,28.040001,28.270000,27.926979,1361200
2020-04-16,28.469999,28.469999,27.320000,27.820000,27.482441,1538500
2020-04-17,28.490000,29.540001,28.490000,29.500000,29.142054,918300
2020-04-20,28.889999,29.150000,28.280001,28.639999,28.292490,1031000
2020-04-21,27.760000,28.370001,27.760000,28.180000,27.838072,1353600
2020-04-22,28.740000,29.049999,28.020000,28.230000,27.887466,891700
2020-04-23,28.320000,28.790001,28.000000,28.180000,27.838072,1463100
2020-04-24,28.520000,28.750000,28.100000,28.490000,28.144308,1925900
2020-04-27,27.320000,28.639999,27.309999,28.209999,27.867706,3667400
2020-04-28,29.000000,29.799999,28.709999,29.670000,29.309994,2252100
2020-04-29,30.000000,31.820000,29.620001,29.650000,29.290234,2320600
2020-04-30,29.350000,29.450001,28.540001,28.590000,28.243097,1689500
2020-05-01,28.290001,28.320000,27.660000,28.219999,27.877586,2447000
2020-05-04,27.910000,27.910000,26.870001,27.209999,26.879841,1821000
2020-05-05,29.260000,29.889999,28.559999,29.219999,28.865452,1994200
2020-05-06,29.320000,29.530001,27.400000,27.469999,27.136686,1473200
2020-05-07,27.750000,29.040001,27.750000,28.530001,28.183825,1370200
2020-05-08,29.020000,29.830000,28.910000,29.639999,29.280355,752400
2020-05-11,29.290001,29.570000,28.370001,29.350000,28.993877,1393300
2020-05-12,29.450001,29.809999,29.330000,29.350000,28.993877,2020900
2020-05-13,29.170000,29.320000,27.790001,28.209999,27.867706,1574500
2020-05-14,27.889999,29.430000,27.049999,29.370001,29.013632,1315400
2020-05-15,29.200001,29.500000,28.549999,28.760000,28.411034,1483100
2020-05-18,29.620001,30.940001,29.620001,30.450001,30.080530,1276800
2020-05-19,30.280001,30.760000,29.760000,29.940001,29.576717,797200
2020-05-20,30.330000,30.860001,29.900000,30.030001,29.665625,938300
2020-05-21,30.200001,30.510000,29.930000,30.000000,29.635990,725600
2020-05-22,30.010000,30.120001,29.500000,29.799999,29.438416,467000
2020-05-26,30.959999,32.090000,30.540001,31.870001,31.483299,1006100
2020-05-27,32.450001,33.130001,32.380001,32.820000,32.421768,1081000
2020-05-28,33.490002,33.490002,32.090000,32.160000,31.769779,718800
2020-05-29,31.990000,32.200001,31.180000,32.099998,31.710506,1394100
2020-06-01,32.189999,32.590000,32.070000,32.430000,32.036503,795300
2020-06-02,32.669998,32.840000,32.290001,32.450001,32.056259,849600
2020-06-03,32.889999,33.970001,32.720001,33.619999,33.212063,902000
2020-06-04,33.290001,33.849998,33.070000,33.840000,33.589249,754900
2020-06-05,34.860001,36.070000,34.860001,35.130001,34.869690,1164000
2020-06-08,35.299999,36.150002,34.540001,34.930000,34.671173,1773600
2020-06-09,34.430000,34.540001,33.560001,33.779999,33.529694,640100
2020-06-10,33.669998,33.669998,31.940001,32.320000,32.080513,998400
2020-06-11,31.230000,31.379999,30.059999,30.200001,29.976221,2362600
2020-06-12,31.410000,31.639999,29.830000,30.580000,30.353405,903900
2020-06-15,29.750000,31.120001,29.360001,30.940001,30.710739,1356500
