Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,42.490002,43.220001,40.419998,40.939999,40.939999,2655300
2020-03-12,38.549999,39.240002,36.320000,38.400002,38.400002,3960000
2020-03-13,40.450001,42.580002,37.849998,42.560001,42.560001,4338300
2020-03-16,37.500000,44.220001,37.439999,41.849998,41.849998,3976300
2020-03-17,42.369999,44.380001,41.130001,43.990002,43.990002,4529600
2020-03-18,41.590000,45.389999,38.509998,40.450001,40.450001,4106800
2020-03-19,39.990002,42.080002,37.340000,38.509998,38.509998,2754200
2020-03-20,38.730000,41.200001,36.570000,36.939999,36.939999,4171300
2020-03-23,36.650002,37.270000,34.009998,34.560001,34.560001,3005600
2020-03-24,36.330002,39.049999,36.000000,37.470001,37.470001,3067600
2020-03-25,37.130001,39.279999,36.950001,37.540001,37.540001,3072100
2020-03-26,37.810001,38.900002,37.349998,38.619999,38.619999,2907600
2020-03-27,37.230000,38.840000,35.410000,38.060001,38.060001,3070400
2020-03-30,38.160000,40.730000,37.070000,40.299999,40.299999,2211200
2020-03-31,39.900002,40.700001,38.650002,39.009998,39.009998,2228900
2020-04-01,37.029999,38.369999,36.720001,37.849998,37.849998,1565200
2020-04-02,37.470001,40.220001,37.049999,40.000000,40.000000,2559400
2020-04-03,39.799999,41.540001,39.779999,41.009998,41.009998,1847000
2020-04-06,42.410000,43.230000,41.139999,42.900002,42.900002,2000100
2020-04-07,44.669998,45.230000,43.450001,43.529999,43.529999,2121200
2020-04-08,43.740002,46.060001,43.560001,45.619999,45.619999,1708700
2020-04-09,45.869999,48.240002,45.709999,47.400002,47.400002,2077600
2020-04-13,47.240002,47.500000,44.070000,45.020000,45.020000,1689600
2020-04-14,45.660000,47.279999,45.430000,46.570000,46.570000,1816400
2020-04-15,45.509998,45.759998,43.450001,44.599998,44.599998,1579800
2020-04-16,44.820000,44.820000,42.410000,43.169998,43.169998,2695700
2020-04-17,44.139999,44.759998,43.509998,44.380001,44.380001,2335200
2020-04-20,43.500000,44.590000,43.220001,43.490002,43.490002,1630800
2020-04-21,42.509998,42.779999,41.730000,42.099998,42.099998,1830600
2020-04-22,42.900002,42.900002,41.849998,42.099998,42.099998,1453900
2020-04-23,42.209999,43.259998,41.799999,41.869999,41.869999,1500700
2020-04-24,42.070000,43.220001,41.880001,43.029999,43.029999,1354800
2020-04-27,43.209999,44.840000,42.970001,44.590000,44.590000,1647400
2020-04-28,46.130001,46.270000,44.939999,45.439999,45.439999,2673600
2020-04-29,46.240002,47.240002,45.919998,46.169998,46.169998,3032700
2020-04-30,41.869999,42.820000,40.549999,41.009998,41.009998,5459100
2020-05-01,40.310001,40.470001,38.830002,38.919998,38.919998,2659900
2020-05-04,38.500000,38.799999,37.279999,38.189999,38.189999,2930700
2020-05-05,38.430000,38.599998,37.439999,37.439999,37.439999,1993000
2020-05-06,37.880001,38.290001,37.150002,37.680000,37.680000,2020500
2020-05-07,38.139999,38.630001,37.150002,37.599998,37.599998,2050200
2020-05-08,38.369999,39.060001,37.959999,38.889999,38.889999,1594100
2020-05-11,38.599998,39.020000,38.209999,38.540001,38.540001,1883500
2020-05-12,38.590000,38.779999,37.689999,37.689999,37.689999,2103300
2020-05-13,37.340000,37.419998,35.750000,36.220001,36.220001,2382900
2020-05-14,35.560001,36.500000,34.630001,36.290001,36.290001,2442500
2020-05-15,36.310001,36.959999,35.950001,36.349998,36.349998,1955300
2020-05-18,37.389999,38.820000,37.389999,38.549999,38.549999,1873600
2020-05-19,38.500000,38.639999,37.520000,37.830002,37.830002,1478800
2020-05-20,38.279999,38.570000,37.720001,37.889999,37.889999,1692100
2020-05-21,37.639999,37.880001,36.700001,36.790001,36.790001,5581700
2020-05-22,36.540001,37.130001,36.119999,36.830002,36.830002,2851300
2020-05-26,37.340000,37.740002,36.369999,36.730000,36.730000,5742300
2020-05-27,37.630001,39.799999,37.310001,39.740002,39.740002,4859500
2020-05-28,40.349998,40.450001,38.270000,38.349998,38.349998,2894800
2020-05-29,37.599998,38.040001,37.110001,37.959999,37.959999,3545200
2020-06-01,38.150002,38.400002,37.730000,37.970001,37.970001,1907800
