Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,304.820007,311.209991,295.299988,299.829987,299.829987,283300
2020-03-12,280.679993,280.679993,260.190002,274.250000,274.250000,457000
2020-03-13,290.470001,292.609985,264.570007,292.339996,292.339996,260300
2020-03-16,288.709991,288.709991,250.210007,254.869995,254.869995,349000
2020-03-17,257.579987,267.329987,243.669998,260.890015,260.890015,456700
2020-03-18,239.809998,242.779999,195.339996,201.179993,201.179993,325000
2020-03-19,199.160004,228.259995,196.000000,226.240005,226.240005,344200
2020-03-20,226.720001,247.229996,226.500000,233.660004,233.660004,1138100
2020-03-23,231.080002,237.960007,222.759995,234.399994,234.399994,389800
2020-03-24,246.559998,266.730011,246.559998,265.619995,265.619995,451800
2020-03-25,269.450012,301.309998,266.980011,286.790009,286.790009,474700
2020-03-26,292.230011,305.529999,290.059998,305.529999,305.529999,353500
2020-03-27,293.540009,297.640015,279.329987,282.230011,282.230011,335200
2020-03-30,282.450012,296.190002,278.970001,295.380005,295.380005,218300
2020-03-31,293.220001,301.369995,293.220001,297.269989,297.269989,389600
2020-04-01,285.019989,292.029999,273.390015,277.109985,277.109985,298400
2020-04-02,273.540009,293.649994,270.100006,292.470001,292.470001,249700
2020-04-03,290.109985,296.239990,285.739990,288.730011,288.730011,346400
2020-04-06,303.000000,311.940002,300.130005,308.390015,308.390015,261100
2020-04-07,320.739990,333.160004,314.570007,315.119995,315.119995,296300
2020-04-08,320.350006,332.260010,319.149994,329.809998,329.809998,224700
2020-04-09,338.429993,342.940002,322.910004,327.920013,327.920013,267600
2020-04-13,326.799988,326.799988,311.869995,319.079987,319.079987,155200
2020-04-14,327.989990,328.690002,320.239990,324.429993,324.429993,282400
2020-04-15,315.790009,317.750000,307.200012,313.250000,313.250000,246900
2020-04-16,314.109985,314.109985,302.420013,305.769989,305.769989,383300
2020-04-17,316.859985,321.019989,313.220001,318.079987,318.079987,536600
2020-04-20,311.040009,323.059998,308.829987,317.690002,317.690002,246300
2020-04-21,311.529999,313.649994,302.450012,304.799988,304.799988,156700
2020-04-22,312.619995,322.920013,310.720001,311.170013,311.170013,282300
