Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,10.030000,10.265000,9.870000,9.990000,9.990000,5597800
2020-03-12,9.230000,9.510000,8.670000,8.750000,8.750000,6572800
2020-03-13,9.150000,9.490000,8.770000,9.480000,9.480000,3825200
2020-03-16,8.280000,9.360000,8.130000,8.330000,8.330000,4276500
2020-03-17,8.580000,9.080000,8.070000,8.960000,8.960000,6926600
2020-03-18,8.390000,8.790000,7.250000,7.390000,7.390000,6420300
2020-03-19,7.290000,8.165000,6.800000,8.010000,8.010000,4965000
2020-03-20,8.010000,8.425000,7.148000,7.230000,7.230000,11032400
2020-03-23,7.150000,7.500000,6.790000,7.140000,7.140000,3339100
2020-03-24,7.460000,8.060000,7.460000,8.010000,8.010000,6613300
2020-03-25,8.180000,8.740000,7.585000,8.240000,8.240000,7212100
2020-03-26,8.320000,8.960000,8.080000,8.760000,8.760000,5614400
2020-03-27,8.400000,8.580000,8.070000,8.320000,8.320000,3230100
2020-03-30,8.250000,8.490000,7.920000,8.410000,8.410000,3147800
2020-03-31,8.360000,8.640000,7.955000,8.060000,8.060000,3075700
2020-04-01,7.660000,7.810000,7.200000,7.450000,7.450000,3456800
2020-04-02,7.320000,7.570000,6.600000,6.890000,6.890000,5159900
2020-04-03,6.850000,7.500000,6.600000,7.480000,7.480000,4134700
2020-04-06,7.920000,8.240000,7.720000,8.000000,8.000000,3686300
2020-04-07,8.620000,8.840000,8.190000,8.390000,8.390000,4331600
2020-04-08,8.550000,8.980000,8.480000,8.640000,8.640000,3001700
2020-04-09,8.970000,9.550000,8.920000,9.350000,9.350000,3784400
2020-04-13,9.290000,9.350000,8.600000,8.730000,8.730000,2989900
2020-04-14,9.080000,9.190000,8.758000,8.970000,8.970000,2368000
2020-04-15,8.460000,8.770000,8.250000,8.650000,8.650000,3092000
2020-04-16,8.660000,8.660000,8.230000,8.360000,8.360000,2445800
2020-04-17,8.710000,9.045000,8.700000,8.890000,8.890000,3180100
2020-04-20,8.590000,9.060000,8.570000,8.640000,8.640000,2782700
2020-04-21,8.420000,8.850000,8.300000,8.520000,8.520000,1970300
2020-04-22,8.730000,8.920000,8.560000,8.560000,8.560000,1580800
2020-04-23,8.580000,8.980000,8.580000,8.740000,8.740000,1832700
2020-04-24,8.840000,9.185000,8.840000,8.970000,8.970000,3288800
2020-04-27,9.030000,9.500000,8.880000,9.350000,9.350000,2528500
2020-04-28,9.730000,9.940000,9.445000,9.640000,9.640000,3862000
2020-04-29,9.800000,10.170000,9.730000,9.790000,9.790000,3524600
2020-04-30,9.100000,9.710000,9.000000,9.270000,9.270000,4106200
2020-05-01,9.020000,9.055000,8.610000,8.760000,8.760000,3699100
2020-05-04,8.550000,8.850000,8.350000,8.710000,8.710000,2886900
2020-05-05,8.960000,8.960000,8.420000,8.460000,8.460000,3518100
2020-05-06,8.500000,8.620000,8.090000,8.230000,8.230000,3080900
2020-05-07,8.360000,8.830000,8.358000,8.610000,8.610000,3902300
2020-05-08,8.860000,8.950000,8.640000,8.940000,8.940000,6501100
2020-05-11,8.430000,8.490000,7.830000,8.000000,8.000000,11773600
2020-05-12,8.100000,8.290000,7.600000,7.680000,7.680000,8642800
2020-05-13,7.590000,7.590000,6.900000,6.930000,6.930000,8846200
2020-05-14,6.820000,7.020000,6.370000,6.910000,6.910000,5722000
2020-05-15,6.710000,6.960000,6.580000,6.910000,6.910000,5687600
2020-05-18,7.400000,7.550000,7.250000,7.300000,7.300000,8766700
2020-05-19,7.320000,7.390000,6.950000,7.080000,7.080000,7356700
2020-05-20,7.230000,7.600000,7.120000,7.470000,7.470000,5742900
2020-05-21,6.930000,7.970000,6.910000,7.700000,7.700000,26844600
2020-05-22,7.700000,7.700000,7.320000,7.380000,7.380000,21484300
2020-05-26,7.690000,7.920000,7.550000,7.860000,7.860000,20873900
2020-05-27,8.180000,8.520000,7.930000,8.510000,8.510000,14106400
2020-05-28,8.850000,8.853000,8.050000,8.120000,8.120000,11715400
2020-05-29,8.000000,8.195000,7.800000,7.860000,7.860000,16378200
2020-06-01,7.880000,8.360000,7.810000,8.260000,8.260000,13434600
2020-06-02,8.390000,8.610000,8.300000,8.410000,8.410000,9771800
2020-06-03,8.650000,9.260000,8.650000,9.190000,9.190000,12833700
2020-06-04,9.150000,9.460000,8.910000,9.300000,9.300000,10693200
2020-06-05,10.120000,10.300000,9.760000,9.840000,9.840000,10865500
2020-06-08,10.440000,10.540000,10.040000,10.220000,10.220000,9732100
2020-06-09,9.970000,10.005000,9.560000,9.710000,9.710000,7927700
