Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,102.339996,104.209999,98.379997,99.720001,99.720001,2691200
2020-03-12,91.019997,94.050003,83.000000,83.230003,83.230003,3399200
2020-03-13,90.199997,91.559998,83.010002,91.010002,91.010002,2487300
2020-03-16,78.000000,90.389999,76.089996,83.230003,83.230003,2732400
2020-03-17,85.099998,86.029999,74.620003,81.430000,81.430000,2620100
2020-03-18,73.940002,75.540001,58.849998,69.589996,69.589996,3458200
2020-03-19,67.809998,79.400002,63.580002,77.709999,77.709999,2863700
2020-03-20,79.529999,82.040001,69.970001,70.099998,70.099998,2519700
2020-03-23,69.160004,72.540001,63.770000,70.889999,70.889999,2183200
2020-03-24,77.519997,89.680000,77.330002,86.610001,86.610001,2780300
2020-03-25,89.320000,101.180000,82.540001,93.190002,93.190002,2442700
2020-03-26,95.129997,101.260002,90.290001,99.180000,99.180000,2516100
2020-03-27,92.099998,92.989998,86.449997,90.150002,90.150002,2617400
2020-03-30,88.430000,95.489998,86.000000,95.160004,95.160004,2248800
2020-03-31,95.120003,105.739998,94.639999,102.900002,102.900002,3265600
2020-04-01,96.940002,100.430000,92.139999,95.980003,95.980003,2112000
2020-04-02,95.339996,103.500000,93.250000,96.160004,96.160004,2132800
2020-04-03,92.330002,93.760002,86.690002,91.070000,91.070000,2359000
2020-04-06,97.080002,104.250000,97.000000,103.180000,103.180000,2261300
2020-04-07,111.019997,111.989998,104.010002,107.930000,107.930000,2471500
2020-04-08,109.080002,114.940002,107.309998,111.639999,111.639999,1520300
2020-04-09,113.120003,114.839996,103.650002,107.709999,107.709999,2607900
2020-04-13,103.370003,104.900002,100.129997,103.760002,103.760002,1531100
2020-04-14,107.000000,109.820000,105.150002,108.639999,108.639999,1340200
2020-04-15,103.559998,104.959999,100.199997,103.790001,103.790001,1652500
2020-04-16,103.370003,103.970001,94.800003,98.550003,98.550003,2726000
2020-04-17,102.180000,106.199997,100.510002,105.050003,105.050003,2060800
2020-04-20,101.889999,104.900002,98.320000,100.599998,100.599998,1951300
2020-04-21,97.160004,99.250000,96.180000,97.669998,97.669998,1228800
2020-04-22,101.779999,101.790001,99.050003,100.620003,100.620003,1170900
2020-04-23,102.199997,105.050003,100.220001,103.730003,103.730003,1417000
2020-04-24,105.419998,107.300003,102.239998,106.050003,106.050003,960100
2020-04-27,105.540001,111.980003,105.019997,111.029999,111.029999,1483500
2020-04-28,115.730003,118.790001,112.790001,116.550003,116.550003,2028500
2020-04-29,121.110001,128.410004,120.029999,127.980003,127.980003,2312800
2020-04-30,126.220001,130.990005,120.500000,128.500000,128.500000,2690600
2020-05-01,125.550003,125.930000,118.349998,119.279999,119.279999,1934800
2020-05-04,116.139999,117.610001,112.010002,116.750000,116.750000,1291000
2020-05-05,119.410004,122.349998,113.629997,113.870003,113.870003,1189500
2020-05-06,114.330002,116.339996,110.709999,110.809998,110.809998,878900
2020-05-07,112.860001,115.750000,111.629997,112.730003,112.730003,1039200
2020-05-08,115.160004,119.779999,113.500000,119.580002,119.580002,900600
2020-05-11,117.080002,119.029999,114.800003,116.519997,116.519997,900500
2020-05-12,117.120003,117.300003,110.080002,110.180000,110.180000,997500
2020-05-13,109.949997,111.150002,106.500000,108.769997,108.769997,1166200
2020-05-14,107.300003,116.239998,105.260002,116.059998,116.059998,1728200
2020-05-15,114.510002,118.949997,113.330002,118.570000,118.570000,1468800
2020-05-18,126.300003,133.009995,125.120003,129.330002,129.330002,2404100
2020-05-19,128.009995,129.460007,124.589996,124.750000,124.750000,1151300
2020-05-20,128.460007,129.580002,126.050003,128.020004,128.020004,1217300
2020-05-21,128.419998,129.889999,126.250000,127.720001,127.720001,672500
2020-05-22,127.760002,131.610001,126.570000,130.559998,130.559998,914600
2020-05-26,135.500000,140.399994,135.250000,137.169998,137.169998,1634400
2020-05-27,141.630005,143.699997,137.259995,140.479996,140.479996,2192700
2020-05-28,142.110001,142.110001,136.520004,137.619995,137.619995,1330000
2020-05-29,135.369995,141.300003,134.389999,138.889999,138.889999,1564400
2020-06-01,138.949997,141.910004,137.300003,139.960007,139.960007,763600
2020-06-02,142.000000,144.279999,141.149994,143.130005,143.130005,1062200
2020-06-03,145.350006,150.869995,145.300003,149.789993,149.789993,1228100
2020-06-04,148.940002,153.949997,147.059998,151.380005,151.380005,1509300
2020-06-05,160.039993,165.869995,159.320007,161.360001,161.360001,3124100
2020-06-08,162.660004,165.800003,156.429993,158.279999,158.279999,1931400
2020-06-09,154.410004,161.600006,152.500000,158.250000,158.250000,1435500
2020-06-10,158.220001,158.910004,153.600006,155.600006,155.600006,1502700
2020-06-11,144.139999,148.000000,141.789993,142.050003,142.050003,2002100
2020-06-12,149.250000,149.440002,139.369995,143.490005,143.490005,1315400
2020-06-15,136.850006,147.800003,136.509995,147.039993,147.039993,1110200
2020-06-16,157.500000,161.059998,154.679993,158.289993,158.289993,2592100
2020-06-17,157.839996,158.039993,154.679993,155.559998,155.559998,1250400
2020-06-18,154.800003,156.589996,152.759995,153.809998,153.809998,1407800
2020-06-19,157.600006,158.470001,152.399994,155.509995,155.509995,1981400
2020-06-22,154.460007,157.529999,152.740005,157.110001,157.110001,1235800
2020-06-23,158.020004,158.679993,153.940002,153.979996,153.979996,1146600
2020-06-24,152.259995,152.279999,142.270004,142.429993,142.429993,2151600
2020-06-25,141.279999,144.979996,139.100006,144.339996,144.339996,1348000
2020-06-26,143.300003,144.020004,139.949997,140.399994,140.399994,2392500
2020-06-29,143.110001,148.360001,141.830002,147.720001,147.720001,1164200
2020-06-30,147.070007,149.720001,146.320007,149.039993,149.039993,867000
2020-07-01,150.000000,151.669998,145.399994,145.800003,145.800003,950900
2020-07-02,149.309998,152.880005,147.080002,147.910004,147.910004,1019300
2020-07-06,150.839996,152.250000,149.500000,150.740005,150.740005,769600
2020-07-07,149.119995,151.960007,147.500000,147.570007,147.570007,935300
2020-07-08,147.320007,149.360001,145.100006,148.649994,148.649994,769800
2020-07-09,149.029999,149.869995,142.009995,143.660004,143.660004,848000
2020-07-10,143.960007,148.929993,143.710007,147.830002,147.830002,921400
2020-07-13,151.130005,155.389999,149.160004,152.199997,152.199997,1256500
2020-07-14,151.160004,157.720001,149.639999,157.149994,157.149994,953200
2020-07-15,160.289993,161.949997,157.460007,160.800003,160.800003,987400
2020-07-16,160.080002,162.589996,157.639999,158.440002,158.440002,785700
2020-07-17,159.460007,160.479996,157.750000,159.080002,159.080002,608700
2020-07-20,158.000000,159.500000,156.490005,157.240005,157.240005,517400
2020-07-21,159.149994,163.080002,158.889999,160.300003,160.300003,824600
2020-07-22,158.880005,163.199997,158.880005,162.750000,162.750000,832000
2020-07-23,162.830002,165.850006,161.580002,163.490005,163.490005,763400
2020-07-24,163.610001,164.440002,160.800003,160.880005,160.880005,632400
2020-07-27,160.070007,163.899994,159.240005,163.289993,163.289993,865400
2020-07-28,161.240005,162.289993,157.699997,158.330002,158.330002,760000
2020-07-29,158.690002,163.589996,158.479996,163.419998,163.419998,1060800
2020-07-30,161.360001,161.789993,153.759995,156.910004,156.910004,1861300
2020-07-31,157.350006,157.350006,151.410004,155.369995,155.369995,1198400
2020-08-03,156.699997,159.979996,155.399994,159.630005,159.630005,770300
2020-08-04,159.149994,162.360001,158.809998,160.839996,160.839996,714300
2020-08-05,162.500000,169.940002,161.539993,169.559998,169.559998,1119800
2020-08-06,169.220001,169.869995,167.229996,168.649994,168.649994,657900
2020-08-07,167.740005,174.110001,167.639999,173.589996,173.589996,875400
2020-08-10,174.149994,184.210007,174.149994,181.259995,181.259995,1279500
2020-08-11,183.320007,186.779999,174.860001,175.619995,175.619995,1644300
2020-08-12,178.029999,180.509995,176.190002,178.600006,178.600006,588600
2020-08-13,178.130005,181.929993,177.630005,178.369995,178.369995,676200
2020-08-14,177.789993,181.750000,176.910004,179.330002,179.330002,677900
2020-08-17,179.210007,181.330002,178.729996,179.080002,179.080002,497800
2020-08-18,179.020004,179.449997,176.220001,176.559998,176.559998,483300
2020-08-19,176.229996,177.979996,174.919998,175.429993,175.429993,804400
2020-08-20,172.639999,175.699997,172.089996,174.550003,174.550003,584900
2020-08-21,174.850006,176.149994,173.690002,175.059998,175.059998,464800
2020-08-24,177.380005,180.350006,175.419998,176.970001,176.970001,1076700
2020-08-25,178.070007,179.910004,174.949997,176.820007,176.820007,421400
2020-08-26,175.679993,178.690002,174.009995,177.589996,177.589996,608600
2020-08-27,178.000000,180.000000,177.279999,179.020004,179.020004,518200
2020-08-28,179.490005,182.789993,178.889999,182.529999,182.529999,516900
2020-08-31,181.850006,182.470001,176.970001,177.050003,177.050003,695300
2020-09-01,176.020004,183.210007,175.289993,182.539993,182.539993,935900
2020-09-02,182.490005,185.289993,177.750000,184.580002,184.580002,788800
2020-09-03,183.000000,183.610001,171.660004,174.389999,174.389999,1006700
2020-09-04,177.690002,179.289993,170.669998,176.429993,176.429993,966500
2020-09-08,171.610001,176.309998,168.500000,172.369995,172.369995,912200
2020-09-09,174.889999,177.410004,173.899994,175.889999,175.889999,797400
2020-09-10,176.899994,177.139999,171.399994,171.960007,171.960007,808100
2020-09-11,173.460007,175.350006,172.220001,174.630005,174.630005,445300
2020-09-14,177.490005,178.300003,174.910004,176.580002,176.580002,432200
2020-09-15,177.919998,178.970001,175.270004,176.559998,176.559998,623800
2020-09-16,177.190002,183.100006,175.429993,181.550003,181.550003,807700
2020-09-17,178.279999,184.000000,175.889999,180.779999,180.779999,859100
2020-09-18,180.059998,181.440002,173.589996,176.199997,176.199997,1305100
2020-09-21,171.199997,172.050003,164.289993,167.479996,167.479996,746400
2020-09-22,167.699997,168.750000,165.320007,167.970001,167.970001,586100
2020-09-23,168.320007,170.990005,161.750000,161.979996,161.979996,828400
2020-09-24,161.250000,168.029999,159.009995,166.630005,166.630005,1068200
2020-09-25,164.910004,169.690002,164.309998,168.139999,168.139999,545200
2020-09-28,172.130005,178.639999,170.990005,175.729996,175.729996,782700
2020-09-29,174.889999,176.619995,171.500000,174.210007,174.210007,599700
2020-09-30,175.559998,179.449997,171.750000,174.500000,174.500000,800900
2020-10-01,176.580002,176.580002,171.880005,175.350006,175.350006,911500
2020-10-02,171.750000,186.240005,171.750000,185.020004,185.020004,1159000
2020-10-05,187.199997,198.619995,186.600006,197.699997,197.699997,1539700
2020-10-06,197.970001,200.649994,193.470001,193.869995,193.869995,1171200
2020-10-07,197.820007,201.509995,196.080002,198.960007,198.960007,770500
2020-10-08,201.000000,202.000000,197.039993,199.490005,199.490005,609000
2020-10-09,201.149994,203.570007,195.929993,196.940002,196.940002,819200
2020-10-12,197.539993,200.360001,194.179993,199.100006,199.100006,665400
2020-10-13,196.649994,197.259995,192.119995,194.270004,194.270004,780400
2020-10-14,196.160004,197.000000,187.789993,188.130005,188.130005,1045200
2020-10-15,186.589996,189.500000,185.429993,188.429993,188.429993,783800
2020-10-16,189.710007,196.050003,188.570007,192.940002,192.940002,806400
2020-10-19,191.009995,194.800003,186.660004,187.440002,187.440002,668500
2020-10-20,189.600006,192.490005,188.770004,189.320007,189.320007,576600
2020-10-21,188.440002,190.949997,185.570007,186.869995,186.869995,552000
2020-10-22,186.539993,189.279999,184.020004,185.399994,185.399994,686500
2020-10-23,187.919998,189.089996,184.089996,188.240005,188.240005,519100
2020-10-26,184.630005,185.289993,179.410004,182.119995,182.119995,551300
2020-10-27,182.449997,182.449997,174.750000,174.809998,174.809998,1014800
2020-10-28,169.000000,172.839996,167.250000,170.729996,170.729996,1153800
2020-10-29,175.490005,176.979996,169.270004,173.220001,173.220001,1151500
2020-10-30,171.910004,179.380005,170.139999,178.289993,178.289993,1234400
2020-11-02,181.000000,192.960007,180.570007,192.669998,192.669998,1327400
2020-11-03,197.000000,202.940002,195.190002,201.449997,201.449997,1425700
2020-11-04,188.050003,190.000000,178.850006,179.190002,179.190002,2760200
2020-11-05,185.000000,191.990005,183.009995,188.470001,188.470001,1404300
2020-11-06,188.470001,194.850006,187.979996,191.460007,191.460007,801300
2020-11-09,205.020004,213.000000,202.350006,205.820007,205.820007,1330500
2020-11-10,205.080002,212.800003,205.080002,209.270004,209.270004,801900
2020-11-11,209.970001,210.229996,203.470001,207.250000,207.250000,477000
2020-11-12,204.559998,205.270004,198.740005,201.919998,201.919998,567900
2020-11-13,205.300003,209.479996,204.149994,207.270004,207.270004,634700
2020-11-16,211.270004,217.880005,207.839996,217.830002,217.830002,1315800
2020-11-17,214.000000,216.449997,211.279999,214.619995,214.619995,641800
2020-11-18,216.000000,220.809998,214.089996,216.250000,216.250000,1103500
2020-11-19,214.470001,217.100006,209.160004,217.000000,217.000000,779300
2020-11-20,222.839996,223.889999,218.589996,219.800003,219.800003,1023300
2020-11-23,223.559998,227.809998,221.929993,226.309998,226.309998,830300
2020-11-24,230.460007,240.259995,229.000000,237.910004,237.910004,1185000
2020-11-25,235.110001,235.899994,228.360001,230.460007,230.460007,760100
2020-11-27,230.190002,234.550003,230.190002,232.910004,232.910004,336700
2020-11-30,231.720001,232.000000,226.059998,226.979996,226.979996,1273600
2020-12-01,232.979996,236.119995,230.679993,233.639999,233.639999,796900
2020-12-02,232.600006,233.800003,228.970001,231.399994,231.399994,651500
2020-12-03,231.610001,238.509995,230.929993,236.949997,236.949997,858100
2020-12-04,239.300003,245.809998,238.610001,245.619995,245.619995,783600
2020-12-07,243.449997,246.589996,241.039993,246.479996,246.479996,652200
2020-12-08,244.639999,249.589996,241.279999,243.000000,243.000000,718800
2020-12-09,249.600006,249.600006,243.979996,246.750000,246.750000,874500
2020-12-10,243.759995,244.940002,239.360001,241.979996,241.979996,754800
2020-12-11,240.179993,243.580002,239.149994,240.759995,240.759995,728500
2020-12-14,245.089996,245.089996,238.520004,238.889999,238.889999,650100
2020-12-15,231.729996,239.669998,231.009995,238.979996,238.979996,770100
2020-12-16,240.419998,240.419998,230.270004,232.490005,232.490005,886800
2020-12-17,229.679993,232.520004,226.600006,229.160004,229.160004,1090800
2020-12-18,228.679993,229.949997,224.699997,227.539993,227.539993,1231900
2020-12-21,221.220001,231.250000,217.389999,229.550003,229.550003,752200
2020-12-22,231.050003,231.279999,223.740005,227.389999,227.389999,515800
2020-12-23,229.860001,231.990005,227.720001,230.929993,230.929993,581100
2020-12-24,230.669998,233.160004,228.949997,232.619995,232.619995,213200
