Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,57.740002,58.410000,55.290001,56.119999,55.798389,2625900
2020-03-12,52.549999,56.119999,50.540001,53.270000,52.964725,4415000
2020-03-13,56.150002,57.290001,52.560001,54.950001,54.635101,3887700
2020-03-16,49.000000,51.070000,47.570000,48.080002,47.804470,2929100
2020-03-17,49.240002,50.250000,46.099998,50.160000,49.872547,2821600
2020-03-18,47.230000,47.540001,35.070000,41.020000,40.784927,4801200
2020-03-19,40.000000,43.599998,38.980000,42.619999,42.375755,3771400
2020-03-20,43.000000,46.500000,40.009998,40.750000,40.516472,3713500
2020-03-23,40.709999,43.000000,39.590000,41.130001,40.894299,1934800
2020-03-24,44.020000,46.270000,43.639999,45.950001,45.686676,2203300
2020-03-25,46.270000,49.619999,43.730000,46.700001,46.432373,2081900
2020-03-26,47.450001,50.779999,46.430000,50.509998,50.220535,2086400
2020-03-27,47.669998,49.340000,47.020000,47.580002,47.307335,2616900
2020-03-30,46.939999,49.450001,46.419998,49.220001,48.937935,1517800
2020-03-31,49.160000,50.750000,47.869999,48.130001,47.854183,1747500
2020-04-01,45.939999,47.130001,45.259998,46.119999,45.855698,1914000
2020-04-02,46.000000,46.450001,42.650002,43.840000,43.588768,2498900
2020-04-03,42.439999,44.419998,42.090000,44.060001,43.807507,1720600
2020-04-06,46.470001,49.430000,46.360001,49.090000,48.808678,1221800
2020-04-07,52.590000,53.240002,49.880001,49.930000,49.643864,1434800
2020-04-08,50.590000,52.990002,50.290001,52.529999,52.228966,1205900
2020-04-09,53.790001,56.169998,53.509998,55.259998,54.943317,1574700
2020-04-13,54.660000,54.980000,50.610001,51.820000,51.523033,917300
2020-04-14,52.680000,53.360001,51.639999,52.439999,52.139481,1056300
2020-04-15,50.099998,50.230000,48.209999,49.639999,49.355526,1347700
2020-04-16,49.439999,49.500000,46.630001,47.520000,47.247677,1952300
2020-04-17,49.000000,50.240002,48.520000,49.250000,48.967762,2043100
2020-04-20,48.279999,49.209999,47.680000,48.950001,48.669483,2306200
2020-04-21,47.770000,50.119999,47.630001,50.060001,49.773121,1676600
2020-04-22,51.240002,51.619999,50.290001,51.000000,50.707733,1547400
2020-04-23,51.220001,53.090000,51.220001,52.009998,51.711945,1234200
2020-04-24,52.480000,54.169998,52.130001,53.439999,53.133751,1881900
2020-04-27,53.500000,55.070000,52.759998,54.430000,54.118076,1327300
2020-04-28,56.049999,57.080002,55.209999,56.320000,55.997246,1501600
2020-04-29,58.009998,59.689999,57.709999,59.180000,58.840855,2266900
2020-04-30,58.099998,58.490002,55.990002,56.419998,56.096672,1750800
2020-05-01,55.520000,55.950001,53.939999,54.410000,54.098190,1480800
2020-05-04,53.650002,55.090000,51.290001,52.650002,52.348278,2267200
2020-05-05,53.310001,56.779999,53.009998,55.139999,54.824005,1335800
2020-05-06,55.189999,55.400002,52.689999,53.009998,52.706215,1381600
2020-05-07,53.730000,55.599998,53.480000,55.259998,55.067978,1402600
2020-05-08,56.119999,57.380001,56.009998,57.320000,57.120819,1060100
2020-05-11,56.299999,56.540001,54.619999,54.650002,54.460098,997900
2020-05-12,54.770000,55.290001,52.570000,52.590000,52.407257,1233900
2020-05-13,52.590000,52.590000,49.820000,50.820000,50.643406,1753600
2020-05-14,50.040001,52.410000,48.750000,52.139999,51.958820,1772800
2020-05-15,51.419998,52.900002,51.250000,52.360001,52.178059,818600
2020-05-18,54.889999,57.099998,54.290001,56.639999,56.443184,1232600
2020-05-19,56.340000,57.400002,55.529999,55.689999,55.496483,793900
2020-05-20,56.860001,58.189999,56.860001,57.830002,57.629051,916500
2020-05-21,57.610001,58.400002,56.919998,57.099998,56.901585,607000
2020-05-22,57.000000,57.009998,55.759998,56.799999,56.602627,745400
2020-05-26,59.099998,61.369999,59.000000,60.630001,60.419319,1122800
2020-05-27,62.459999,64.180000,61.799999,63.959999,63.737747,1287000
2020-05-28,64.550003,64.650002,61.189999,61.480000,61.266365,1144800
2020-05-29,61.009998,61.299999,59.849998,61.070000,60.857788,1586100
2020-06-01,60.919998,62.119999,59.680000,61.919998,61.704838,1047800
2020-06-02,62.509998,63.910000,62.029999,63.580002,63.359070,843300
2020-06-03,63.820000,65.860001,63.529999,65.570000,65.342155,1944100
2020-06-04,65.320000,67.970001,65.230003,67.379997,67.145859,1159500
