Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,99.980003,101.349998,96.339996,97.449997,95.478539,2669300
2020-03-12,91.489998,98.120003,78.930000,91.639999,89.786079,3026000
2020-03-13,95.260002,99.550003,92.239998,99.419998,97.408684,3546700
2020-03-16,91.489998,101.370003,90.000000,92.680000,90.805038,4106600
2020-03-17,95.250000,109.529999,94.699997,102.459999,100.387184,5748600
2020-03-18,98.470001,107.400002,92.029999,104.529999,102.415306,4332900
2020-03-19,103.760002,104.989998,90.010002,90.410004,88.580971,2983300
2020-03-20,90.570000,90.570000,72.080002,74.089996,72.591118,4700900
2020-03-23,73.269997,76.440002,68.010002,70.889999,69.455856,3849700
2020-03-24,72.269997,80.680000,70.290001,80.209999,78.587318,3017400
2020-03-25,79.639999,84.000000,77.300003,80.739998,79.106590,2331000
2020-03-26,81.040001,88.250000,80.360001,86.769997,85.014603,2138500
2020-03-27,84.330002,92.730003,83.209999,89.070000,87.268074,1826700
2020-03-30,90.610001,92.599998,89.160004,91.889999,90.031021,2111500
2020-03-31,90.360001,91.209999,86.910004,88.129997,86.347076,3970400
2020-04-01,84.959999,86.900002,80.559998,83.519997,81.830345,2221500
2020-04-02,81.430000,88.620003,80.580002,88.010002,86.229523,1885400
2020-04-03,86.320000,87.769997,85.010002,85.250000,83.525352,2088000
2020-04-06,87.680000,92.370003,87.160004,91.279999,89.433365,2118000
2020-04-07,93.120003,93.610001,87.160004,87.760002,85.984573,1795700
2020-04-08,88.360001,92.879997,87.519997,92.199997,90.334747,1630100
2020-04-09,92.900002,98.779999,92.610001,98.220001,96.232964,2229600
2020-04-13,96.800003,97.970001,93.910004,95.019997,93.097687,1133300
2020-04-14,97.139999,99.419998,95.610001,99.330002,97.320503,1703700
2020-04-15,98.019997,98.739998,96.000000,96.889999,94.929871,1979400
2020-04-16,97.610001,99.599998,96.550003,98.959999,96.957993,1531400
2020-04-17,100.260002,101.000000,97.230003,100.339996,98.310074,1432000
2020-04-20,99.599998,100.169998,95.800003,95.879997,93.940300,1476900
2020-04-21,94.139999,96.459999,93.620003,95.139999,93.215271,1782800
2020-04-22,96.620003,97.959999,96.180000,96.400002,94.449783,1444800
2020-04-23,96.059998,97.540001,94.070000,94.389999,92.480438,1462700
2020-04-24,94.589996,94.709999,92.269997,93.769997,91.872986,1870500
2020-04-27,94.040001,94.849998,91.470001,91.519997,89.668495,1456400
2020-04-28,92.660004,94.830002,92.250000,94.730003,92.813576,1873600
2020-04-29,95.639999,95.940002,92.000000,93.309998,91.422295,1387500
2020-04-30,93.139999,93.550003,89.790001,90.550003,88.718132,1583600
2020-05-01,89.970001,90.150002,87.949997,88.459999,86.670403,1601900
2020-05-04,88.150002,90.099998,88.000000,88.959999,87.160294,1635500
2020-05-05,88.300003,89.970001,88.139999,89.580002,87.767746,1444000
2020-05-06,89.849998,89.860001,84.879997,84.940002,83.221626,1589700
2020-05-07,86.010002,87.120003,84.860001,85.129997,83.407784,1985800
2020-05-08,86.220001,86.489998,84.820000,85.680000,83.946655,1282500
2020-05-11,85.010002,85.769997,83.650002,85.320000,83.593941,1210100
2020-05-12,85.650002,86.419998,84.419998,85.010002,83.290207,1652800
2020-05-13,84.019997,85.129997,83.430000,84.760002,83.668274,2833100
2020-05-14,84.239998,85.410004,81.519997,84.709999,83.618919,2139000
2020-05-15,84.339996,85.190002,81.489998,84.800003,83.707756,5130800
2020-05-18,86.959999,88.150002,86.000000,87.620003,86.491440,1762700
2020-05-19,87.190002,87.839996,86.389999,86.690002,85.573410,1328100
2020-05-20,87.029999,87.820000,86.209999,87.300003,86.175560,1428800
2020-05-21,87.000000,87.839996,86.550003,86.680000,85.563538,1324400
2020-05-22,86.889999,87.059998,85.629997,86.139999,85.030495,902600
2020-05-26,86.750000,88.370003,85.459999,85.690002,84.586296,1380200
2020-05-27,86.730003,86.930000,84.519997,85.900002,84.793587,1430900
2020-05-28,87.510002,89.330002,86.900002,88.970001,87.824051,1705300
2020-05-29,88.540001,91.959999,88.220001,91.730003,90.548500,2355900
2020-06-01,91.639999,93.750000,90.879997,93.129997,91.930466,1667100
2020-06-02,93.660004,94.019997,92.449997,93.970001,92.759651,1560800
2020-06-03,93.970001,94.910004,93.349998,93.959999,92.749779,1505400
2020-06-04,93.419998,94.169998,91.150002,92.570000,91.377678,1283600
2020-06-05,93.099998,94.370003,92.690002,92.849998,91.654068,1704700
2020-06-08,92.519997,95.820000,91.650002,95.279999,94.052773,1608800
2020-06-09,94.730003,95.029999,92.250000,93.440002,92.236473,1571700
2020-06-10,93.650002,95.080002,93.190002,93.709999,92.502991,1007800
2020-06-11,92.769997,92.860001,90.370003,91.330002,90.153648,1723600
2020-06-12,93.050003,93.120003,89.279999,90.309998,89.146782,2206700
2020-06-15,88.949997,91.669998,88.160004,90.470001,89.304726,1653400
2020-06-16,92.379997,93.000000,90.370003,90.820000,89.650215,1705600
2020-06-17,91.160004,91.180000,89.330002,90.419998,89.255371,1430800
2020-06-18,89.980003,90.309998,88.610001,89.860001,88.702583,1431300
2020-06-19,90.980003,90.980003,87.889999,88.070000,86.935638,3852600
2020-06-22,87.830002,88.330002,87.010002,87.849998,86.718475,2243300
2020-06-23,88.739998,88.739998,86.349998,87.089996,85.968262,1611900
2020-06-24,86.389999,87.440002,85.959999,86.790001,85.672127,1812200
2020-06-25,86.529999,86.599998,84.000000,85.209999,84.112473,1416500
2020-06-26,84.910004,86.339996,83.839996,85.540001,84.438225,2535600
2020-06-29,86.029999,86.980003,84.980003,86.970001,85.849808,1124700
2020-06-30,87.080002,88.099998,86.599998,87.650002,86.521049,1742900
2020-07-01,87.580002,89.620003,87.480003,89.330002,88.179413,1285000
2020-07-02,89.820000,90.860001,89.669998,90.169998,89.008591,979900
2020-07-06,90.870003,91.620003,89.019997,89.940002,88.781555,1000200
2020-07-07,88.940002,89.629997,88.269997,88.699997,87.557526,1359700
2020-07-08,88.500000,89.169998,88.160004,88.739998,87.597008,1230600
2020-07-09,88.300003,88.559998,86.110001,87.470001,86.343369,1396000
2020-07-10,87.690002,88.470001,87.370003,88.050003,86.915901,1341800
2020-07-13,88.029999,88.820000,87.400002,87.720001,86.590149,1678100
2020-07-14,87.919998,88.610001,87.059998,88.099998,86.965248,2166800
2020-07-15,88.779999,89.239998,87.160004,87.459999,86.333496,1353400
2020-07-16,87.690002,88.379997,87.089996,87.760002,86.629631,1343000
2020-07-17,88.209999,91.010002,88.089996,90.529999,89.363953,1777700
2020-07-20,90.099998,91.089996,89.669998,90.139999,88.978973,1382400
2020-07-21,90.379997,91.730003,90.099998,91.139999,89.966095,1515400
2020-07-22,90.940002,93.790001,90.500000,93.459999,92.256218,1173300
2020-07-23,93.279999,94.379997,93.180000,93.790001,92.581970,1321500
2020-07-24,94.070000,94.900002,93.099998,93.589996,92.384529,1232800
2020-07-27,93.459999,93.620003,92.559998,93.339996,92.137756,1389200
2020-07-28,92.870003,95.190002,92.779999,94.580002,93.361794,1330800
2020-07-29,95.199997,95.410004,94.260002,94.970001,93.746765,991500
2020-07-30,94.519997,95.559998,94.230003,95.190002,93.963928,922500
2020-07-31,94.790001,95.750000,93.959999,95.260002,94.033035,1042500
2020-08-03,95.050003,95.500000,92.639999,93.639999,92.433899,991300
2020-08-04,93.480003,96.129997,92.070000,95.110001,93.884964,1673500
2020-08-05,95.250000,95.250000,92.610001,93.309998,92.108147,1295900
2020-08-06,93.070000,93.750000,92.449997,92.989998,91.792267,758300
2020-08-07,92.540001,94.989998,92.540001,94.370003,93.154495,1015600
2020-08-10,94.589996,94.589996,93.309998,93.730003,92.522736,865200
2020-08-11,93.629997,93.820000,90.690002,90.900002,89.729195,955000
2020-08-12,91.370003,93.309998,91.050003,92.269997,91.081535,886000
2020-08-13,91.290001,91.779999,90.750000,91.440002,90.885742,851300
2020-08-14,91.459999,92.110001,90.639999,91.209999,90.657127,720500
2020-08-17,91.139999,92.750000,90.839996,92.120003,91.561615,1093600
2020-08-18,92.010002,92.620003,91.519997,91.919998,91.362823,784600
2020-08-19,92.139999,92.320000,91.459999,91.720001,91.164040,642500
2020-08-20,91.279999,91.900002,90.720001,91.290001,90.736649,675100
2020-08-21,91.489998,92.070000,90.660004,91.989998,91.432404,1350600
2020-08-24,91.989998,92.309998,90.870003,92.239998,91.680885,1008900
2020-08-25,92.430000,92.639999,91.669998,92.279999,91.720642,1230400
2020-08-26,91.739998,92.800003,91.269997,92.040001,91.482101,1838800
2020-08-27,92.430000,92.980003,91.570000,92.349998,91.790222,1123800
2020-08-28,92.379997,93.730003,91.610001,93.620003,93.052528,1111900
2020-08-31,93.339996,94.419998,93.339996,94.080002,93.509735,1404800
2020-09-01,93.699997,93.750000,92.699997,93.589996,93.022697,1165400
2020-09-02,93.720001,97.769997,93.419998,97.410004,96.819557,1690400
2020-09-03,97.709999,98.260002,95.500000,96.360001,95.775917,1538000
2020-09-04,96.949997,97.889999,95.690002,96.489998,95.905121,1349800
2020-09-08,96.610001,96.709999,94.639999,95.589996,95.010574,1462400
2020-09-09,96.300003,99.040001,95.970001,97.769997,97.177368,1169700
2020-09-10,97.250000,97.669998,95.860001,95.970001,95.388283,1234700
2020-09-11,96.110001,96.300003,94.930000,95.959999,95.378342,1003800
2020-09-14,96.550003,97.769997,95.830002,97.180000,96.590942,755000
2020-09-15,97.790001,99.279999,97.750000,99.150002,98.549004,1094700
2020-09-16,99.169998,100.430000,98.089996,98.779999,98.181244,1656500
2020-09-17,98.120003,98.389999,95.589996,96.110001,95.527428,1431200
2020-09-18,95.720001,96.489998,94.110001,94.870003,94.294952,2209300
2020-09-21,94.190002,95.599998,93.480003,94.860001,94.285004,1261200
2020-09-22,94.589996,96.239998,94.260002,95.400002,94.821732,1284300
2020-09-23,95.220001,95.279999,92.919998,93.059998,92.495918,1300200
2020-09-24,93.059998,94.629997,92.760002,94.000000,93.430222,798900
2020-09-25,93.510002,96.400002,93.300003,96.309998,95.726212,990600
2020-09-28,96.360001,97.459999,95.720001,96.480003,95.895187,793200
2020-09-29,96.989998,97.540001,96.139999,96.660004,96.074097,879200
2020-09-30,97.000000,97.610001,96.379997,96.900002,96.312645,1345900
2020-10-01,96.989998,98.309998,96.870003,98.250000,97.654457,996100
2020-10-02,97.660004,98.320000,96.760002,97.709999,97.117729,1218400
2020-10-05,97.930000,98.459999,96.820000,98.139999,97.545128,1149600
2020-10-06,98.150002,99.580002,97.330002,98.510002,97.912888,1486700
2020-10-07,98.779999,99.480003,97.459999,98.050003,97.455673,898700
2020-10-08,98.430000,99.089996,98.160004,99.029999,98.429726,1020100
2020-10-09,99.419998,99.879997,98.620003,99.440002,98.837250,840500
2020-10-12,99.599998,101.000000,99.330002,99.830002,99.224884,679700
2020-10-13,99.190002,99.849998,97.660004,99.099998,98.499306,950000
2020-10-14,99.169998,99.760002,98.440002,99.589996,98.986336,862600
2020-10-15,99.129997,100.610001,98.629997,99.959999,99.354095,975400
2020-10-16,100.110001,101.879997,99.919998,101.559998,100.944389,1253600
2020-10-19,102.110001,102.110001,100.010002,100.400002,99.791428,1072700
2020-10-20,100.870003,101.339996,99.949997,100.629997,100.020027,1445100
2020-10-21,100.830002,101.830002,100.440002,101.089996,100.477242,935600
2020-10-22,100.870003,101.980003,100.550003,101.800003,101.182945,738800
2020-10-23,102.260002,102.559998,101.599998,102.160004,101.540764,672400
2020-10-26,101.949997,102.449997,100.730003,102.209999,101.590454,616300
2020-10-27,102.330002,103.510002,101.699997,102.470001,101.848877,754300
2020-10-28,101.309998,102.830002,99.610001,99.760002,99.155304,1378300
2020-10-29,99.519997,101.690002,98.269997,100.419998,99.811302,1026000
2020-10-30,99.919998,101.000000,99.040001,100.550003,99.940521,1393600
2020-11-02,101.680000,103.470001,101.059998,103.139999,102.514816,1219300
2020-11-03,104.089996,105.349998,103.379997,104.250000,103.618088,1499700
2020-11-04,103.779999,105.599998,101.800003,101.809998,101.192879,1483200
2020-11-05,102.720001,104.139999,101.199997,101.599998,100.984154,1556400
2020-11-06,101.959999,103.110001,101.290001,102.360001,101.739548,659400
2020-11-09,104.699997,106.849998,103.629997,103.830002,103.200638,1314900
2020-11-10,103.879997,106.000000,103.769997,104.849998,104.214447,1251000
2020-11-11,105.309998,105.970001,103.860001,104.430000,103.796997,1005500
2020-11-12,103.570000,103.580002,101.720001,102.449997,102.449997,909400
2020-11-13,102.980003,103.529999,101.800003,102.139999,102.139999,930100
2020-11-16,103.120003,104.150002,101.930000,104.029999,104.029999,1587500
2020-11-17,102.849998,103.540001,99.970001,100.180000,100.180000,1145700
2020-11-18,100.800003,100.800003,96.680000,96.750000,96.750000,1526700
2020-11-19,96.300003,96.360001,94.379997,95.550003,95.550003,1254200
