Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,23.690001,23.830000,21.750000,22.459999,22.327835,9036400
2020-03-12,20.490000,20.660000,18.200001,18.660000,18.550198,9462600
2020-03-13,20.049999,21.920000,18.660000,21.920000,21.791014,9280300
2020-03-16,19.030001,20.070000,16.950001,16.950001,16.850260,7892300
2020-03-17,17.360001,18.950001,16.629999,18.950001,18.838491,6586000
2020-03-18,17.350000,18.049999,15.970000,16.250000,16.154379,7446800
2020-03-19,16.280001,16.760000,15.030000,16.139999,16.045025,8253600
2020-03-20,16.379999,16.450001,14.600000,14.760000,14.673146,10024700
2020-03-23,14.500000,14.690000,13.100000,13.470000,13.390738,9656300
2020-03-24,14.310000,16.900000,14.160000,16.879999,16.780670,8684400
2020-03-25,16.660000,19.270000,16.320000,17.719999,17.615728,7067100
2020-03-26,17.830000,18.570000,17.320000,18.280001,18.172434,6600300
2020-03-27,17.510000,17.959999,17.059999,17.200001,17.098789,5939300
2020-03-30,17.180000,17.590000,16.750000,16.950001,16.850260,6152200
2020-03-31,16.700001,17.219999,15.840000,16.950001,16.850260,10328600
2020-04-01,15.870000,16.320000,15.350000,16.120001,16.025145,9540600
2020-04-02,15.960000,16.480000,15.500000,15.840000,15.746791,7303600
2020-04-03,15.630000,15.970000,15.110000,15.340000,15.249733,6138200
2020-04-06,16.400000,17.340000,16.120001,17.100000,16.999376,8641200
2020-04-07,18.070000,18.830000,17.230000,17.290001,17.188259,7054600
2020-04-08,17.670000,19.559999,17.370001,19.459999,19.345488,6720200
2020-04-09,20.000000,21.270000,20.000000,21.010000,20.886370,7417200
2020-04-13,20.940001,20.940001,19.799999,20.100000,19.981724,4780400
2020-04-14,20.410000,20.750000,20.219999,20.330000,20.210369,3967500
2020-04-15,19.480000,19.760000,18.750000,19.120001,19.007490,4559600
2020-04-16,19.139999,19.160000,18.389999,18.969999,18.858372,3196300
2020-04-17,19.680000,20.190001,19.680000,20.100000,19.981724,4786900
2020-04-20,19.620001,19.820000,19.170000,19.180000,19.067137,4335300
2020-04-21,18.540001,19.090000,18.469999,18.760000,18.649609,4913200
2020-04-22,19.170000,19.260000,18.799999,19.020000,18.908079,4561200
2020-04-23,19.150000,19.520000,18.870001,18.980000,18.868313,4433800
2020-04-24,19.160000,19.820000,18.959999,19.610001,19.494608,3279200
2020-04-27,19.850000,20.760000,19.850000,20.660000,20.538427,3557300
2020-04-28,21.150000,21.650000,20.920000,21.370001,21.244251,4365100
2020-04-29,21.740000,22.709999,21.660000,22.360001,22.228426,4741400
2020-04-30,21.980000,22.129999,21.230000,21.870001,21.741308,4169500
2020-05-01,19.680000,19.719999,17.670000,17.969999,17.864256,12267500
2020-05-04,17.600000,18.080000,17.150000,17.780001,17.675375,7994800
2020-05-05,18.010000,18.530001,17.480000,17.520000,17.416906,7780000
