Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,86.500000,87.129997,80.160004,80.870003,80.870003,5660300
2020-03-12,71.320000,77.879997,65.000000,68.019997,68.019997,9707800
2020-03-13,74.779999,77.820000,64.150002,72.519997,72.519997,6976300
2020-03-16,59.500000,67.480003,54.630001,54.799999,54.799999,7723200
2020-03-17,56.709999,58.000000,48.009998,54.380001,54.380001,9050300
2020-03-18,48.250000,51.860001,35.840000,43.020000,43.020000,10917800
2020-03-19,41.150002,52.900002,38.009998,46.580002,46.580002,10369200
2020-03-20,49.830002,60.000000,49.009998,51.970001,51.970001,11323900
2020-03-23,53.509998,58.400002,51.000000,57.570000,57.570000,9148200
2020-03-24,68.660004,71.389999,64.550003,66.559998,66.559998,10793700
2020-03-25,71.809998,79.699997,65.190002,75.059998,75.059998,9420900
2020-03-26,77.379997,83.870003,69.760002,71.510002,71.510002,10883600
2020-03-27,66.650002,67.300003,63.259998,63.310001,63.310001,9510200
2020-03-30,61.759998,63.689999,58.049999,61.099998,61.099998,7156100
2020-03-31,60.709999,63.490002,59.099998,60.189999,60.189999,5341600
2020-04-01,56.910000,57.000000,52.910000,54.000000,54.000000,6244600
2020-04-02,53.119999,56.400002,51.549999,52.669998,52.669998,4688300
2020-04-03,52.970001,53.500000,46.209999,48.500000,48.500000,7994100
2020-04-06,53.700001,58.250000,52.750000,56.730000,56.730000,9013400
2020-04-07,65.949997,67.199997,59.750000,60.849998,60.849998,12004600
2020-04-08,62.650002,69.389999,61.660000,69.070000,69.070000,10758100
2020-04-09,73.910004,76.879997,67.820000,70.650002,70.650002,11008300
2020-04-13,70.720001,71.349998,65.540001,69.300003,69.300003,7528100
2020-04-14,73.050003,74.540001,69.190002,74.480003,74.480003,6531700
2020-04-15,71.169998,72.860001,70.000000,71.849998,71.849998,5966700
2020-04-16,71.040001,72.699997,68.809998,72.290001,72.290001,6293700
2020-04-17,77.160004,78.519997,74.510002,78.459999,78.459999,7338100
2020-04-20,76.180000,78.660004,72.680000,73.290001,73.290001,5939600
2020-04-21,71.080002,73.589996,69.680000,70.400002,70.400002,5283900
2020-04-22,72.849998,73.250000,69.610001,70.029999,70.029999,3944900
2020-04-23,75.220001,78.599998,74.290001,76.050003,76.050003,10329600
2020-04-24,76.959999,77.570000,73.930000,76.610001,76.610001,4986200
2020-04-27,78.260002,83.930000,77.120003,82.769997,82.769997,5905700
2020-04-28,86.970001,87.570000,78.000000,82.160004,82.160004,9126300
2020-04-29,85.690002,89.870003,84.519997,89.029999,89.029999,7076700
2020-04-30,87.220001,90.809998,84.580002,85.529999,85.529999,6565800
2020-05-01,81.809998,82.989998,79.010002,80.830002,80.830002,5109300
2020-05-04,77.099998,80.949997,75.570000,80.449997,80.449997,4826300
2020-05-05,82.690002,83.089996,78.349998,79.669998,79.669998,4105200
2020-05-06,80.459999,80.879997,78.010002,79.250000,79.250000,3469300
2020-05-07,80.000000,82.669998,78.169998,79.599998,79.599998,7431900
2020-05-08,81.910004,87.400002,81.489998,86.940002,86.940002,6408200
2020-05-11,85.010002,85.769997,82.379997,82.669998,82.669998,4940200
2020-05-12,83.440002,83.910004,78.580002,78.660004,78.660004,4044600
2020-05-13,78.739998,79.870003,75.139999,76.769997,76.769997,6993100
2020-05-14,74.510002,78.500000,71.199997,78.300003,78.300003,5667100
2020-05-15,76.370003,79.139999,75.610001,77.699997,77.699997,3885000
2020-05-18,82.519997,83.000000,80.050003,81.470001,81.470001,6591000
2020-05-19,82.089996,85.239998,79.730003,82.029999,82.029999,5439000
2020-05-20,84.639999,87.279999,83.699997,86.860001,86.860001,5359300
2020-05-21,86.220001,86.849998,82.139999,83.150002,83.150002,4382500
2020-05-22,81.300003,81.419998,77.519997,78.250000,78.250000,7775200
2020-05-26,82.970001,86.169998,81.360001,84.889999,84.889999,8349800
2020-05-27,87.559998,87.800003,82.500000,86.930000,86.930000,7608900
2020-05-28,87.040001,87.449997,82.610001,83.199997,83.199997,5005800
2020-05-29,81.660004,84.930000,80.800003,83.279999,83.279999,5142800
2020-06-01,84.129997,86.639999,83.220001,86.470001,86.470001,3707700
2020-06-02,85.500000,86.230003,82.550003,84.099998,84.099998,5619900
2020-06-03,85.800003,93.750000,85.500000,93.500000,93.500000,8273900
2020-06-04,96.980003,97.300003,91.720001,95.379997,95.379997,10517800
2020-06-05,102.070000,104.010002,99.290001,101.610001,101.610001,10986000
2020-06-08,106.459999,108.930000,104.050003,108.800003,108.800003,6159100
2020-06-09,105.379997,105.419998,101.410004,102.760002,102.760002,6115200
2020-06-10,102.820000,103.400002,95.180000,98.930000,98.930000,6583700
2020-06-11,90.150002,95.300003,89.000000,89.739998,89.739998,7717400
2020-06-12,95.139999,95.739998,89.800003,92.309998,92.309998,4914600
2020-06-15,87.559998,93.080002,86.580002,92.000000,92.000000,4636300
2020-06-16,98.000000,98.150002,87.220001,90.510002,90.510002,7201000
2020-06-17,90.000000,90.760002,88.339996,88.699997,88.699997,3864000
2020-06-18,87.019997,89.900002,86.730003,88.370003,88.370003,3146600
2020-06-19,90.349998,90.980003,86.040001,86.790001,86.790001,4161700
2020-06-22,85.860001,86.199997,81.720001,83.320000,83.320000,4876800
2020-06-23,84.529999,85.339996,83.410004,84.510002,84.510002,4351000
2020-06-24,83.309998,83.389999,75.019997,75.209999,75.209999,8439100
2020-06-25,74.849998,74.849998,71.400002,73.559998,73.559998,7971700
2020-06-26,72.470001,73.410004,68.709999,69.050003,69.050003,7082400
2020-06-29,69.220001,74.230003,67.540001,74.220001,74.220001,7031600
2020-06-30,73.570000,74.860001,72.120003,74.489998,74.489998,4590400
2020-07-01,75.250000,78.239998,73.150002,73.790001,73.790001,5433900
2020-07-02,75.589996,78.349998,75.129997,77.320000,77.320000,6267200
2020-07-06,79.730003,80.989998,74.669998,76.699997,76.699997,5925000
2020-07-07,74.820000,76.019997,73.139999,73.370003,73.370003,3878800
2020-07-08,73.180000,74.559998,71.290001,74.180000,74.180000,4940500
2020-07-09,73.989998,74.010002,68.690002,71.129997,71.129997,5923200
2020-07-10,70.230003,74.220001,69.449997,74.129997,74.129997,4805600
2020-07-13,76.400002,84.980003,73.089996,81.269997,81.269997,16235900
2020-07-14,79.239998,80.239998,76.699997,79.300003,79.300003,5721300
2020-07-15,82.010002,86.959999,81.610001,86.739998,86.739998,7416200
2020-07-16,84.449997,86.070000,83.550003,84.599998,84.599998,3919000
2020-07-17,84.750000,85.180000,81.959999,82.760002,82.760002,2776000
2020-07-20,82.370003,82.949997,79.669998,79.970001,79.970001,2928100
2020-07-21,81.129997,82.470001,78.930000,79.190002,79.190002,4086800
2020-07-22,78.529999,78.949997,75.360001,76.099998,76.099998,3964600
2020-07-23,75.830002,75.940002,73.370003,73.900002,73.900002,5158500
2020-07-24,72.889999,73.410004,71.599998,73.410004,73.410004,3446900
2020-07-27,72.629997,73.550003,70.019997,70.690002,70.690002,4832800
2020-07-28,70.620003,74.970001,70.470001,73.370003,73.370003,4769800
2020-07-29,74.279999,75.400002,73.190002,75.290001,75.290001,3131500
2020-07-30,76.980003,77.150002,74.699997,76.419998,76.419998,4378500
2020-07-31,75.989998,76.239998,71.500000,72.430000,72.430000,5524300
2020-08-03,71.769997,73.680000,70.320000,73.050003,73.050003,4446900
2020-08-04,72.639999,74.370003,71.820000,72.750000,72.750000,3956100
2020-08-05,73.080002,75.239998,70.510002,71.279999,71.279999,7076200
2020-08-06,70.910004,77.089996,70.769997,76.570000,76.570000,7673800
2020-08-07,75.050003,75.959999,73.110001,74.099998,74.099998,4872800
2020-08-10,78.169998,81.750000,77.360001,81.480003,81.480003,9703800
2020-08-11,85.849998,89.419998,84.849998,88.290001,88.290001,11414400
2020-08-12,89.489998,89.500000,83.370003,85.800003,85.800003,6418500
2020-08-13,84.290001,86.730003,84.239998,86.669998,86.669998,3263400
2020-08-14,85.230003,86.089996,84.150002,84.980003,84.980003,2697100
2020-08-17,85.370003,85.690002,83.199997,83.500000,83.500000,2219900
2020-08-18,83.900002,83.900002,81.510002,81.629997,81.629997,2462300
2020-08-19,82.620003,83.790001,80.959999,81.260002,81.260002,2549200
2020-08-20,80.000000,81.089996,79.019997,80.279999,80.279999,2947000
2020-08-21,81.459999,85.580002,81.099998,82.790001,82.790001,4360800
2020-08-24,83.660004,86.849998,81.349998,86.790001,86.790001,4485700
2020-08-25,87.589996,88.220001,84.709999,86.209999,86.209999,2644200
2020-08-26,85.889999,86.029999,84.300003,84.800003,84.800003,2393000
2020-08-27,84.879997,88.349998,84.680000,86.519997,86.519997,4183100
2020-08-28,87.800003,93.209999,86.709999,91.550003,91.550003,5852900
2020-08-31,90.629997,90.800003,87.449997,87.449997,87.449997,3368800
2020-09-01,87.080002,88.650002,85.410004,86.279999,86.279999,2676900
2020-09-02,86.269997,89.690002,86.059998,89.330002,89.330002,2435100
2020-09-03,89.180000,91.900002,85.800003,87.360001,87.360001,3209000
2020-09-04,88.309998,89.989998,84.580002,87.720001,87.720001,3249900
2020-09-08,85.050003,85.410004,82.489998,82.680000,82.680000,4039200
2020-09-09,83.660004,83.660004,80.599998,82.949997,82.949997,3174300
2020-09-10,84.129997,86.410004,83.120003,83.330002,83.330002,3201800
2020-09-11,84.620003,84.900002,80.879997,82.110001,82.110001,2198400
2020-09-14,83.029999,83.839996,81.860001,83.800003,83.800003,2261900
2020-09-15,83.910004,83.959999,80.769997,82.279999,82.279999,3525600
2020-09-16,81.190002,81.290001,77.320000,79.660004,79.660004,6588400
2020-09-17,78.029999,80.570000,77.989998,79.300003,79.300003,2792100
2020-09-18,78.910004,79.669998,76.269997,77.699997,77.699997,3709900
2020-09-21,73.739998,74.610001,70.839996,72.300003,72.300003,7009900
2020-09-22,72.690002,75.169998,72.010002,73.419998,73.419998,3310300
2020-09-23,73.940002,75.730003,70.510002,70.690002,70.690002,4401700
2020-09-24,70.500000,72.349998,68.790001,71.070000,71.070000,3915400
2020-09-25,71.160004,72.559998,70.629997,72.360001,72.360001,2684500
2020-09-28,73.110001,74.570000,72.430000,73.620003,73.620003,3203500
2020-09-29,72.980003,73.089996,70.550003,70.980003,70.980003,4250900
2020-09-30,71.940002,73.940002,71.180000,71.809998,71.809998,4446800
2020-10-01,72.139999,72.720001,71.110001,72.070000,72.070000,4258900
2020-10-02,70.000000,73.440002,69.599998,73.199997,73.199997,3115800
2020-10-05,73.059998,74.070000,72.029999,73.849998,73.849998,3414400
2020-10-06,74.570000,77.739998,74.019997,74.320000,74.320000,5082600
2020-10-07,75.919998,75.949997,74.230003,75.059998,75.059998,2847200
2020-10-08,75.279999,76.089996,73.910004,74.320000,74.320000,2743700
2020-10-09,74.629997,75.529999,72.449997,72.669998,72.669998,3095200
2020-10-12,72.849998,74.199997,72.349998,74.110001,74.110001,2072300
2020-10-13,73.180000,73.180000,69.489998,71.739998,71.739998,5278400
2020-10-14,71.489998,72.550003,70.760002,71.699997,71.699997,3265000
2020-10-15,71.449997,72.750000,70.660004,72.699997,72.699997,2571600
2020-10-16,72.529999,73.370003,70.919998,71.120003,71.120003,3007600
2020-10-19,71.400002,72.239998,69.500000,69.669998,69.669998,3848200
2020-10-20,70.160004,73.080002,70.010002,72.440002,72.440002,3506700
2020-10-21,72.010002,73.400002,71.320000,72.849998,72.849998,2532200
2020-10-22,75.230003,76.650002,74.150002,76.430000,76.430000,4012000
2020-10-23,76.650002,76.839996,74.790001,76.559998,76.559998,2143300
2020-10-26,74.589996,74.660004,71.769997,73.519997,73.519997,2959400
2020-10-27,73.610001,73.870003,71.169998,71.830002,71.830002,2438200
2020-10-28,70.709999,70.839996,67.699997,69.010002,69.010002,4421100
2020-10-29,69.279999,73.120003,69.050003,72.190002,72.190002,3936700
2020-10-30,71.349998,73.309998,70.250000,72.430000,72.430000,3303900
2020-11-02,74.419998,76.070000,73.400002,75.849998,75.849998,3955100
2020-11-03,76.629997,77.160004,74.110001,74.570000,74.570000,3082800
2020-11-04,75.080002,77.779999,73.699997,76.120003,76.120003,4412300
2020-11-05,77.379997,80.489998,76.849998,80.129997,80.129997,5303100
2020-11-06,77.889999,80.900002,77.510002,80.070000,80.070000,3461900
2020-11-09,95.169998,105.930000,95.000000,102.239998,102.239998,18916800
2020-11-10,100.000000,102.190002,95.400002,96.660004,96.660004,5302700
2020-11-11,97.199997,97.199997,91.000000,91.709999,91.709999,5046800
2020-11-12,89.690002,89.889999,85.959999,86.669998,86.669998,7160600
2020-11-13,87.699997,92.660004,86.459999,92.190002,92.190002,4172000
2020-11-16,97.669998,98.360001,93.440002,94.739998,94.739998,4496000
2020-11-17,93.309998,96.320000,91.400002,94.230003,94.230003,2500500
2020-11-18,94.550003,98.860001,93.699997,95.639999,95.639999,3339200
2020-11-19,96.930000,99.470001,96.269997,98.750000,98.750000,2764400
2020-11-20,97.820000,98.800003,95.290001,95.290001,95.290001,3589000
2020-11-23,95.500000,96.790001,94.120003,95.480003,95.480003,3332600
2020-11-24,97.589996,102.910004,97.410004,102.760002,102.760002,4229700
2020-11-25,101.650002,101.720001,99.059998,100.400002,100.400002,2225700
2020-11-27,101.330002,103.389999,100.669998,101.220001,101.220001,1419600
2020-11-30,100.989998,101.660004,97.230003,100.500000,100.500000,3071400
2020-12-01,102.019997,104.690002,100.889999,102.360001,102.360001,2818600
2020-12-02,101.750000,106.459999,100.739998,105.129997,105.129997,2956500
2020-12-03,107.110001,110.389999,105.900002,108.489998,108.489998,3167800
2020-12-04,109.500000,113.519997,108.199997,113.500000,113.500000,2997700
2020-12-07,112.760002,112.940002,109.519997,111.320000,111.320000,3736500
2020-12-08,110.629997,113.169998,110.330002,111.309998,111.309998,2846100
2020-12-09,112.879997,113.540001,109.339996,111.160004,111.160004,2159200
2020-12-10,109.089996,113.089996,109.089996,112.879997,112.879997,1840700
2020-12-11,112.669998,113.379997,109.599998,110.980003,110.980003,2162900
2020-12-14,112.410004,112.739998,107.199997,107.540001,107.540001,2856100
2020-12-15,109.220001,114.750000,108.519997,114.099998,114.099998,3200800
2020-12-16,113.500000,116.290001,112.550003,115.230003,115.230003,2319500
2020-12-17,116.800003,117.190002,114.139999,114.809998,114.809998,2046300
2020-12-18,114.550003,116.529999,113.010002,115.930000,115.930000,3196300
2020-12-21,110.709999,113.779999,108.730003,112.540001,112.540001,3809700
2020-12-22,112.269997,113.279999,110.709999,112.610001,112.610001,1637000
2020-12-23,113.930000,116.930000,113.620003,115.300003,115.300003,1998000
2020-12-24,114.410004,115.449997,113.610001,114.389999,114.389999,850900
