Date,Open,High,Low,Close,Adj Close,Volume
2020-03-11,196.300003,199.669998,187.690002,191.300003,191.300003,516900
2020-03-12,177.229996,178.970001,161.419998,161.509995,161.509995,1028500
2020-03-13,174.509995,184.100006,163.449997,184.020004,184.020004,659300
2020-03-16,155.000000,172.179993,150.059998,166.080002,166.080002,800300
2020-03-17,170.199997,182.740005,167.330002,180.660004,180.660004,564400
2020-03-18,167.740005,186.940002,166.339996,185.470001,185.470001,803200
2020-03-19,181.860001,186.220001,169.300003,185.070007,185.070007,1202000
2020-03-20,186.070007,189.860001,177.080002,179.380005,179.380005,1701600
2020-03-23,179.850006,181.949997,163.440002,170.720001,170.720001,1176100
2020-03-24,180.089996,181.800003,167.169998,180.550003,180.550003,813400
2020-03-25,180.029999,195.190002,175.600006,186.229996,186.229996,505200
2020-03-26,187.830002,197.919998,185.960007,197.509995,197.509995,505500
2020-03-27,192.710007,192.710007,180.630005,184.570007,184.570007,390700
2020-03-30,186.210007,190.360001,180.679993,188.350006,188.350006,323900
2020-03-31,186.789993,189.490005,182.100006,183.600006,183.600006,521000
2020-04-01,177.559998,179.130005,174.020004,176.460007,176.460007,606000
2020-04-02,173.869995,179.750000,170.630005,174.240005,174.240005,599600
2020-04-03,173.020004,179.759995,172.009995,178.080002,178.080002,598600
2020-04-06,184.779999,193.600006,184.509995,191.850006,191.850006,306400
2020-04-07,199.699997,200.380005,191.610001,192.360001,192.360001,413600
2020-04-08,195.740005,198.960007,192.229996,196.649994,196.649994,252300
2020-04-09,198.830002,202.490005,197.169998,201.220001,201.220001,529300
2020-04-13,201.020004,202.600006,195.000000,197.910004,197.910004,331700
2020-04-14,204.369995,210.279999,200.149994,206.880005,206.880005,358800
2020-04-15,202.339996,202.979996,196.240005,196.809998,196.809998,389100
2020-04-16,199.710007,202.789993,196.720001,201.600006,201.600006,387500
2020-04-17,204.669998,208.610001,201.419998,202.979996,202.979996,382300
2020-04-20,201.449997,207.399994,201.000000,202.350006,202.350006,381500
2020-04-21,197.889999,199.460007,192.419998,192.850006,192.850006,379200
2020-04-22,198.190002,200.419998,194.169998,199.410004,199.410004,498800
2020-04-23,200.360001,207.869995,200.360001,200.970001,200.970001,436900
2020-04-24,202.339996,208.800003,200.679993,208.619995,208.619995,418500
2020-04-27,210.460007,223.660004,209.910004,220.929993,220.929993,560400
2020-04-28,235.550003,238.229996,227.080002,228.479996,228.479996,915600
2020-04-29,232.490005,248.210007,231.509995,244.970001,244.970001,640800
2020-04-30,229.130005,236.770004,225.000000,229.660004,229.660004,578500
2020-05-01,225.479996,227.000000,222.600006,225.550003,225.550003,349600
2020-05-04,223.139999,228.770004,220.160004,228.770004,228.770004,346900
2020-05-05,229.729996,235.750000,229.729996,233.149994,233.149994,349700
2020-05-06,232.979996,235.539993,231.300003,232.419998,232.419998,219100
2020-05-07,235.000000,237.309998,231.660004,233.860001,233.860001,276200
2020-05-08,236.000000,243.330002,235.270004,242.919998,242.919998,270500
2020-05-11,237.130005,239.919998,234.380005,235.259995,235.259995,339200
2020-05-12,236.860001,238.880005,230.070007,230.199997,230.199997,299100
2020-05-13,230.919998,231.559998,220.520004,223.080002,223.080002,445800
2020-05-14,219.490005,222.130005,215.520004,221.770004,221.770004,457000
2020-05-15,219.350006,220.759995,216.649994,217.800003,217.800003,383100
2020-05-18,226.500000,237.339996,223.860001,235.800003,235.800003,571100
2020-05-19,236.110001,243.929993,235.779999,240.550003,240.550003,489900
2020-05-20,242.000000,243.169998,239.990005,241.490005,241.490005,369900
2020-05-21,242.089996,246.350006,241.009995,244.149994,244.149994,286900
2020-05-22,243.750000,245.550003,240.460007,243.539993,243.539993,301600
2020-05-26,250.000000,259.350006,246.690002,255.960007,255.960007,558900
2020-05-27,257.290009,261.239990,254.119995,258.670013,258.670013,501900
2020-05-28,258.239990,263.690002,256.920013,257.420013,257.420013,334000
2020-05-29,257.859985,261.989990,254.100006,261.320007,261.320007,490700
2020-06-01,259.329987,266.220001,258.019989,264.970001,264.970001,294100
2020-06-02,265.940002,267.079987,261.660004,264.089996,264.089996,266000
2020-06-03,267.480011,272.000000,265.040009,269.019989,269.019989,334400
2020-06-04,266.970001,267.359985,259.260010,261.170013,261.170013,345100
2020-06-05,265.170013,278.549988,263.890015,277.549988,277.549988,438200
2020-06-08,273.589996,278.600006,271.989990,277.059998,277.059998,284200
2020-06-09,273.279999,275.549988,269.970001,270.320007,270.320007,316000
2020-06-10,270.459991,271.179993,266.829987,267.079987,267.079987,232400
2020-06-11,259.829987,260.799988,249.619995,250.190002,250.190002,349300
2020-06-12,258.989990,260.079987,253.059998,258.329987,258.329987,305200
2020-06-15,251.630005,259.480011,249.100006,259.410004,259.410004,307100
2020-06-16,267.089996,269.670013,261.000000,266.459991,266.459991,244500
2020-06-17,266.089996,267.519989,260.250000,260.820007,260.820007,236100
2020-06-18,260.290009,263.329987,257.809998,262.230011,262.230011,188300
2020-06-19,268.079987,268.079987,253.460007,264.410004,264.410004,987000
2020-06-22,262.440002,265.140015,259.140015,261.790009,261.790009,307100
2020-06-23,266.149994,266.149994,260.290009,260.769989,260.769989,292900
2020-06-24,259.839996,260.209991,246.600006,250.500000,250.500000,370000
2020-06-25,248.990005,253.929993,247.619995,253.639999,253.639999,232100
2020-06-26,253.500000,256.779999,244.600006,246.419998,246.419998,813800
2020-06-29,246.960007,253.320007,244.320007,252.050003,252.050003,237600
2020-06-30,252.750000,258.059998,251.649994,255.949997,255.949997,344500
2020-07-01,256.470001,256.929993,250.949997,251.229996,251.229996,224300
2020-07-02,256.489990,259.730011,254.360001,255.039993,255.039993,228600
2020-07-06,260.000000,263.850006,258.019989,261.630005,261.630005,286200
2020-07-07,260.839996,261.899994,253.820007,254.259995,254.259995,280900
2020-07-08,254.039993,257.230011,253.559998,257.209991,257.209991,278800
2020-07-09,260.899994,264.579987,258.029999,262.010010,262.010010,324900
2020-07-10,264.109985,264.109985,255.320007,260.670013,260.670013,261000
2020-07-13,264.910004,265.299988,255.070007,255.500000,255.500000,211800
2020-07-14,257.079987,266.790009,256.690002,266.470001,266.470001,313500
2020-07-15,272.220001,273.230011,264.070007,268.160004,268.160004,272500
2020-07-16,267.470001,269.119995,264.679993,267.660004,267.660004,287200
2020-07-17,269.100006,274.540009,269.100006,273.100006,273.100006,258500
2020-07-20,274.519989,276.720001,271.089996,276.359985,276.359985,251400
2020-07-21,277.190002,279.989990,272.329987,273.279999,273.279999,256400
2020-07-22,272.750000,278.799988,272.750000,277.000000,277.000000,244500
2020-07-23,275.510010,277.640015,272.720001,275.709991,275.709991,261000
2020-07-24,272.000000,273.269989,267.299988,269.980011,269.980011,423100
2020-07-27,270.959991,275.320007,270.130005,273.339996,273.339996,347500
2020-07-28,287.829987,287.829987,270.529999,271.179993,271.179993,458300
2020-07-29,274.309998,278.700012,272.609985,273.850006,273.850006,404600
2020-07-30,271.589996,275.709991,269.790009,274.950012,274.950012,205700
2020-07-31,275.750000,281.230011,274.390015,280.750000,280.750000,472800
2020-08-03,283.420013,283.420013,278.410004,280.720001,280.720001,244500
2020-08-04,280.899994,285.109985,279.559998,284.679993,284.679993,307400
2020-08-05,286.320007,289.100006,284.029999,288.839996,288.839996,228600
2020-08-06,285.179993,288.239990,284.000000,286.730011,286.730011,241500
2020-08-07,284.730011,285.019989,281.260010,283.040009,283.040009,195100
2020-08-10,282.839996,283.980011,277.619995,280.410004,280.410004,223200
2020-08-11,282.019989,284.040009,279.679993,280.570007,280.570007,183300
2020-08-12,281.970001,284.630005,280.320007,284.010010,284.010010,239600
2020-08-13,283.220001,285.950012,282.369995,285.609985,285.609985,142800
2020-08-14,284.779999,286.220001,282.899994,286.029999,286.029999,163800
2020-08-17,288.489990,291.299988,286.000000,286.739990,286.739990,214800
2020-08-18,278.609985,285.290009,278.609985,281.959991,281.959991,317300
2020-08-19,282.920013,285.250000,281.399994,283.130005,283.130005,249100
2020-08-20,282.559998,282.700012,275.290009,276.549988,276.549988,182700
2020-08-21,277.410004,277.410004,273.670013,275.329987,275.329987,234900
2020-08-24,279.369995,284.549988,274.359985,275.390015,275.390015,256100
2020-08-25,276.220001,281.190002,274.450012,277.859985,277.859985,328300
2020-08-26,278.209991,286.170013,278.010010,284.739990,284.739990,320500
2020-08-27,287.230011,287.709991,275.529999,277.260010,277.260010,267400
2020-08-28,278.299988,280.500000,277.700012,280.160004,280.160004,259700
2020-08-31,281.290009,287.149994,281.049988,286.529999,286.529999,340700
2020-09-01,287.299988,287.470001,283.910004,287.160004,287.160004,254900
2020-09-02,289.160004,295.519989,286.100006,294.359985,294.359985,360500
2020-09-03,291.160004,291.160004,267.239990,269.250000,269.250000,416800
2020-09-04,268.850006,271.290009,257.309998,260.549988,260.549988,354700
2020-09-08,254.550003,255.610001,247.699997,249.259995,249.259995,556700
2020-09-09,260.279999,262.549988,253.740005,255.110001,255.110001,519900
2020-09-10,255.000000,257.899994,248.720001,249.440002,249.440002,535600
2020-09-11,252.580002,253.220001,249.509995,249.960007,249.960007,225900
2020-09-14,253.429993,255.580002,249.029999,251.259995,251.259995,303000
2020-09-15,254.179993,259.369995,253.119995,257.459991,257.459991,252000
2020-09-16,260.100006,260.200012,253.350006,254.149994,254.149994,277300
2020-09-17,250.729996,256.380005,249.399994,256.179993,256.179993,289700
2020-09-18,255.949997,260.690002,253.820007,256.149994,256.149994,537900
2020-09-21,251.020004,255.960007,247.470001,248.729996,248.729996,369600
2020-09-22,251.000000,252.860001,246.830002,252.279999,252.279999,388600
2020-09-23,253.860001,254.990005,249.399994,249.580002,249.580002,308500
2020-09-24,247.309998,252.720001,247.309998,250.669998,250.669998,215700
2020-09-25,251.910004,258.700012,250.050003,257.459991,257.459991,250600
2020-09-28,261.059998,264.019989,259.049988,260.559998,260.559998,272700
2020-09-29,262.209991,263.089996,257.630005,258.920013,258.920013,190500
2020-09-30,258.070007,259.390015,250.449997,252.460007,252.460007,596400
2020-10-01,256.809998,259.149994,254.339996,258.480011,258.480011,461200
2020-10-02,252.520004,259.209991,252.520004,258.809998,258.809998,354500
2020-10-05,261.089996,268.470001,260.399994,268.010010,268.010010,375200
2020-10-06,267.140015,273.489990,267.140015,269.970001,269.970001,378300
2020-10-07,274.010010,278.309998,272.829987,276.579987,276.579987,279100
2020-10-08,277.730011,281.399994,277.730011,279.089996,279.089996,221300
2020-10-09,281.630005,284.250000,280.989990,284.000000,284.000000,216200
2020-10-12,287.239990,289.299988,286.250000,288.250000,288.250000,277900
2020-10-13,288.829987,290.750000,286.190002,286.730011,286.730011,227300
2020-10-14,288.649994,290.700012,281.869995,284.769989,284.769989,345600
2020-10-15,280.380005,287.329987,280.380005,287.309998,287.309998,204300
2020-10-16,289.959991,295.369995,289.239990,293.000000,293.000000,218800
2020-10-19,292.200012,299.359985,291.279999,291.570007,291.570007,347600
2020-10-20,293.239990,300.000000,292.649994,294.829987,294.829987,211100
2020-10-21,295.290009,300.329987,291.190002,291.859985,291.859985,233100
2020-10-22,293.799988,301.329987,292.250000,300.910004,300.910004,321700
2020-10-23,303.000000,304.570007,298.230011,303.720001,303.720001,293500
2020-10-26,299.899994,302.329987,293.940002,295.100006,295.100006,250800
2020-10-27,295.079987,295.079987,287.190002,289.279999,289.279999,351600
2020-10-28,284.470001,287.390015,282.079987,285.200012,285.200012,300200
2020-10-29,284.720001,294.010010,282.940002,291.970001,291.970001,263000
2020-10-30,290.000000,290.970001,281.019989,283.640015,283.640015,304300
2020-11-02,289.410004,294.970001,287.489990,293.070007,293.070007,510700
2020-11-03,314.899994,322.899994,305.559998,319.220001,319.220001,571700
2020-11-04,320.420013,329.660004,317.149994,329.179993,329.179993,423400
